,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccountsAndOtherReceivablesNetCurrent,,,,,,78274528.000,75907867.000
AccountsPayableAndAccruedLiabilitiesCurrent,,,,30322310.000,31150099.000,,
AccountsPayableCurrent,35610727.000,39077499.000,41357588.000,45051264.000,44465872.000,41115131.000,41237423.000
AccountsPayableOtherCurrent,,,,,,,25464200.000
AccountsPayableOtherCurrentAndNoncurrent,,,,,,38683732.000,25464200.000
AccountsReceivableGross,,,,,,25990342.000,
AccountsReceivableNet,,,,,,24535601.000,
AccountsReceivableNetCurrent,21247598.000,40690638.000,14119378.000,14617647.000,16607970.000,24535601.000,18952195.000
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,,,,12025311.000,5988590.000
AccruedAdvertisingCurrent,,,,,,535697.000,852158.000
AccruedEmployeeBenefitsCurrent,,,,,,9758312.000,10668699.000
AccruedIncomeTaxesCurrent,510402.000,734389.000,2515408.000,5142662.000,514361.000,,
AccruedLiabilitiesCurrent,4691719.000,6943370.000,4144269.000,7130063.000,6371885.000,14193225.000,10779092.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,14193225.000,
AccruedMarketingCostsCurrent,,,,6378431.000,6053192.000,12153755.000,8254396.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,-32340992.000,34897817.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,41805263.000,42730802.000,42603017.000,40297121.000,43216008.000,45487528.000,46343337.000
AdditionalPaidInCapital,,,,60576396.000,61380588.000,61284217.000,61762731.000
AdditionalPaidInCapitalCommonStock,59104803.000,58920283.000,60019602.000,,,,
AdvancesOnInventoryPurchases,,,,,,1.000,
AdvancesToAffiliate,,,,,,14805607.000,12956338.000
AllowanceForDoubtfulAccountsReceivable,,,,,,1454741.000,
AllowanceForDoubtfulAccountsReceivableCurrent,1056010.000,810864.000,810323.000,802799.000,812799.000,1454741.000,1459309.000
AllowanceForDoubtfulOtherReceivablesCurrent,,,,1825497.000,1845540.000,,
AllowanceForNotesAndLoansReceivableCurrent,3350056.000,3350056.000,3350056.000,3350056.000,3350056.000,3350056.000,3350056.000
Assets,495620998.000,441804216.000,436438409.000,431720958.000,447777902.000,476255884.000,464599929.000
AssetsCurrent,300355733.000,200465063.000,194758846.000,181585985.000,201099724.000,234718825.000,221607964.000
AssetsHeldForSaleCurrent,180383105.000,2384391.000,2382801.000,2362061.000,2387996.000,2408770.000,2416333.000
AuctionMarketPreferredSecuritiesStockSeriesParValuePerShare,,,,,,6.600,7.250
AvailableForSaleSecuritiesCurrent,123676.000,111116.000,113777.000,118534.000,116546.000,117210.000,119483.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,,,117210.000,119483.000
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,,,,,,6094.000,1900.000
CapitalLeaseObligationsCurrent,125872.000,288066.000,181296.000,131204.000,134710.000,137722.000,139973.000
CapitalLeaseObligationsNoncurrent,573968.000,430180.000,278512.000,280235.000,288683.000,296856.000,301756.000
CapitalLeasedAssetsGross,,,,,,1100366.000,1011529.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,1439906.000,1182086.000,,
CapitalLeasesFutureMinimumPaymentsDue,,,,472188.000,477373.000,481525.000,483036.000
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,160508.000,161012.000
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,157396.000,159125.000,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,157396.000,159124.000,160509.000,161012.000
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,157396.000,159124.000,160508.000,161012.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,60749.000,53980.000,46947.000,41307.000
CapitalLeasesFutureMinimumPaymentsNetMinimumPayments,,,,411439.000,423393.000,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,434578.000,441729.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,89442.000,96783.000,,
CapitalLeasesNetInvestmentInDirectFinancingLeasesAccumulatedAmortization,,,,,,104265.000,109962.000
Cash,,,,2600000.000,,,
CashAndCashEquivalentsAtCarryingValue,14097432.000,15353882.000,9849284.000,2586713.000,2274955.000,40425310.000,14892735.000
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,,15353882.000,9849284.000,2586713.000,,40425310.000,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,237937.000,237937.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,19706291.000,19714291.000,19714291.000,19784291.000,19784291.000,19784291.000,19784291.000
CommonStockSharesOutstanding,19706291.000,19714291.000,19714291.000,19784291.000,19784291.000,19784291.000,19784291.000
CommonStockValue,19706.000,19714.000,19714.000,19784.000,19784.000,,
CommonStockValueOutstanding,,,,,,19784.000,19784.000
ConstructionInProgressGross,44608885.000,14895512.000,15505095.000,15374883.000,17137526.000,17996885.000,21021622.000
CostMethodInvestments,,,285799.000,283312.000,286422.000,288914.000,289821.000
CustomerAdvancesCurrent,10916305.000,17899560.000,11626363.000,12244205.000,10799243.000,15092328.000,16225424.000
CustomerDepositsCurrent,17403575.000,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,0.053,0.053,,
DeferredRevenueNoncurrent,5081127.000,3711033.000,4904508.000,4817198.000,4607006.000,4320779.000,4254460.000
DeferredTaxAssetsGrossCurrent,,,,,,3425598.000,3425598.000
DeferredTaxAssetsGrossNoncurrent,,,,,,4727521.000,
DeferredTaxAssetsLiabilitiesNet,,,,,,5994240.000,
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,,2568642.000,730163.000
DeferredTaxAssetsNetCurrent,,,,,,3425598.000,
DeferredTaxAssetsNetNoncurrent,5522990.000,9805701.000,9805701.000,9805701.000,2863870.000,2647888.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,4278078.000,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,4400000.000,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,11100000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,392513.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,,5620032.000,
DeferredTaxAssetsValuationAllowance,,,,,,4300000.000,
DeferredTaxAssetsValuationAllowanceCurrent,,,,,,-2194434.000,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,,-2079633.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,79246.000,
DeferredTaxLiabilitiesNoncurrent,5181232.000,14806768.000,,,,-2568642.000,
DeferredTaxLiabilityNotRecognizedCumulativeAmountOfTemporaryDifference,,,,147000000.000,147000000.000,,
DepositsAssets,,,,77500000.000,,,
DepositsAssetsNoncurrent,23939053.000,46139913.000,67210746.000,77486070.000,78336834.000,79018330.000,79266427.000
DueFromAffiliateCurrent,,,,945.000,270.000,,
DueFromAffiliates,,,,1826442.000,1845810.000,,
DueFromOtherRelatedPartiesCurrent,,,,32941.000,37521.000,,
DueFromRelatedParties,,,,,,1861596.000,1871261.000
DueFromRelatedPartiesCurrent,3784580.000,194759.000,27280.000,33886.000,37791.000,20191.000,24075.000
DueToEmployeesCurrent,427676.000,415253.000,362538.000,326456.000,328888.000,225835.000,80023.000
DueToEmployeesCurrentAndNoncurrent,,,,,,532795.000,424211.000
DueToOtherRelatedPartiesClassifiedCurrent,,,104111.000,52838.000,,,
DueToOtherRelatedPartiesCurrentAndNoncurrent,,,,50367.000,50920.000,,
DueToRelatedPartiesCurrent,122637.000,86213.000,,103205.000,50920.000,55276.000,138524.000
DueToRelatedPartiesCurrentAndNoncurrent,,,,,,55276.000,138524.000
EmployeeRelatedLiabilitiesCurrent,7243307.000,9777537.000,7211662.000,7679626.000,8013360.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,3957701.000,3225209.000,1853988.000,1507807.000
FinancingReceivableAllowanceForCreditLosses,,,,,,-3350056.000,
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,1600000.000,1700000.000,1900000.000,1400000.000
IncomeTaxesReceivable,1452197.000,1406653.000,2020559.000,2053603.000,1408779.000,,
InterestPayableCurrent,492531.000,395783.000,0.000,,,,
InterestReceivableCurrent,739339.000,,,,,,
InterestReceivableNoncurrent,313768.000,,,,,,
InventoryFinishedGoods,,,,9418930.000,12139138.000,8424220.000,10158200.000
InventoryGross,,,,,,30838292.000,29137477.000
InventoryNet,49251875.000,33328949.000,33847620.000,39567572.000,44782639.000,30838292.000,29137477.000
InventoryRawMaterials,,,,10139741.000,10149035.000,13668736.000,13540403.000
InventoryValuationReserves,,,,,,359957.000,
InventoryWorkInProcess,,,,20008901.000,22494466.000,8745336.000,5438874.000
Investments,,,,283312.000,286422.000,,289821.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,,,10149090.000,11989369.000
Liabilities,311007082.000,266303081.000,251699121.000,242944802.000,247749870.000,274498256.000,250951868.000
LiabilitiesAndStockholdersEquity,495620998.000,441804216.000,436438409.000,431720958.000,447777902.000,476255884.000,464599929.000
LiabilitiesCurrent,275464414.000,208437530.000,176138665.000,160766592.000,170000524.000,198631481.000,174979346.000
LoansPayableToBankCurrent,5865598.000,5945439.000,5941474.000,5888973.000,5953631.000,63240345.000,61828779.000
LongTermDebt,,,,8832942.000,8929924.000,,
LongTermDebtCurrent,,,,5900000.000,6000000.000,6004497.000,6023349.000
LongTermInvestments,282219.000,285990.000,,,,,
LongTermLoansFromBank,8798872.000,5943726.000,5939762.000,2943969.000,2976293.000,,
LongTermLoansPayable,15701533.000,,,,,,
MinorityInterest,677067.000,17943.000,42159.000,,,,
NotesAndLoansReceivableNetCurrent,1568.000,,0.000,0.000,0.000,,
NotesPayableCurrent,1569458.000,,,,3182484.000,7996533.000,
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,,51363.000,51524.000
NotesReceivableGross,,,,,,3350056.000,
OtherAccountsPayableAndAccruedLiabilities,,,,,,858261.000,868440.000
OtherAccruedLiabilitiesCurrent,,,,751632.000,318693.000,645512.000,804098.000
OtherAccruedLiabilitiesNoncurrent,205936.000,170555.000,0.000,,,,
OtherAssetsHeldForSale,,,,,,,2416333.000
OtherLiabilities,,,,,,38683732.000,
OtherLiabilitiesCurrent,32626885.000,,,,,,
OtherLoansPayableLongTerm,,32803289.000,49829495.000,59222577.000,59222577.000,,
OtherLongTermDebt,,,,,,59200000.000,
OtherLongTermDebtNoncurrent,,,,,,59222577.000,59222577.000
OtherReceivables,,,,,,30473435.000,60879155.000
OtherReceivablesNetCurrent,20535609.000,13742625.000,13537187.000,14160865.000,17649157.000,30473435.000,60879155.000
OtherSundryLiabilitiesCurrent,48952255.000,32696658.000,,,,,
PrepaidExpenseAndOtherAssets,,,,,,16524390.000,
PrepaidExpenseAndOtherAssetsCurrent,28050.000,50427.000,37795.000,,,43779.000,37352.000
PrepaidExpenseNoncurrent,,18280745.000,18165232.000,17890781.000,17987709.000,,16429133.000
PropertyPlantAndEquipmentGross,,,,156543472.000,158581326.000,149736990.000,150330366.000
PropertyPlantAndEquipmentNet,94612583.000,128739637.000,142780358.000,124202480.000,123683509.000,132987693.000,
PropertyPlantAndEquipmentOtherNet,,,,,,114990808.000,113265430.000
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,,,,,,34746182.000,37064936.000
PurchaseObligation,,,,,,7216850.000,5056965.000
RestrictedCashAndCashEquivalentsAtCarryingValue,552491.000,1056579.000,2777800.000,2272790.000,6769629.000,8081061.000,1465359.000
RestrictedInvestmentsCurrent,,,,,,288914.000,
RetainedEarningsAccumulatedDeficit,,,,,,79741209.000,90297319.000
RetainedEarningsAppropriated,9132581.000,11341427.000,11341427.000,11341427.000,11341427.000,,
RetainedEarningsUnappropriated,72100345.000,60696815.000,68939218.000,74767277.000,82296074.000,,
SecurityDeposit,,,,,,79000000.000,79300000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,84000.000,,251500.000,295750.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,7.250,,8.320,8.150
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,27.690,12.630,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,0.000,,0.000,0.000
