,2013-12-31,2014-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-1028758.000,27963.000
CostOfGoodsSoldOverhead,,120000.000
EarningsPerShareBasicAndDiluted,-0.300,-0.460
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.350
FairValueAdjustmentOfWarrants,,-1575000.000
GeneralAndAdministrativeExpense,1073535.000,3220463.000
IncomeTaxesPaidNet,,141707.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,143593.000,1990242.000
IncreaseDecreaseInDueToAffiliatesCurrent,120.000,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,-251.000
IncreaseDecreaseInPrepaidExpense,82016.000,48250.000
InsuranceRecoveries,,-177900.000
InterestIncomeExpenseNonoperatingNet,46900.000,13670.000
NetCashProvidedByUsedInFinancingActivities,-16920.000,1150000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-16920.000,1150000.000
NetCashProvidedByUsedInInvestingActivities,-46900.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-46900.000,
NetCashProvidedByUsedInOperatingActivities,-964938.000,-1122037.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-964938.000,-1122037.000
NetIncomeLoss,-1026635.000,-1631793.000
OperatingIncomeLoss,-1073535.000,-3220463.000
OtherExpenses,,226784.000
ProceedsFromIssuanceInitialPublicOffering,,75000000.000
ProfessionalFees,,2617280.000
SaleOfStockNumberOfSharesIssuedInTransaction,,7875000.000
SponsorFees,10000.000,10000.000
StockRedeemedOrCalledDuringPeriodValue,,-9646910.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,3378823.000,3541784.000
