,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentForAmortization,,,-7084000.000,,-9084000.000,,,,-367000.000,,,,-222000.000,,
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,,,,,,,11726000.000,,
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,,,,,,,53000.000,,,,331000.000,,
AllowanceForLoanAndLeaseLossesAdjustmentsNet,,,,-108115000.000,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossNet,,,,-16372000.000,,,,,,,,,,,
AmortizationOfDeferredCharges,,,274000.000,,122000.000,,,,429000.000,,,,601000.000,,
AmortizationOfDeferredLeasingFees,,,,,,,,,,,,,44000.000,,
AmortizationOfIntangibleAssets,,,,,95000.000,347000.000,336000.000,513000.000,756000.000,2411000.000,3586000.000,5510000.000,7997000.000,10142000.000,9808000.000
AmountOfIneffectivenessOnNetInvestmentHedges,,,,,,,,,,,,,,,0.000
AssetImpairmentCharges,691000.000,,,3725000.000,,,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,,,,,334000.000,,,,5750000.000,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,6.720,-0.080,0.040,-0.260,-0.030,-0.110,-0.050,0.160,0.030,0.040,-0.010
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,6.720,-0.080,0.040,-0.260,-0.030,-0.110,-0.050,0.160,0.030,0.040,-0.010
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,394411000.000,-4965000.000,2372000.000,2807000.000,-2282000.000,-10130000.000,-6280000.000,15539000.000,1558000.000,2166000.000,-340000.000
BusinessAcquisitionsProFormaRevenue,,,,,10054000.000,18318000.000,13533000.000,33187000.000,15649000.000,34275000.000,39584000.000,75832000.000,56019000.000,59128000.000,64909000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,551000.000,698000.000,238000.000,1321000.000,235000.000,1688000.000,1323000.000,2925000.000,3506000.000,3455000.000,6547000.000
CapitalizedComputerSoftwareAmortization,,,,,,,,,,170000.000,123000.000,,133000.000,153000.000,155000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,22613000.000,,-4859000.000,,,,18555000.000,,,,-176369000.000,,
ComprehensiveIncomeNetOfTax,,,117084000.000,58775000.000,488652000.000,-6501000.000,-1364000.000,-9263000.000,-2098000.000,59605000.000,-2232000.000,-2627000.000,3366000.000,-39000.000,-565000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,118874000.000,60565000.000,490442000.000,-4711000.000,426000.000,-7471000.000,-308000.000,,-2334000.000,,3362000.000,-75000.000,-566000.000
CostOfGoodsAndServicesSold,49091000.000,33439000.000,10506000.000,,6122000.000,5323000.000,5321000.000,5513000.000,6066000.000,7839000.000,12531000.000,12184000.000,13549000.000,14183000.000,15831000.000
CostOfGoodsSold,,,,13643000.000,,,,,,,,,,,
CostOfOtherPropertyOperatingExpense,22010000.000,11785000.000,9366000.000,8968000.000,132000.000,307000.000,479000.000,493000.000,822000.000,2858000.000,9238000.000,8202000.000,8383000.000,9572000.000,11051000.000
CostOfUtilities,9796000.000,9515000.000,502000.000,363000.000,,,,,,,,,,,
CostsAndExpenses,156921000.000,132959000.000,41138000.000,30086000.000,11432000.000,12979000.000,12655000.000,15755000.000,16258000.000,27990000.000,36656000.000,43413000.000,46796000.000,54860000.000,61473000.000
DebtInstrumentPeriodicPayment,,,,,,,,,298018000.000,,,,,,
