,2015-12-27,2016-12-25
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1963000.000,1827000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,680000.000,2686000.000
AllowanceForDoubtfulAccountsReceivableRecoveries,239000.000,
AllowanceForDoubtfulAccountsReceivableWriteOffs,93000.000,122000.000
AmortizationOfDeferredCharges,821000.000,
AmortizationOfFinancingCosts,821000.000,763000.000
AssetImpairmentCharges,1210000.000,1927000.000
CapitalLeaseObligationsIncurred,7815000.000,8977000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-365000.000
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,1062000.000,
ComprehensiveIncomeNetOfTax,26399000.000,37943000.000
ConversionOfStockAmountConverted1,172691000.000,
CostOfGoodsAndServicesSoldDepreciationAndAmortization,11456000.000,12709000.000
CostOfRevenue,389315000.000,422448000.000
CostOfServicesDirectLabor,126380000.000,138839000.000
CurrentFederalStateAndLocalTaxExpenseBenefit,18026000.000,21714000.000
CurrentFederalTaxExpenseBenefit,16021000.000,19344000.000
CurrentStateAndLocalTaxExpenseBenefit,2005000.000,2370000.000
DebtIssuanceCosts,600000.000,
DeferredFederalIncomeTaxExpenseBenefit,-566000.000,-699000.000
DeferredFederalStateAndLocalTaxExpenseBenefit,-1992000.000,-2177000.000
DeferredIncomeTaxesAndTaxCredits,-1992000.000,-2177000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-1426000.000,-1478000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,700000.000,700000.000
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,0.500,0.500
DefinedContributionPlanEmployersMatchingContributionAnnualVestingPercentage,1.000,1.000
DefinedContributionPlanMaximumAnnualContributionsPerEmployeePercent,0.050,0.050
DepreciationAndAmortization,2809000.000,2917000.000
DepreciationDepletionAndAmortization,14265000.000,15626000.000
DirectOperatingCosts,100916000.000,112256000.000
EarningsPerShareBasic,1.150,1.040
EarningsPerShareDiluted,0.710,1.000
EffectiveIncomeTaxRateContinuingOperations,0.377,0.341
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350
EffectiveIncomeTaxRateReconciliationOtherAdjustments,0.001,0.001
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,0.000,0.002
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.009,0.010
EffectiveIncomeTaxRateReconciliationTaxCredits,0.019,0.024
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,680000.000,2686000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,680000.000,2686000.000
FoodAndBeverageCostOfSales,150563000.000,158644000.000
FranchiseRevenue,25104000.000,26364000.000
GainLossOnSaleOfPropertyPlantEquipment,-336000.000,-47000.000
GeneralAndAdministrativeExpense,42844000.000,39041000.000
GrossProfit,98887000.000,109433000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,42560000.000,57253000.000
IncomeTaxExpenseBenefit,16034000.000,19537000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,14896000.000,20038000.000
IncomeTaxReconciliationOtherAdjustments,27000.000,32000.000
IncomeTaxReconciliationOtherReconcilingItems,-18000.000,97000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,376000.000,580000.000
IncomeTaxReconciliationTaxCredits,795000.000,1355000.000
IncomeTaxesPaidNet,19378000.000,17645000.000
IncreaseDecreaseInAccountsAndOtherReceivables,357000.000,595000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2860000.000,-2497000.000
IncreaseDecreaseInDeferredCompensation,425000.000,484000.000
IncreaseDecreaseInDeferredPensionCosts,425000.000,484000.000
IncreaseDecreaseInDeferredRevenue,120000.000,-152000.000
IncreaseDecreaseInIncomeTaxes,-1352000.000,4069000.000
IncreaseDecreaseInInventories,360000.000,267000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,-293000.000,-270000.000
IncreaseDecreaseInOtherOperatingAssets,-662000.000,354000.000
IncrementalCommonSharesAttributableToConversionOfPreferredStock,12822000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1426000.000
InterestExpense,8314000.000,7489000.000
InterestPaid,8395000.000,7589000.000
InventoryWriteDown,,20000.000
InvestmentIncomeInterest,7000.000,4000.000
NetCashProvidedByUsedInFinancingActivities,-32278000.000,-44921000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-32278000.000,-44921000.000
NetCashProvidedByUsedInInvestingActivities,-12186000.000,-9744000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-12186000.000,-9744000.000
NetCashProvidedByUsedInOperatingActivities,45526000.000,54300000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,45526000.000,54300000.000
NetIncomeLoss,26526000.000,37716000.000
OperatingExpenses,47199000.000,43932000.000
OperatingIncomeLoss,51688000.000,65501000.000
OperatingLeasesRentExpenseContingentRentals,1017000.000,978000.000
OperatingLeasesRentExpenseMinimumRentals,34781000.000,39177000.000
OperatingLeasesRentExpenseNet,34228000.000,38719000.000
OperatingLeasesRentExpenseSubleaseRentals1,1570000.000,1436000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,-127000.000,227000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesTax,-79000.000,137000.000
PaymentsForRestructuring,105000.000,133000.000
PaymentsOfDebtIssuanceCosts,554000.000,
PaymentsToAcquireProductiveAssets,186000.000,100000.000
PaymentsToAcquirePropertyPlantAndEquipment,12047000.000,9695000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,47000.000,51000.000
ProceedsFromStockOptionsExercised,330000.000,1210000.000
ProvisionForDoubtfulAccounts,239000.000,
RepaymentsOfLongTermCapitalLeaseObligations,4679000.000,6081000.000
RepaymentsOfLongTermDebt,28055000.000,42736000.000
RestructuringCosts,36000.000,-51000.000
Revenues,488202000.000,531881000.000
SalesRevenueGoodsNet,462138000.000,504664000.000
SalesRevenueNet,488202000.000,531881000.000
ShareBasedCompensation,1963000.000,1827000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,0.277
