,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,398000.000,402000.000,340000.000,412000.000,344000.000,414000.000,517000.000,767000.000,965000.000,873000.000
AccountsReceivableNetCurrent,796000.000,884000.000,883000.000,959000.000,943000.000,1163000.000,704000.000,730000.000,1071000.000,915000.000
AccruedLiabilitiesCurrent,611000.000,611000.000,550000.000,400000.000,218000.000,270000.000,221000.000,231000.000,285000.000,196000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,595000.000,,,933000.000,,,,
AdditionalPaidInCapital,2266000.000,2273000.000,2273000.000,2273000.000,2273000.000,2273000.000,2273000.000,2273000.000,2273000.000,2273000.000
AllowanceForDoubtfulAccountsReceivable,,,41000.000,,,41000.000,,,,
Assets,16026000.000,15675000.000,15566000.000,15488000.000,15152000.000,15823000.000,15384000.000,14957000.000,15129000.000,14812000.000
AssetsCurrent,1980000.000,1619000.000,1444000.000,1662000.000,1385000.000,1929000.000,1597000.000,1537000.000,1914000.000,1788000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,0.000,0.000,0.000,,,,,,,
CapitalLeaseObligationsCurrent,,,-96000.000,,,,,,,
CapitalLeaseObligationsNoncurrent,49000.000,26000.000,8000.000,0.000,10000.000,0.000,183000.000,143000.000,123000.000,103000.000
CapitalLeasedAssetsGross,,,416816.000,,,416816.000,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,104000.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,3000.000,,,3000.000,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,101000.000,,,,,,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,212000.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,906000.000,423000.000,215000.000,216000.000,11000.000,70000.000,301000.000,107000.000,128000.000,194000.000
CommonStockNoParValue,0.000,0.000,0.000,,,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,150000000.000,150000000.000,150000000.000,15000000.000,15000000.000,25000000.000,25000000.000,25000000.000,25000000.000,150000000.000
CommonStockSharesIssued,11817766.000,11817766.000,11817766.000,11817766.000,11817766.000,18292766.000,18292766.000,18292766.000,18292766.000,18292766.000
CommonStockSharesOutstanding,11817766.000,11817766.000,11817766.000,11817766.000,11817766.000,18292766.000,18292766.000,18292766.000,18292766.000,18292766.000
CommonStockValue,19036000.000,19036000.000,19036000.000,19036000.000,19036000.000,19064000.000,19064000.000,19064000.000,19064000.000,19064000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,1350000.000,,,1350000.000,,,,
DeferredTaxAssetsGross,,,11724000.000,,,11441000.000,,,,
DeferredTaxAssetsLiabilitiesNet,,,-301000.000,,,-301000.000,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,8999000.000,,,8681000.000,,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,53000.000,,,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,735000.000,,,735000.000,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,45000.000,,,27000.000,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,595000.000,,,595000.000,,,,
DeferredTaxAssetsValuationAllowance,,,11691000.000,,,11408000.000,,,,
DeferredTaxLiabilitiesInvestments,,,334000.000,,,334000.000,,,,
DeferredTaxLiabilitiesNoncurrent,301000.000,301000.000,301000.000,301000.000,301000.000,301000.000,301000.000,301000.000,301000.000,301000.000
DerivativeFinancialInstrumentsLiabilitiesFairValueDisclosure,,,,,19000.000,,,,,
DerivativeLiabilitiesCurrent,1550000.000,5787000.000,5694000.000,5694000.000,5694000.000,5694000.000,5694000.000,5694000.000,5694000.000,5694000.000
DerivativeLiabilitiesNoncurrent,51000.000,40000.000,32000.000,27000.000,19000.000,6000.000,3000.000,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentAssets,,,,0.000,0.000,,,,,
DisposalGroupIncludingDiscontinuedOperationOtherCurrentLiabilities,,,,0.000,0.000,,,,,
DueToAffiliateCurrent,,,,225409.000,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,1290000.000,1399000.000,1506000.000,1298000.000,1406000.000,1622000.000,1730000.000,1838000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,432000.000,,,432000.000,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,432000.000,,,333000.000,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,432000.000,,,432000.000,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,432000.000,,,432000.000,,,,
FiniteLivedIntangibleAssetsGross,,,3352000.000,3375000.000,3352000.000,2927000.000,2927000.000,2927000.000,2927000.000,2927000.000
FiniteLivedIntangibleAssetsNet,,,2062000.000,,,1629000.000,,,,
Goodwill,10228000.000,10228000.000,10228000.000,10228000.000,10228000.000,10228000.000,10228000.000,10228000.000,10228000.000,10228000.000
IntangibleAssetsNetExcludingGoodwill,2289000.000,2179000.000,2062000.000,1976000.000,1846000.000,1629000.000,1521000.000,1305000.000,1197000.000,1089000.000
InterestPayableCurrentAndNoncurrent,,,384.000,13000.000,,192000.000,208000.000,0.000,5700.000,0.000
InventoryFinishedGoodsNetOfReserves,,,24000.000,39000.000,7000.000,38000.000,22000.000,36000.000,30000.000,28000.000
InventoryNet,153000.000,212000.000,228000.000,378000.000,374000.000,578000.000,461000.000,563000.000,593000.000,542000.000
InventoryRawMaterialsNetOfReserves,,,61000.000,123000.000,81000.000,213000.000,254000.000,271000.000,173000.000,113000.000
InventoryWorkInProcessNetOfReserves,,,143000.000,216000.000,286000.000,327000.000,185000.000,256000.000,390000.000,401000.000
Liabilities,12839000.000,13660000.000,13085000.000,12924000.000,12589000.000,12777000.000,12681000.000,13115000.000,13105000.000,13033000.000
LiabilitiesAndStockholdersEquity,16026000.000,15675000.000,15566000.000,15488000.000,15152000.000,15823000.000,15384000.000,14957000.000,15129000.000,14812000.000
LiabilitiesCurrent,7239000.000,12227000.000,11603000.000,9906000.000,9714000.000,10286000.000,10677000.000,10691000.000,11114000.000,12579000.000
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,16000.000,16000.000,16000.000,0.000,0.000,0.000,,,,
LineOfCreditFacilityAmountOutstanding,,,0.000,,,,,,,
LongTermDebt,,,3495000.000,3329000.000,3212000.000,3145000.000,2684000.000,2713000.000,2405000.000,2454000.000
LongTermDebtCurrent,3045000.000,2858000.000,2370000.000,667000.000,667000.000,961000.000,1167000.000,733000.000,838000.000,2404000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,2370000.000,,,1628000.000,,,,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,1125000.000,,,1517000.000,,,,
LongTermDebtNoncurrent,900000.000,1050000.000,1125000.000,2662000.000,2545000.000,2184000.000,1517000.000,1980000.000,1567000.000,50000.000
NotionalAmountOfInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,1800000.000,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,1185000.000,,,984000.000,,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,201000.000,,,207000.000,,,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,221000.000,,,227000.000,,,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,214000.000,,,221000.000,,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,207000.000,,,214000.000,,,,
OperatingLossCarryforwards,,,27300000.000,,,,,,,
OtherAssetsNoncurrent,466000.000,466000.000,459000.000,301000.000,243000.000,242000.000,242000.000,242000.000,242000.000,242000.000
OtherLiabilitiesCurrent,101000.000,110000.000,96000.000,96000.000,43000.000,32000.000,80000.000,100000.000,83000.000,80000.000
OtherLiabilitiesNoncurrent,4283000.000,,,,,,,,,
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,125000.000,100000.000,118000.000,109000.000,57000.000,118000.000,131000.000,137000.000,122000.000,137000.000
PropertyPlantAndEquipmentGross,,,1968000.000,,,2728000.000,,,,
PropertyPlantAndEquipmentNet,1063000.000,1183000.000,1373000.000,1321000.000,1450000.000,1795000.000,1796000.000,1645000.000,1548000.000,1465000.000
RetainedEarningsAccumulatedDeficit,-18115000.000,-19294000.000,-18828000.000,-18745000.000,-18746000.000,-18291000.000,-18634000.000,-19495000.000,-19313000.000,-19558000.000
StockholdersEquity,3187000.000,2015000.000,2481000.000,2564000.000,2563000.000,3046000.000,2703000.000,1842000.000,2024000.000,1779000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,3187000.000,2015000.000,2481000.000,2564000.000,2563000.000,3046000.000,2703000.000,1842000.000,2024000.000,1779000.000
UnrecognizedTaxBenefits,,,0.000,,,,,,,
