,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsPayableCurrent,146059000.000,152083000.000,154596000.000,165893000.000,157076000.000,173322000.000,161847000.000,169587000.000,163135000.000,177851000.000,172823000.000,181893000.000,166354000.000,169913000.000,164519000.000,162667000.000,153148000.000,177111000.000,166649000.000,165973000.000,147971000.000,155763000.000,150091000.000,144450000.000,148253000.000,155519000.000,155492000.000
AccountsReceivableBilledForLongTermContractsOrPrograms,,,,,,,,114482000.000,,,,133149000.000,,126403000.000,122951000.000,125497000.000,98425000.000,120570000.000,97875000.000,113565000.000,98872000.000,128129000.000,122219000.000,130429000.000,128904000.000,132782000.000,110068000.000
AccountsReceivableGrossCurrent,,,,660523000.000,,,,750305000.000,,,,815875000.000,,798609000.000,786981000.000,785215000.000,711238000.000,742933000.000,716114000.000,703705000.000,696124000.000,707007000.000,652131000.000,692926000.000,682025000.000,692775000.000,682307000.000
AccountsReceivableNetCurrent,,,,,,,,,,,,,,793349000.000,781858000.000,,706373000.000,737936000.000,710965000.000,,,,,,,,
AccountsReceivableUnapprovedContractClaims,,,,,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,,,
AccruedLiabilitiesCurrent,196986000.000,208179000.000,224824000.000,105103000.000,222641000.000,228830000.000,238944000.000,105518000.000,221324000.000,226542000.000,235350000.000,112318000.000,227045000.000,248408000.000,262155000.000,128635000.000,223479000.000,230867000.000,235224000.000,116300000.000,106740000.000,112738000.000,102432000.000,116860000.000,99843000.000,106236000.000,100486000.000
AccruedSalariesCurrent,,,,122200000.000,,,,134179000.000,,,,130467000.000,,,,141096000.000,,,,125270000.000,115457000.000,119204000.000,124898000.000,126319000.000,115081000.000,120808000.000,130294000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,470946000.000,491302000.000,508179000.000,513151000.000,522765000.000,535154000.000,543178000.000,560856000.000,575276000.000,578418000.000,592878000.000,613648000.000,631515000.000,621937000.000,636240000.000,639076000.000,647142000.000,652628000.000,667800000.000,677168000.000,680860000.000,701500000.000,713435000.000,725809000.000,726615000.000,737851000.000,758415000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,23000.000,-165000.000,-379000.000,-78000.000,130000.000,220000.000,542000.000,72000.000,-1095000.000,-1035000.000,-1565000.000,-1619000.000,-1007000.000,-1108000.000,-858000.000,-1181000.000,-716000.000,-2037000.000,-1599000.000,-1106000.000,-3433000.000,-3341000.000,-2767000.000,-1521000.000,-508000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,176491000.000,234128000.000,231438000.000,-228606000.000,-225344000.000,280424000.000,-275905000.000,-270323000.000,-265791000.000,173695000.000,-171275000.000,-168594000.000,-165827000.000,214984000.000,-209410000.000,-203494000.000,-199996000.000,266910000.000,261578000.000,257827000.000,252514000.000,321094000.000,312522000.000,307051000.000,303485000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,66897000.000,33349000.000,25318000.000,40611000.000,18852000.000,33493000.000,39667000.000,16639000.000,15691000.000,40572000.000,46506000.000,45166000.000,51283000.000,9254000.000,-33652000.000,-71025000.000,-58958000.000,-72788000.000,-95987000.000,-81032000.000,-106471000.000,-110626000.000,-152135000.000,-139440000.000,-106635000.000
