,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2013-03-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-06-30
AllocatedShareBasedCompensationExpense,,,,,,,200000.000,,,,,,,,,
AmortizationOfDebtDiscountPremium,2207000.000,,,,1611000.000,,1278000.000,1464000.000,,,,1567000.000,,,,
AmortizationOfFinancingCosts,1981000.000,,900000.000,,2355000.000,,1472000.000,1218000.000,,,,3837000.000,,,,
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,0.000,,,,,,0.000,,0.000,,0.000,0.000,0.000,0.000,
AssetImpairmentCharges,,,,,,14590000.000,,,,,,,,,,
AssetRetirementObligationAccretionExpense,,,,,3439000.000,,,,,,,,,,,
AssetRetirementObligationLiabilitiesIncurred,,,,,115000.000,,,,,,,,,,,
AssetRetirementObligationLiabilitiesSettled,,,,,34665000.000,,,,,,,,,,,
AssetRetirementObligationRevisionOfEstimate,,,,,5755000.000,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,21000000.000,,23300000.000,17500000.000,,,,15000000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,49446000.000,,,,73984000.000,,188550000.000,-61190000.000,,,,-6008000.000,,,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,582965000.000,,,,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,-30503000.000,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,54493000.000,-16704000.000,-752000.000,17547000.000,-7255000.000,-395169000.000,-29610000.000,-24838000.000,12743000.000,-65813000.000,3057000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,789000.000,777000.000,0.000,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,55282000.000,-15927000.000,-752000.000,,,,,,,,
ContractRevenueCost,106907000.000,116521000.000,147614000.000,157333000.000,156968000.000,147156000.000,,,,,,,,,,
ContractsRevenue,122748000.000,165861000.000,213278000.000,200113000.000,229842000.000,197461000.000,,,,,,,,,,
ConvertiblePreferredStockConvertedToOtherSecurities,,10000.000,10000.000,,10000.000,10000.000,,,,,,,,,,
CostOfRevenue,214531000.000,238121000.000,250201000.000,365162000.000,246217000.000,254169000.000,144862000.000,154694000.000,141808000.000,150493000.000,482581000.000,107969000.000,101609000.000,121061000.000,110427000.000,131962000.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,,,2500000.000,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,9329000.000,,,,-2673000.000,,16784000.000,-1114000.000,,,,-8931000.000,,,,
DepreciationDepletionAndAmortization,92143000.000,,,,72492000.000,,24380000.000,26089000.000,,,,31565000.000,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,2531000.000,-465000.000,1309000.000,-2177000.000,429000.000
DerivativeInstrumentsGainLossReclassificationFromAccumulatedOCIToIncomeEstimatedNetAmountToBeTransferred,,,,,,,,-9100000.000,,,,-8800000.000,,,,
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,-12451000.000,-1809000.000,,-84000.000,7903000.000,-150000.000,-1673000.000,-3258000.000,-4255000.000,-4473000.000,-3440000.000,-3054000.000,-3157000.000,-3200000.000,-3949000.000
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,6000.000,-381000.000,,233000.000,-69000.000,-15443000.000,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,20970000.000,33888000.000,,-13802000.000,12680000.000,-7238000.000,-6525000.000,4293000.000,-6752000.000,13184000.000,4499000.000,474000.000,4892000.000,5000.000,3176000.000
DerivativeNetHedgeIneffectivenessGainLoss,,,,,-2300000.000,,,,,,,,,,,
EarlyRepaymentOfSeniorDebt,,,77400000.000,,209500000.000,,,,,,,,,,,
EarningsPerShareBasic,0.240,0.390,0.430,0.170,0.620,0.420,0.020,0.190,-0.030,0.090,-3.830,-0.260,-0.100,0.100,-0.470,-0.040
EarningsPerShareDiluted,0.240,0.390,0.430,0.160,0.620,0.420,0.020,0.190,-0.030,0.090,-3.830,-0.260,-0.100,0.100,-0.470,-0.040
EffectOfExchangeRateOnCashAndCashEquivalents,-470000.000,,,,-1051000.000,,3218000.000,-1497000.000,,,,-893000.000,,,,
EffectiveIncomeTaxRateContinuingOperations,,0.277,0.334,,0.291,0.289,0.249,0.020,-0.304,0.009,0.487,0.250,0.283,0.241,-0.641,-3.640
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.350,0.350,0.350,0.350,-0.700,0.350,0.350,0.350,-0.700,0.350
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,,,,-0.107,-0.341,-0.546,-0.353,1.103,-0.098,-0.083,-0.108,0.238,0.797
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,0.006,0.011,-0.108,0.012,0.084,-0.002,0.016,-0.001,-0.011,-0.190
EffectiveIncomeTaxRateReconciliationTaxContingenciesDomestic,,,,,,,,,0.000,,,,,,,
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,,,,,,,,,,,,,,,,-4.597
EquityMethodInvestmentDividendsOrDistributions,480000.000,,,,5943000.000,,,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,,,,3296000.000,,,,,,,,,
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,,,,9025000.000,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,-969000.000,,,,-340000.000,,617000.000,260000.000,,,,0.000,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,969000.000,,,,-340000.000,,617000.000,260000.000,,,,0.000,,,,
ExplorationAndProductionCosts,107624000.000,98879000.000,100230000.000,89390000.000,89249000.000,92423000.000,,,,,,,,,,
ExplorationExpense,,7939000.000,1548000.000,,754000.000,1092000.000,,,,,,,,,,
GainLossOnDispositionOfAssets,16000.000,-22000.000,,,-1478000.000,-236000.000,,0.000,0.000,,,,,,,
GainLossOnForeignCurrencyCashFlowHedgeIneffectiveness,,,,,,,,-3400000.000,200000.000,-400000.000,,,,,,
GainLossOnRepurchaseOfDebtInstrument,,,,,,,,,,,,,302000.000,244000.000,,
GainLossOnSaleOfCommodityContracts,,0.000,,,-2339000.000,10069000.000,,,,,,,,,,
GainLossOnSaleOfStockInSubsidiaryOrEquityMethodInvestee,753000.000,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,-2400000.000,,-17127000.000,,-2882000.000,,,,,,,,,-397000.000
GeneralInsuranceExpense,,,8400000.000,,,,,,,,,,,,,
GrossProfit,77076000.000,100198000.000,122295000.000,31023000.000,161710000.000,93225000.000,52567000.000,34947000.000,24208000.000,31969000.000,-324898000.000,-16930000.000,5658000.000,40184000.000,17604000.000,18367000.000
ImpairmentOfLeasehold,,6640000.000,1028000.000,,144000.000,,,,,,,,,,,
ImpairmentOfOilAndGasProperties,,22721000.000,2357000.000,,,,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,,,557000.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,58280000.000,70291000.000,,93803000.000,63916000.000,1777000.000,20049000.000,-2021000.000,9974000.000,-506172000.000,-37111000.000,-14890000.000,15111000.000,-57025000.000,-1380000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,36185000.000,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,1334000.000,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,0.010,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,0.010,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,1058000.000,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,0.010,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,0.010,,,,,,,,,
IncomeLossFromEquityMethodInvestments,5650000.000,5887000.000,4906000.000,5772000.000,407000.000,5748000.000,610000.000,21000.000,-323000.000,-251000.000,-123792000.000,-123000.000,-121000.000,-122000.000,-1800000.000,-152000.000
IncomeTaxExpenseBenefit,9550000.000,16171000.000,23465000.000,-34283000.000,27277000.000,18476000.000,443000.000,407000.000,614000.000,94000.000,-102305000.000,-9288000.000,-4219000.000,3649000.000,-2612000.000,5023000.000
IncomeTaxesPaid,,,,,6725000.000,,4521000.000,7181000.000,,,,2593000.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-58747000.000,,,,-59079000.000,,-48765000.000,-48718000.000,,,,-21108000.000,,,,
IncreaseDecreaseInAccountsReceivable,-381000.000,,,,-11526000.000,,-3714000.000,14917000.000,,,,-31522000.000,,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,-2338000.000,,,,23233000.000,,-20283000.000,-5322000.000,,,,,,,,
IncreaseDecreaseInAssetRetirementObligations,-8160000.000,,,,-18357000.000,,-240000.000,,,,,,,,,
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,,,,,,,,,,,,-2815000.000,,,,
IncreaseDecreaseInOtherCurrentAssets,,,,,,,,-17843000.000,,,,2505000.000,,,,
IncreaseDecreaseInOtherOperatingAssets,18869000.000,,,,-15360000.000,,-12577000.000,,,,,,,,,
IncreaseDecreaseInOtherOperatingCapitalNet,692000.000,,,,2568000.000,,7005000.000,2403000.000,,,,1684000.000,,,,
IncreaseDecreaseInRestrictedCash,-613000.000,,,,-922000.000,,,,,,,,,,,
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,,106000.000,93000.000,,98000.000,118000.000,133000.000,,,,,,,,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,0.000,,,,,,,,,,,,,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,361000.000,361000.000,,361000.000,361000.000,,,,,,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
InterestAndDebtExpense,24236000.000,25278000.000,24114000.000,22168000.000,21760000.000,18627000.000,10323000.000,,,,,,,,,
