,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,,,,,,,,,,,,1000000.000,,,,2500000.000
AllocatedShareBasedCompensationExpense,,,,,,,,,800000.000,,,,2600000.000,,,,2200000.000,,,,1000000.000,,,,
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,-14400000.000,,,,,,,,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,-9300000.000,,,,,,,,,,,,,,,,,,,,,,,
AllowanceForLoanAndLeaseLossesWriteOffs,,4700000.000,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,,,,1600000.000,,,,1200000.000
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,2200000.000,2125800000.000,,1250100.000,1541300.000,1830500.000,-3016800.000,1244100.000,932200.000,833900.000,-2050500.000,1187300.000,1377400.000,1009500.000,-2614300.000,1305100.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,,,,,,,,,,,,,,,,,,,,,-100000.000
CashPeriodIncreaseDecrease,,,,,-122500000.000,,,,1200000.000,,,,-1500000.000,,,,11600000.000,,,,-1300000.000,,,,4300000.000
CommonStockDividendsPerShareCashPaid,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,,,,64300000.000,74400000.000,-21300000.000,-87900000.000,16800000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,33400000.000,97300000.000,,47700000.000,51700000.000,89200000.000,-30500000.000,31800000.000,-113600000.000,52700000.000,69400000.000,114000000.000,73700000.000,7500000.000,6700000.000,51100000.000,-85300000.000,41600000.000,-20100000.000,,,,,
Depreciation,,,,,3300000.000,,,,4200000.000,,,,4300000.000,,,,3200000.000,,,,4000000.000,,,,3200000.000
