,2016-02-29,2017-02-28
AdjustmentForAmortization,5457.000,
AmortizationOfDebtDiscountPremium,19268.000,325928.000
AmortizationOfFinancingCostsAndDiscounts,,13996.000
AmountOfDilutiveSecuritiesESOPConvertiblePreferredStock,,565467588.000
CashAndCashEquivalentsPeriodIncreaseDecrease,7700.000,351741.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,838260.000
ConversionOfStockAmountIssued1,,279129.000
DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,,183334.000
DebtInstrumentConvertibleBeneficialConversionFeature,,110000.000
DerivativeGainLossOnDerivativeNet,36191.000,-814258.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,-1041753.000
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,28468.000
DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,,1064115.000
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,22362.000
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,-1041753.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,50830.000
DividendsPreferredStock,,-872200.000
DividendsPreferredStockCash,,-872200.000
DividendsPreferredStockStock,,-872200.000
EarningsPerShareBasic,,0.090
EarningsPerShareBasicAndDiluted,-0.000,
EarningsPerShareDiluted,,0.020
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350
EffectiveIncomeTaxRateReconciliationTaxCredits,0.000,
EffectiveIncomeTaxRateReconciliationTaxCreditsOther,-0.350,-0.350
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisInstrumentsClassifiedInShareholdersEquityGainLossIncludedInEarnings,,347430.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,466828.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,282900.000
IncentiveDistributionDistributionPerYear,6595.000,872200.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,11800317.000
IncomeLossFromContinuingOperationsPerBasicShare,,0.100
IncomeLossFromContinuingOperationsPerDilutedShare,,0.020
IncomeLossFromDiscontinuedOperationsNetOfTax,,-1041753.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,0.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,84995.000,189455.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,-84995.000,-189455.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,55418.000,254464.000
IncreaseDecreaseInDerivativeLiabilities,,683564.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,-5000.000
IncreaseDecreaseInSecurityDeposits,-18600.000,
InterestExpense,-19268.000,448583.000
InterestOnConvertibleDebtNetOfTax,,81588.000
MarketableSecuritiesGainLoss,,1617601.000
MarketableSecuritiesRealizedGainLoss,,1617601.000
MarketableSecuritiesUnrealizedGainLoss,,12196847.000
MarketingAndAdvertisingExpense,,447707.000
NetCashProvidedByUsedInFinancingActivities,158607.000,-520828.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,158607.000,-520828.000
NetCashProvidedByUsedInInvestingActivities,,1618955.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,1618955.000
NetCashProvidedByUsedInOperatingActivities,-150907.000,-746386.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-150907.000,-1584646.000
NetIncomeLoss,-243184.000,10758564.000
NetIncomeLossAvailableToCommonStockholdersBasic,,9886364.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,11613889.000
OperatingExpenses,187725.000,751290.000
OperatingIncomeLoss,,-751290.000
OtherNonoperatingIncomeExpense,55459.000,12551607.000
ProceedsFromContributedCapital,6595.000,11000.000
ProceedsFromConvertibleDebt,,282900.000
ProceedsFromIssuanceOfCommonStock,,35000.000
ProceedsFromPartnershipContribution,,11000.000
ProceedsFromRelatedPartyDebt,144817.000,339864.000
ProceedsFromRepaymentsOfDebt,,-21442.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,1618955.000
ProceedsFromShortTermDebt,45000.000,
ReceivableWithImputedInterestEffectiveYieldInterestRate,,0.200
RepaymentOfNotesReceivableFromRelatedParties,37805.000,
RepaymentsOfDebt,,21442.000
RepaymentsOfRelatedPartyDebt,37805.000,284950.000
SellingGeneralAndAdministrativeExpense,187725.000,751290.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,12240038.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,0.006
StockIssuedDuringPeriodValueEmployeeBenefitPlan,,540000.000
StockIssuedDuringPeriodValueIssuedForServices,,300000.000
StockIssuedDuringPeriodValueNewIssues,,35000.000
UndistributedEarnings,,855325.000
WeightedAverageNumberOfDilutedSharesOutstanding,,688624785.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,100092395.000,
WeightedAverageNumberOfSharesOutstandingBasic,,123157197.000
