,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,131801.000,,,,164058.000,,,,16044.000,,,,323304.000,,
AllocatedShareBasedCompensationExpense,,,,,164000.000,,,,16000.000,,,,323000.000,,
AmortizationOfDebtDiscountPremium,11656.000,,,,8091.000,,,,3342.000,,,,343.000,,
AmortizationOfIntangibleAssets,212315.000,214056.000,215164.000,215460.000,215609.000,215681.000,215681.000,215862.000,6648.000,7826.000,7873.000,8115.000,8326.000,8226.000,7584.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-902632.000,,,,-696971.000,,,,960509.000,,,,1540081.000,,
ComprehensiveIncomeNetOfTax,-1295206.000,,,,-1094593.000,-607235.000,-650281.000,-1158049.000,-1592156.000,-1867935.000,-643141.000,-1165076.000,-2192260.000,-1190584.000,-2174945.000
ConcentrationRiskPercentage1,,,,,,,,,0.270,0.250,0.260,,,0.240,0.240
CostOfGoodsSold,709566.000,759336.000,776538.000,791527.000,755587.000,774963.000,734171.000,750165.000,748047.000,741842.000,778267.000,781655.000,791311.000,753225.000,778406.000
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,,,,,,,,,,,132000.000
DeferredIncomeTaxExpenseBenefit,-1462.000,,,,-1117.000,,,,2178.000,,,,2205.000,,
DefinedBenefitPlanAmortizationOfNetGainsLosses,,,,,,1000.000,1000.000,,,,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,,,5000.000,5000.000,,20000.000,20000.000,21000.000,,27000.000,27000.000,25000.000
DefinedBenefitPlanFutureAmortizationOfGainLoss,,,,,,,,,-2000.000,-2000.000,-2000.000,,-1000.000,-1000.000,-1000.000
DefinedBenefitPlanInterestCost,,,,,,30000.000,31000.000,,34000.000,34000.000,36000.000,,37000.000,35000.000,34000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,45000.000,46000.000,,47000.000,47000.000,49000.000,,47000.000,45000.000,43000.000
DefinedBenefitPlanServiceCost,,,,,,19000.000,19000.000,,31000.000,31000.000,32000.000,,36000.000,36000.000,33000.000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,,,,,,57000.000,,42000.000,,72000.000,,
DepreciationDepletionAndAmortization,274102.000,,,,288548.000,,,,87013.000,,,,72584.000,,
EarningsPerShareBasicAndDiluted,-0.060,-0.060,-0.050,-0.040,-0.050,-0.030,-0.030,-0.050,-0.080,-0.090,-0.030,-0.050,-0.100,-0.050,-0.100
EffectOfExchangeRateOnCashAndCashEquivalents,5575.000,,,,-18642.000,,,,9312.000,,,,-315.000,,
EntityWideRevenueMajorCustomerPercentage,,,,,0.270,0.260,0.270,,,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,5308.000,-8587.000,-11025.000,18084.000,-9671.000,5794.000,445.000,5005.000,-2695.000,-1339.000,-506.000,-222.000,911.000,-2190.000,-2038.000
GainLossOnDispositionOfAssets,,,,,,,,,5881.000,,,,-1249.000,,
GainLossOnDispositionOfProperty,5996.000,,,,-599.000,,,,,,,,,,
GeneralAndAdministrativeExpense,1021858.000,942557.000,924524.000,843684.000,1091846.000,1027835.000,1058558.000,1009580.000,1580763.000,2390610.000,1194882.000,1356133.000,1577368.000,1288297.000,2283333.000
GrossProfit,3943557.000,4208285.000,4567650.000,4805255.000,4821536.000,4934877.000,4856260.000,4790421.000,5092794.000,5235033.000,5620408.000,5579080.000,5593318.000,5701405.000,5888499.000
ImpairmentOfInvestments,,,,,0.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1317376.000,-1270002.000,-1058186.000,-557095.000,-1010888.000,-624889.000,-664616.000,-953983.000,-1595117.000,-1911113.000,-651341.000,-1123620.000,-2170518.000,-1065214.000,-2084400.000
IncomeTaxExpenseBenefit,13931.000,8485.000,9352.000,15944.000,8467.000,14637.000,12708.000,14958.000,14175.000,16367.000,19491.000,21866.000,19814.000,15032.000,20938.000
IncomeTaxesPaid,-8968.000,,,,18592.000,,,,17770.000,,,,38700.000,,
IncreaseDecreaseInAccountsPayable,-94797.000,,,,137599.000,,,,264500.000,,,,49797.000,,
IncreaseDecreaseInAccountsReceivable,68193.000,,,,-24329.000,,,,-60458.000,,,,-263078.000,,
IncreaseDecreaseInAccruedLiabilities,-329364.000,,,,-106432.000,,,,,,,,,,
IncreaseDecreaseInDeferredCompensation,,,,,,,,,19415.000,,,,94249.000,,
IncreaseDecreaseInInventories,-35090.000,,,,122672.000,,,,-39773.000,,,,92649.000,,
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,,,383436.000,,,,-65795.000,,
IncreaseDecreaseInOtherCurrentAssets,-96533.000,,,,107267.000,,,,-23110.000,,,,30323.000,,
IncreaseDecreaseInPensionPlanObligations,42082.000,,,,41029.000,,,,40073.000,,,,44081.000,,
InterestExpense,0.000,57.000,0.000,0.000,,0.000,12.000,,,,,,,,250.000
InvestmentIncomeInterest,17834.000,13716.000,14268.000,14254.000,12578.000,10931.000,12327.000,10203.000,9264.000,5476.000,3836.000,3519.000,3012.000,1833.000,1761.000
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,0.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,126550.000,,,,0.000,,,,0.000,,,,48600.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,126550.000,,,,0.000,,,,0.000,,,,48600.000,,
NetCashProvidedByUsedInInvestingActivities,328773.000,,,,23372.000,,,,1636291.000,,,,2997261.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,328773.000,,,,23372.000,,,,1636291.000,,,,2997261.000,,
NetCashProvidedByUsedInOperatingActivities,-1363530.000,,,,-701701.000,,,,-685094.000,,,,-1505465.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-1363530.000,,,,-701701.000,,,,-685094.000,,,,-1505465.000,,
NetIncomeLoss,-1331307.000,-1278487.000,-1067538.000,-573039.000,-1019355.000,-639526.000,-677324.000,-968941.000,-1609292.000,-1927480.000,-670832.000,-1145486.000,-2190332.000,-1080246.000,-2105338.000
NonoperatingIncomeExpense,23142.000,5072.000,3243.000,32338.000,2907.000,16725.000,12760.000,14513.000,6569.000,4137.000,3330.000,3297.000,3923.000,-357.000,-527.000
NumberOfOperatingSegments,,,,,1.000,,,,,,,,,,
OperatingExpenses,5284075.000,5483359.000,5629079.000,5394688.000,5835331.000,5576491.000,5533636.000,5758917.000,6694480.000,7150283.000,6275079.000,6705997.000,7767759.000,6766262.000,7972372.000
OperatingIncomeLoss,-1340518.000,-1275074.000,-1061429.000,-589433.000,-1013795.000,-641614.000,-677376.000,-968496.000,-1601686.000,-1915250.000,-654671.000,-1126917.000,-2174441.000,-1064857.000,-2083873.000
OtherAmortizationOfDeferredCharges,-8807.000,,,,-9111.000,,,,-9263.000,,,,22744.000,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,-81099.000,36466.000,28262.000,-68893.000,20609.000,72811.000,35979.000,4411.000,-789.000,-135688.000,-85212.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,,-75238.000,32291.000,27043.000,-189108.000,17136.000,59545.000,27691.000,-19590.000,-1928.000,-110338.000,-69607.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,-6651.000,7116.000,1159.000,118924.000,3633.000,15923.000,6951.000,23632.000,396.000,-25382.000,-15605.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,-790.000,2941.000,-60.000,-1291.000,160.000,2657.000,-1337.000,-369.000,-743.000,-32.000,0.000
PaymentsToAcquireAvailableForSaleSecurities,,,,,3218286.000,,,,0.000,,,,,,
PaymentsToAcquireHeldToMaturitySecurities,,,,,0.000,,,,,,,,,,
PaymentsToAcquireIntangibleAssets,10405.000,,,,4440.000,,,,0.000,,,,,,
PaymentsToAcquireMarketableSecurities,3840016.000,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,71865.000,,,,73902.000,,,,189789.000,,,,52739.000,,
ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,,,,,0.000,,,,1000000.000,,,,3050000.000,,
ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,,,,,,,,,,,,,0.000,,
ProceedsFromSaleAndMaturityOfMarketableSecurities,4250059.000,,,,3320000.000,,,,820000.000,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,1000.000,,,,,,,,6080.000,,,,0.000,,
ProceedsFromStockOptionsExercised,,,,,0.000,,,,,,,,48600.000,,
ResearchAndDevelopmentExpense,455760.000,456871.000,586439.000,406296.000,563041.000,598933.000,533867.000,719282.000,479660.000,428763.000,526224.000,716610.000,909444.000,651035.000,665539.000
Revenues,,,,,5577000.000,5710000.000,5590000.000,5541000.000,5841000.000,5977000.000,6399000.000,6360000.000,6385000.000,6455000.000,6667000.000
SalesRevenueGoodsNet,4653123.000,4967621.000,5344188.000,5596782.000,5577123.000,5709840.000,5590431.000,5540586.000,5840841.000,5976875.000,6398675.000,6360735.000,6384629.000,6454630.000,6666905.000
SalesRevenueNet,,,,,5577000.000,5710000.000,5590000.000,5541000.000,5841000.000,5977000.000,6399000.000,6360000.000,6385000.000,6455000.000,6667000.000
SellingAndMarketingExpense,3594142.000,3869875.000,3902952.000,3929248.000,3964835.000,3734042.000,3725530.000,3814193.000,4627409.000,4323084.000,4546100.000,4625139.000,5272621.000,4818704.000,5015916.000
ShareBasedCompensation,130352.000,,,,162435.000,,,,16044.000,,,,323304.000,,
ShareBasedGoodsAndNonemployeeServicesTransactionExpense,1449.000,,,,1623.000,,,,,,,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,126550.000,,,,,,,,,,,,37748.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,20718347.000,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,20743282.000,20763345.000,20798997.000,-41528386.000,20784900.000,21076570.000,21258736.000,-42001948.000,21675524.000,21617675.000,21663924.000
