,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableCurrent,6068000.000,3693000.000,3801000.000,5736000.000,8212000.000,6313000.000,5796000.000,5808000.000,7769000.000,4473000.000,7724000.000
AccountsReceivableGrossCurrent,,,,,,,6208000.000,,,,9319000.000
AccountsReceivableNetCurrent,1136000.000,1890000.000,2703000.000,3196000.000,4968000.000,6848000.000,6152000.000,8908000.000,8962000.000,8711000.000,9300000.000
AccruedEmployeeBenefitsCurrent,,,,,,,6560000.000,,,,9510000.000
AccruedLiabilitiesCurrent,8630000.000,9879000.000,10945000.000,11351000.000,12071000.000,12283000.000,12969000.000,12532000.000,13398000.000,15379000.000,18042000.000
AccruedRoyaltiesCurrent,,,,,,,2652000.000,,,,4992000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,4717000.000,5029000.000,5362000.000,5451000.000,5489000.000,5396000.000,5432000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,2000.000,1000.000,,,,,,,
AdditionalPaidInCapitalCommonStock,403587000.000,406212000.000,485982000.000,488941000.000,490830000.000,493004000.000,495458000.000,497158000.000,499789000.000,502203000.000,506819000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,0.000,0.000,56000.000,13000.000,14000.000,16000.000,19000.000
AssetRetirementObligationCurrent,,,,,,,750000.000,,,,
Assets,131305000.000,109630000.000,164160000.000,147380000.000,131864000.000,117082000.000,97679000.000,95661000.000,89552000.000,84024000.000,90803000.000
AssetsCurrent,103404000.000,78286000.000,132929000.000,116325000.000,101590000.000,87442000.000,76516000.000,81912000.000,76154000.000,70966000.000,77888000.000
AssetsFairValueDisclosure,,,,,89457000.000,72971000.000,59481000.000,62490000.000,,,
AvailableForSaleSecurities,,,,,,,,,2346000.000,2326000.000,2326000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,3772000.000,5159000.000,3745000.000,3745000.000,2346000.000,2326000.000,2326000.000
AvailableForSaleSecuritiesCurrent,32392000.000,4795000.000,44618000.000,22576000.000,3772000.000,5159000.000,3745000.000,3745000.000,2346000.000,2326000.000,2326000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,3772000.000,5159000.000,3745000.000,3745000.000,2346000.000,2326000.000,2326000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,3772000.000,5159000.000,3745000.000,3745000.000,2346000.000,2326000.000,2326000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,,,3772000.000,5159000.000,3745000.000,3745000.000,,,
BusinessAcquisitionContingentConsiderationPotentialCashPayment,,,,,0.000,,,,,,
CapitalLeaseObligationsCurrent,,,,,,,,12000.000,,,
CapitalLeaseObligationsNoncurrent,,,,,,,,41000.000,,,
CapitalLeasedAssetsGross,,,,,,,56000.000,56000.000,,,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,1000.000,,,,
CashAndCashEquivalentsAtCarryingValue,61742000.000,62816000.000,82609000.000,86057000.000,86987000.000,69370000.000,58327000.000,60495000.000,54477000.000,51980000.000,55075000.000
CashEquivalentsAtCarryingValue,,,,,,,55736000.000,,,,48975000.000
ClassOfWarrantOrRightOutstanding,,,,,,,618073.000,618073.000,618073.000,618073.000,618073.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,63583065.000,63615530.000,85511607.000,85539619.000,85559556.000,85559869.000,85668668.000,85683981.000,85910674.000,86085324.000,86719716.000
CommonStockSharesOutstanding,63583065.000,63615530.000,85511607.000,85539619.000,85559556.000,85559869.000,85668668.000,85683981.000,85910674.000,86085324.000,86719716.000
CommonStockValue,6000.000,6000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000,9000.000
ConstructionInProgressGross,,,,,,4571000.000,724000.000,744000.000,752000.000,709000.000,961000.000
CostMethodInvestmentsAggregateCarryingAmount,,,,,7000000.000,7000000.000,7000000.000,,,,
DebtInstrumentCarryingAmount,,,,,,,30000000.000,,,,30000000.000
DebtInstrumentUnamortizedDiscount,,,,,,,1182000.000,,,,685000.000
DeferredIncomeTaxLiabilities,,,,,,,906000.000,,,,4000.000
DeferredRevenueCurrent,677000.000,798000.000,1291000.000,1595000.000,1677000.000,2001000.000,2234000.000,,,,
DeferredTaxAssetsGross,,,,,,,24178000.000,,,,185991000.000
DeferredTaxAssetsNet,,,,,,,906000.000,,,,4000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,123436000.000,123436000.000,,149071000.000,149071000.000,149071000.000,157484000.000
DeferredTaxAssetsOther,,,,,,,5954000.000,,,,4208000.000
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,5781000.000
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,6562000.000,6562000.000,6809000.000,6809000.000,6809000.000,6809000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,12876000.000,,,,13983000.000
DeferredTaxAssetsValuationAllowance,,,,,,,23272000.000,,,,185987000.000
DeferredTaxLiabilities,,,,,,,906000.000,,,,4000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,11578000.000,,,,11308000.000
FinancialInstrumentsOwnedAtFairValue,,,,,,,,,55494000.000,48998000.000,51301000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,,4253000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,1343000.000,,,,1343000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,1343000.000,,,,1343000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,1343000.000,,,,1343000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,1343000.000,,,,1343000.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,1343000.000,,,,1343000.000
FurnitureAndFixturesGross,,,,,,422000.000,478000.000,478000.000,478000.000,478000.000,478000.000
HeldToMaturitySecuritiesRestricted,,,,,,,,190000.000,190000.000,190000.000,190000.000
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IntangibleAssetsNetExcludingGoodwill,14104000.000,13768000.000,13433000.000,13097000.000,12761000.000,12425000.000,12090000.000,11754000.000,11418000.000,11082000.000,10747000.000
InventoryFinishedGoods,,,,,4233000.000,4779000.000,6415000.000,6000000.000,7235000.000,6011000.000,8563000.000
InventoryNet,6726000.000,7693000.000,1388000.000,2561000.000,4328000.000,4874000.000,6498000.000,6083000.000,7318000.000,6094000.000,8646000.000
InventoryRawMaterials,,,,,95000.000,95000.000,83000.000,83000.000,83000.000,83000.000,83000.000
LeaseholdImprovementsGross,,,,,,1637000.000,1639000.000,1639000.000,1639000.000,1639000.000,1639000.000
Liabilities,44960000.000,42489000.000,44850000.000,47785000.000,51370000.000,50304000.000,49868000.000,47513000.000,50648000.000,49644000.000,55925000.000
LiabilitiesAndStockholdersEquity,131305000.000,109630000.000,164160000.000,147380000.000,131864000.000,117082000.000,97679000.000,95661000.000,89552000.000,84024000.000,90803000.000
LiabilitiesCurrent,25013000.000,25175000.000,16037000.000,21223000.000,27139000.000,28509000.000,20999000.000,20892000.000,26364000.000,27789000.000,36543000.000
