,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,41000.000,,,,,,,,83000.000,,,,551000.000,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,551000.000,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,2724011.000,2724011.000,506497.000,-4103868.000,6040428.000,238500.000,213500.000,-6219678.000,1498904.000,1145289.000,0.000,-2553193.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-95000.000,,,,612000.000,,,,-124000.000,,,,1724000.000,,,
ComprehensiveIncomeNetOfTax,,,,,,454000.000,1793000.000,,-229000.000,1090000.000,2162000.000,5561000.000,-1685000.000,1073000.000,718000.000,1053000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,22000.000,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,12434000.000,11901000.000,11040000.000,,,,,,,,,,,,,
CostOfGoodsSold,9302000.000,8703000.000,7596000.000,8192000.000,7331000.000,6858000.000,8531000.000,3562000.000,6249000.000,8509000.000,8097000.000,7692000.000,7487000.000,7371000.000,7829000.000,6134000.000
CostOfRevenue,,,,,11026000.000,10674000.000,12527000.000,6595000.000,10012000.000,12397000.000,11968000.000,11933000.000,10889000.000,10935000.000,11319000.000,9823000.000
CostOfServices,3132000.000,3198000.000,3444000.000,3711000.000,3695000.000,3816000.000,3996000.000,3033000.000,3763000.000,3888000.000,3871000.000,4241000.000,3402000.000,3564000.000,3490000.000,3689000.000
CostsAndExpenses,8914000.000,9229000.000,9523000.000,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,-2000.000,,,,366000.000,,,,,,,,,,,
DepreciationDepletionAndAmortization,396000.000,400000.000,432000.000,367000.000,433000.000,522000.000,490000.000,446000.000,467000.000,474000.000,482000.000,492000.000,414000.000,349000.000,338000.000,347000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,-1163000.000,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,-374000.000,,,-1163000.000,-271000.000,-51000.000,413000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,915000.000,,,
DividendsPreferredStock,-39000.000,39000.000,32000.000,-169000.000,,,,,28000.000,27000.000,27000.000,27000.000,28000.000,25000.000,22000.000,20000.000
EarningsPerShareBasic,0.010,0.020,0.030,0.100,0.010,0.010,0.030,-0.020,-0.010,0.020,0.040,0.110,-0.020,0.020,0.060,-0.010
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,-0.020,,,
EarningsPerShareDiluted,0.010,0.020,0.030,0.090,0.010,0.010,0.030,-0.020,-0.010,0.020,0.040,0.100,-0.020,0.020,0.060,-0.010
EffectOfExchangeRateOnCashAndCashEquivalents,-287000.000,,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,161000.000,,,,-15000.000,,,,-340000.000,,,
FeesAndCommissionsOther,3865000.000,4447000.000,5821000.000,4919000.000,4712000.000,5536000.000,6537000.000,2085000.000,3686000.000,5603000.000,6947000.000,4058000.000,4298000.000,5737000.000,6359000.000,5347000.000
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,-307000.000,
GainLossOnSaleOfPropertyPlantEquipment,9000.000,,,,,,,,,,,,,,,
GrossProfit,9510000.000,10572000.000,11311000.000,10706000.000,10575000.000,10907000.000,13618000.000,6581000.000,8532000.000,12065000.000,13355000.000,11334000.000,9893000.000,11480000.000,12155000.000,10205000.000
IncomeLossFromContinuingOperations,,,,,,,,,-276000.000,1559000.000,2228000.000,5546000.000,605000.000,763000.000,1857000.000,340000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,454000.000,1146000.000,1709000.000,1034000.000,924000.000,1051000.000,2665000.000,-437000.000,-569000.000,2495000.000,3519000.000,1889000.000,158000.000,1224000.000,3181000.000,1752000.000
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,0.030,0.040,,0.010,0.020,0.060,-0.000
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,0.030,0.040,,0.010,0.020,0.060,-0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,,,,,,,,,,,,-684000.000,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,-0.010,,,-0.030,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,-0.010,,,-0.030,,,
IncomeTaxExpenseBenefit,52000.000,107000.000,70000.000,-4251000.000,348000.000,555000.000,890000.000,-102000.000,293000.000,936000.000,1291000.000,-4243000.000,-447000.000,461000.000,1324000.000,1412000.000
IncomeTaxesPaid,,,,,0.000,59000.000,40000.000,25000.000,7000.000,77000.000,57000.000,41000.000,1500000.000,258000.000,428000.000,414000.000
IncreaseDecreaseInAccountsAndOtherReceivables,4925000.000,,,,-5802000.000,,,,-1608000.000,,,,-2741000.000,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-3585000.000,,,,-3414000.000,,,,-756000.000,,,,-416000.000,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,,,-796000.000,,,
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,,,125000.000,,,,264000.000,,,
IncreaseDecreaseInDeferredRevenue,9000.000,,,,-576000.000,,,,-256000.000,,,,574000.000,,,
IncreaseDecreaseInEmployeeRelatedLiabilities,-1043000.000,,,,-409000.000,,,,44000.000,,,,-704000.000,,,
IncreaseDecreaseInIncomeTaxesReceivable,27000.000,,,,368000.000,,,,305000.000,,,,53000.000,,,
IncreaseDecreaseInInventories,44000.000,,,,49000.000,,,,87000.000,,,,-1000.000,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,-342000.000,,,,-205000.000,,,
IncreaseDecreaseInOtherOperatingAssets,7000.000,,,,-31000.000,,,,-4000.000,,,,-13000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-46000.000,,,,-71000.000,,,,-97000.000,,,,261000.000,,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,,,769630.000,2095784.000,,,2095784.000,2095784.000,,-28000.000,1727768.000,1727768.000,-1768999.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,1069314.000,280066.000,402686.000,,,,877526.000,,1718397.000,634761.000,710234.000,-2480704.000
InterestExpense,,,,,,,,,,,,,,,189000.000,
InterestPaid,,,,,24000.000,22000.000,21000.000,14000.000,12000.000,11000.000,5000.000,4000.000,3000.000,56000.000,172000.000,155000.000
NetCashProvidedByUsedInFinancingActivities,-776000.000,,,,-804000.000,,,,-87000.000,,,,-101000.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-776000.000,,,,-804000.000,,,,-87000.000,,,,-101000.000,,,
