,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29
AssetImpairmentCharges,,,,454000.000,696000.000,,1377000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-9969000.000,,,,-1586000.000,
ComprehensiveIncomeNetOfTax,,,2494000.000,-5681000.000,-16187000.000,-60439000.000,-18973000.000,-40055000.000
CostOfGoodsSold,222805000.000,200506000.000,215816000.000,201466000.000,201399000.000,209349000.000,203249000.000,208336000.000
DefinedBenefitPlanAmortizationOfNetGainsLosses,,,,1803000.000,1803000.000,,2247000.000,2247000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,6268000.000,6268000.000,,6258000.000,6258000.000
DefinedBenefitPlanInterestCost,,,,6058000.000,6058000.000,,5394000.000,5394000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,1593000.000,1593000.000,,1383000.000,1383000.000
DefinedContributionPlanCostRecognized,,,,723000.000,666000.000,,651000.000,749000.000
Depreciation,,,,,,,3530000.000,3502000.000
DepreciationDepletionAndAmortization,,,4968000.000,,,,4011000.000,
EarningsPerShareBasicAndDiluted,-0.120,-0.450,0.010,-0.120,-0.330,-0.420,-0.380,-5.150
GrossProfit,73420000.000,57541000.000,71442000.000,64008000.000,54240000.000,54604000.000,51478000.000,46648000.000
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,9000000.000,,,0.000,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,1377000.000,26883000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-6410000.000,-27293000.000,889000.000,-6560000.000,-17584000.000,-25788000.000,-21345000.000,-44787000.000
IncomeTaxExpenseBenefit,239000.000,-2747000.000,510000.000,210000.000,397000.000,-2891000.000,-142000.000,-3966000.000
IncomeTaxesPaidNet,,,63000.000,,,,27000.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,8934000.000,,,,-12286000.000,
IncreaseDecreaseInAccountsReceivable,,,23167000.000,,,,-13321000.000,
IncreaseDecreaseInDeferredIncomeTaxes,,,-268000.000,,,,-3593000.000,
IncreaseDecreaseInInventories,,,-2641000.000,,,,-2673000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,-2139000.000,,,,-4540000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,1300000.000,,,,-1108000.000,
InterestExpense,958000.000,862000.000,750000.000,840000.000,1798000.000,2293000.000,2424000.000,2481000.000
InterestPaidNet,,,823000.000,,,,2119000.000,
NetCashProvidedByUsedInFinancingActivities,,,14000.000,,,,11615000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,14000.000,,,,11615000.000,
NetCashProvidedByUsedInInvestingActivities,,,-1389000.000,,,,-1819000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-1389000.000,,,,-1819000.000,
NetCashProvidedByUsedInOperatingActivities,,,-8594000.000,,,,-11382000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-8594000.000,,,,-11382000.000,
NetIncomeLoss,-6649000.000,-24546000.000,379000.000,-6770000.000,-17981000.000,-22897000.000,-21203000.000,-40821000.000
OperatingIncomeLoss,-5836000.000,-26454000.000,1435000.000,-5819000.000,-15824000.000,-23867000.000,-19033000.000,-43187000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPeriodIncreaseDecrease,,,327000.000,,,,,
OtherComprehensiveIncomeLossBeforeTax,,,,1089000.000,1794000.000,,2230000.000,766000.000
OtherComprehensiveIncomeLossBeforeTaxPeriodIncreaseDecrease,,,2115000.000,,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,,,,-699000.000,6000.000,,-17000.000,-1481000.000
OtherComprehensiveIncomeLossNetOfTax,,,,1089000.000,1794000.000,,2230000.000,766000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,,,2115000.000,,,,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,,,,,,,-2247000.000,-2247000.000
OtherComprehensiveIncomeLossTaxPortionAttributableToParent,,,0.000,,,,,
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1,,,,0.000,0.000,,0.000,0.000
OtherComprehensiveIncomeMinimumPensionLiabilityNetAdjustmentBeforeTax,,,1788000.000,,,,,
OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlanNetTransitionAssetObligationRecognizedInNetPeriodicBenefitCostBeforeTax,,,,1788000.000,1788000.000,,,
OtherNoncashIncomeExpense,,,-226000.000,,,,-35000.000,
OtherNonoperatingIncomeExpense,384000.000,23000.000,204000.000,99000.000,38000.000,372000.000,112000.000,881000.000
PaymentsOfDebtIssuanceCosts,,,,,,,172000.000,
PaymentsToAcquirePropertyPlantAndEquipment,,,1440000.000,,,,1821000.000,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,20000000.000,
ProceedsFromPaymentsForOtherFinancingActivities,,,14000.000,,,,-1000.000,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,51000.000,,,,2000.000,
RepaymentsOfLinesOfCredit,,,,,,,212000.000,
RepaymentsOfLongTermDebt,,,,,,,8000000.000,
RestructuringCharges,,,,2376000.000,1457000.000,,2745000.000,15530000.000
Revenues,296225000.000,258047000.000,287258000.000,265474000.000,255639000.000,263953000.000,254727000.000,254984000.000
SalesRevenueNet,296225000.000,258047000.000,287258000.000,265474000.000,255639000.000,263953000.000,254727000.000,254984000.000
SellingGeneralAndAdministrativeExpense,79256000.000,74995000.000,70007000.000,69827000.000,70064000.000,69762000.000,69134000.000,62952000.000
ShareBasedCompensation,,,596000.000,,,,529000.000,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,0.000,0.000,,0.000,0.000
WeightedAverageNumberOfDilutedSharesOutstanding,54919000.000,54990000.000,55180000.000,55141000.000,55212000.000,-110377000.000,55348000.000,7929000.000
WeightedAverageNumberOfSharesIssuedBasic,,,,55141000.000,55212000.000,,55348000.000,7929000.000
WeightedAverageNumberOfSharesOutstandingBasic,54919000.000,54990000.000,55031000.000,55141000.000,55212000.000,-110228000.000,55348000.000,7929000.000
