,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,140074.000,140074.000,140074.000,140074.000,140074.000,140074.000,140074.000,140074.000,140074.000,142504.000,142504.000
AccountsPayableCurrent,540486.000,448533.000,889481.000,747925.000,853597.000,932873.000,1268947.000,972586.000,1025278.000,935979.000,1175221.000,1018776.000,581076.000,487192.000
AccountsReceivableNetCurrent,15313.000,123522.000,73312.000,370205.000,343238.000,226629.000,400419.000,34528.000,32783.000,94937.000,265245.000,41465.000,26184.000,143103.000
AccruedLiabilitiesCurrent,443736.000,474195.000,399227.000,384942.000,326707.000,397763.000,418069.000,383548.000,434726.000,446082.000,496011.000,451316.000,433139.000,442640.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,219235.000,243856.000,242706.000,,,,305515.000,,,
AdditionalPaidInCapital,17881504.000,19880247.000,20407748.000,21089755.000,21915600.000,22872445.000,24038807.000,24916567.000,25192255.000,25385729.000,25330474.000,23778389.000,23896754.000,23923613.000
AllowanceForDoubtfulAccountsReceivableCurrent,0.000,0.000,0.000,0.000,0.000,0.000,25200.000,25200.000,25200.000,0.000,0.000,0.000,0.000,0.000
Assets,1157202.000,1926827.000,1611238.000,1817952.000,1404835.000,1820772.000,2666838.000,2315280.000,2543228.000,3072217.000,2379485.000,3029492.000,2467920.000,2097269.000
AssetsCurrent,923813.000,1629526.000,1330355.000,1557529.000,1165392.000,1610157.000,2514538.000,1979076.000,2233595.000,2788957.000,2112263.000,2786359.000,2248143.000,1915049.000
BillingsInExcessOfCostNoncurrent,,,,,,,,,,,,,217229.000,96008.000
CapitalizedComputerSoftwareGross,,,,,71625.000,71625.000,71625.000,,,,71625.000,,,
Cash,105785.000,870908.000,371132.000,325042.000,23080.000,55533.000,78253.000,56199.000,501.000,560483.000,297385.000,1273843.000,807157.000,353166.000
CashAndCashEquivalentsAtCarryingValue,105785.000,870908.000,371132.000,325042.000,23080.000,55533.000,78253.000,56199.000,501.000,560483.000,297385.000,1273843.000,807157.000,353166.000
ClassOfWarrantOrRightOutstanding,,,,,,,172500.000,,,,,3060000.000,,
