,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31
AdjustmentForAmortization,254089.000,,,257999.000,,
AdvertisingExpense,,,,0.000,0.000,0.000
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,,,,143051.000
AmortizationOfIntangibleAssets,,,,15086.000,15176.000,15192.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,985921.000
BankingFeesAndCommissions,,,,,0.000,104.000
CashAndCashEquivalentsPeriodIncreaseDecrease,2477538.000,,,2038670.000,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments,,,,-20536.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,2230122.000,2707782.000,777824.000,-212539.000,-1073768.000,-836439.000
CostOfGoodsSold,6196651.000,5966161.000,3058282.000,2901143.000,2514475.000,2158649.000
CurrentForeignTaxExpenseBenefit,,,,376481.000,,
CurrentIncomeTaxExpenseBenefit,,,,183605.000,-32043.000,
DefinedBenefitPlanContributionsByEmployer,,,,67102.000,66154.000,64743.000
Depreciation,929917.000,,,902503.000,,
DepreciationDepletionAndAmortization,,,,781360.000,781606.000,782427.000
Dividends,,,,0.000,,
EarningsPerShareBasic,0.030,0.050,-0.010,0.003,-0.100,-0.080
EarningsPerShareDiluted,0.030,0.050,-0.010,0.003,-0.100,-0.080
EffectOfExchangeRateOnCashAndCashEquivalents,587698.000,,,-120458.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,0.250,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,0.250,0.250,
FairValueLiabilitiesMeasuredOnRecurringBasisChangeInUnrealizedGainLossIncludedInOtherIncome,,,,20536.000,-4712.000,
FairValueOptionChangesInFairValueGainLoss,926637.000,830085.000,,,,
FairValueOptionChangesInFairValueGainLoss1,,,79808.000,-20536.000,4712.000,-91358.000
GeneralAndAdministrativeExpense,3406035.000,2040607.000,2172307.000,1034493.000,2757901.000,1566375.000
GrossProfit,4814476.000,4327667.000,2622228.000,1773142.000,1406468.000,803660.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,1505925.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,,,-1269543.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1463013.000,2314200.000,194125.000,236382.000,-1800456.000,-1433809.000
IncomeTaxExpenseBenefit,518675.000,532116.000,297362.000,183605.000,-32043.000,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,,-42284.000,,
IncomeTaxReconciliationForeignIncomeTaxRateDifferential,,,,-150593.000,,
IncomeTaxesPaid,1832081.000,,,240005.000,,
IncreaseDecreaseInAccountsPayable,-951308.000,,,160272.000,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-1251412.000,,,-162440.000,,
IncreaseDecreaseInAccountsReceivable,2850347.000,,,-898394.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,-1313407.000,,,-56400.000,,
IncreaseDecreaseInAccruedLiabilities,-71761.000,,,-61789.000,,
IncreaseDecreaseInCustomerAdvances,306793.000,,,-80358.000,,
IncreaseDecreaseInInventories,207172.000,,,-168535.000,,
IncreaseDecreaseInNotesPayableCurrent,-1093491.000,,,-124209.000,,
IncreaseDecreaseInNotesReceivables,-133619.000,,,-167570.000,,
IncreaseDecreaseInOtherAccountsPayable,,,,-284198.000,,
IncreaseDecreaseInOtherReceivables,-3304.000,,,-700.000,,
IncreaseDecreaseInPrepaidExpense,23259.000,,,43283.000,,
IncreaseDecreaseInRestrictedCash,-1093491.000,,,-124209.000,,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,,,,985921.000,,
InterestIncomeExpenseNet,165942.000,180740.000,371290.000,128650.000,128784.000,122093.000
NetCashProvidedByUsedInInvestingActivities,515192.000,,,-181780.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,515192.000,,,-181780.000,,
NetCashProvidedByUsedInOperatingActivities,1962346.000,,,2220450.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1962346.000,,,2220450.000,,
NetIncomeLoss,944338.000,1782084.000,-103237.000,52777.000,-1768413.000,-1433809.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,52777.000,,
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,52777.000,,
OperatingExpenses,4457515.000,3064860.000,2900003.000,1644874.000,3354172.000,2270498.000
OperatingIncomeLoss,356961.000,1262807.000,-277775.000,128268.000,-1947704.000,-1466838.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,1285784.000,925698.000,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,881061.000,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,-265316.000,694645.000,597370.000
OtherDepreciationAndAmortization,,,,121143.000,121921.000,122103.000
OtherOperatingIncomeExpenseNet,13473.000,40568.000,20802.000,,13752.000,2294.000
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,2146968.000,,,-194027.000,,
PaymentsForConstructionInProcess,131198.000,,,,,
PaymentsToAcquireIntangibleAssets,,,,20983.000,,
PaymentsToAcquirePropertyPlantAndEquipment,403440.000,,,808.000,,
ProceedsFromInterestReceived,165942.000,,,128655.000,,
ProceedsFromSaleOfPropertyPlantAndEquipment,-43661.000,,,,,
ProductWarrantyExpense,,,,53080.000,53659.000,75110.000
ProvisionForDoubtfulAccounts,44402.000,,,-74384.000,,
ResearchAndDevelopmentExpense,,,,159210.000,1495032.000,298738.000
Revenues,11011127.000,10293828.000,5680510.000,4674285.000,3920943.000,2962309.000
SalesRevenueNet,11011127.000,10293828.000,5680510.000,4674285.000,3920943.000,2962309.000
SellingExpense,1051480.000,1024253.000,727696.000,610381.000,596271.000,704123.000
ShareBasedCompensation,,,,0.000,0.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,0.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,1.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,0.016,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,73709.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,,,15.940,,
StockIssued1,600.000,,,,,
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,2900.000,,,,,
StockOptionPlanExpense,,,,194027.000,194027.000,192561.000
WeightedAverageNumberOfDilutedSharesOutstanding,36105827.000,36363979.000,16638307.000,18182140.000,17196229.000,17196229.000
WeightedAverageNumberOfSharesOutstandingBasic,32751068.000,33276611.000,16638307.000,17196219.000,17196229.000,17196229.000
