,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,1985000.000,3284000.000,3033000.000,3685000.000,3806000.000,3859000.000,2856000.000,3052000.000,3509000.000,4720000.000,5956000.000,3589000.000,3018000.000
AccountsReceivableNetCurrent,251000.000,218000.000,120000.000,524000.000,485000.000,361000.000,936000.000,1284000.000,461000.000,860000.000,769000.000,794000.000,1689000.000
AccruedEmployeeBenefitsCurrent,,,,1422000.000,,,,3372000.000,,,,3696000.000,
AccruedLiabilitiesCurrent,2430000.000,2556000.000,3517000.000,8595000.000,4161000.000,5846000.000,7828000.000,8457000.000,6884000.000,7843000.000,6306000.000,5867000.000,4937000.000
AccruedProfessionalFeesCurrent,,,,380000.000,,,,749000.000,,,,864000.000,
AccruedVacationCurrent,,,,465000.000,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,240000.000,,,,626000.000,,,,1335000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-180000.000,-53000.000,-46000.000,22000.000,-158000.000,11000.000,32000.000,-64000.000,-193000.000,-166000.000
AdditionalPaidInCapitalCommonStock,78270000.000,150690000.000,152805000.000,157581000.000,160135000.000,171746000.000,175406000.000,178473000.000,243042000.000,247957000.000,251351000.000,254558000.000,258121000.000
Assets,82795000.000,146187000.000,139443000.000,161189000.000,147343000.000,147064000.000,136778000.000,128743000.000,178458000.000,168640000.000,157228000.000,142473000.000,128498000.000
AssetsCurrent,80592000.000,145781000.000,138930000.000,123527000.000,115516000.000,126418000.000,105454000.000,113187000.000,169580000.000,163321000.000,110387000.000,116987000.000,115236000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,97456000.000,115810000.000,105235000.000,95453000.000,87014000.000,70789000.000,48728000.000,136198000.000,112402000.000,101407000.000
