,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsNotesAndLoansReceivableNetCurrent,14360000.000,13675000.000,13280000.000,14260000.000,12193000.000,12268000.000,12354000.000,16682000.000,15479000.000,15064000.000,15460000.000,,,,,,,
AccountsPayableCurrent,4797000.000,4503000.000,4415000.000,5291000.000,4589000.000,5275000.000,6476000.000,5856000.000,6333000.000,5747000.000,6355000.000,2339000.000,1920000.000,1654000.000,4066000.000,3967000.000,5925000.000,3565000.000
AccountsReceivableNetCurrent,,,,,,,,,,,,12525000.000,12870000.000,14946000.000,19031000.000,16884000.000,17569000.000,21674000.000
AccruedEmployeeBenefitsCurrentAndNoncurrent,,,,,,,,31000.000,,,,38000.000,,,,51000.000,,
AccruedIncomeTaxesNoncurrent,1244000.000,1008000.000,665000.000,731000.000,735000.000,665000.000,678000.000,713000.000,709000.000,664000.000,517000.000,520000.000,531000.000,542000.000,568000.000,465000.000,470000.000,470000.000
AccruedLiabilitiesCurrent,2840000.000,2954000.000,2734000.000,3215000.000,3101000.000,4167000.000,4991000.000,4369000.000,5982000.000,6635000.000,403000.000,370000.000,681000.000,1275000.000,557000.000,592000.000,550000.000,702000.000
AccruedSalariesCurrent,,,,,,,,,,,,,,5445000.000,7038000.000,,5912000.000,6510000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,14440000.000,15249000.000,16128000.000,17032000.000,17774000.000,17844000.000,18868000.000,19925000.000,21109000.000,22333000.000,23620000.000,23785000.000,25106000.000,25584000.000,27387000.000,29121000.000,30929000.000,31008000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,690000.000,326000.000,48000.000,341000.000,80000.000,193000.000,255000.000,31000.000,17000.000,235000.000,331000.000,409000.000,435000.000,-11000.000,-376000.000,464000.000,613000.000,307000.000
AdditionalPaidInCapital,53998000.000,52236000.000,53495000.000,55125000.000,,,,,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,57266000.000,72073000.000,73751000.000,75508000.000,76999000.000,79779000.000,81427000.000,83562000.000,82742000.000,85505000.000,282341000.000,285280000.000,285835000.000,288210000.000
AllowanceForDoubtfulAccountsReceivableCurrent,627000.000,610000.000,770000.000,649000.000,621000.000,655000.000,712000.000,866000.000,828000.000,624000.000,414000.000,162000.000,72000.000,85000.000,83000.000,179000.000,69000.000,91000.000
