,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,26180000.000,,,,28064000.000,,,,23773000.000,,,,26668000.000,,,,29921000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,1700000.000,-247000.000,-432000.000,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,1336000.000,1770000.000,1736000.000,1435000.000,1796000.000,1911000.000,1744000.000,1416000.000,-509000.000,-682000.000,-1162000.000,-671000.000,1309000.000,-54000.000,3378000.000,6184000.000,2198000.000,5007000.000,2559000.000,8270000.000,12343000.000,11064000.000,-2606000.000,-1133000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxHeldtomaturityDebtSecurities,,,,,,,,-284000.000,-262000.000,-250000.000,,,,,,,,,,,,,,
Assets,1338735000.000,1369090000.000,1368985000.000,1374864000.000,1338139000.000,1366582000.000,1345540000.000,1447080000.000,1425635000.000,1674417000.000,1659038000.000,1662473000.000,3391579000.000,3451320000.000,3457750000.000,3459349000.000,3480324000.000,3595378000.000,3650792000.000,3678032000.000,3756876000.000,3846376000.000,3878981000.000,3885613000.000
AssetsSoldUnderAgreementsToRepurchaseInterestRate,,,,,,,0.003,,,,0.003,,,,0.003,,,,,,,,,
AvailableForSaleSecurities,147864000.000,141747000.000,144602000.000,143186000.000,149778000.000,147682000.000,144293000.000,147148000.000,143155000.000,167226000.000,163134000.000,138794000.000,652477000.000,682651000.000,742846000.000,747299000.000,699122000.000,703093000.000,811869000.000,822171000.000,815920000.000,819159000.000,794645000.000,783021000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,10879000.000,5567000.000,8861000.000,7072000.000,13662000.000,19510000.000,17880000.000,4281000.000,5504000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,1065000.000,2176000.000,1141000.000,3124000.000,914000.000,492000.000,832000.000,8275000.000,7231000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,146489000.000,144246000.000,141151000.000,144530000.000,143534000.000,167891000.000,164553000.000,139479000.000,650138000.000,682431000.000,737345000.000,737485000.000,695731000.000,695373000.000,807921000.000,809423000.000,796902000.000,802111000.000,798639000.000,784748000.000
