,2011-01-02,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27
AccountsPayableCurrent,,607800000.000,675800000.000,695000000.000,671200000.000,715200000.000,757400000.000,741900000.000,802400000.000,941000000.000,868000000.000,815000000.000,959000000.000,1047000000.000,978000000.000,1015000000.000,1108000000.000,1162000000.000,1041000000.000,945000000.000
AccountsReceivableNetCurrent,,978700000.000,,,,,,,,,,,,,,,,,,
AccrualForEnvironmentalLossContingencies,,,,,,,,,,,,,,525000000.000,,,,448000000.000,,
AccrualForEnvironmentalLossContingenciesGross,,66800000.000,,,,71400000.000,,,,294400000.000,,,543000000.000,,514000000.000,483000000.000,465000000.000,,443000000.000,437000000.000
AccruedEnvironmentalLossContingenciesCurrent,,,,,,,,,,49500000.000,,,76000000.000,61000000.000,51000000.000,118000000.000,106000000.000,95000000.000,90000000.000,81000000.000
AccruedIncomeTaxesCurrent,,,26100000.000,,,,125400000.000,0.000,0.000,,150000000.000,,,,,,,,97000000.000,
AccruedLiabilitiesCurrent,,304000000.000,285200000.000,329300000.000,336000000.000,335200000.000,323700000.000,345500000.000,559900000.000,552200000.000,541000000.000,545000000.000,605000000.000,556000000.000,557000000.000,599000000.000,584000000.000,559000000.000,519000000.000,506000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,1165400000.000,1198700000.000,1211300000.000,1245300000.000,1286300000.000,1312200000.000,1364700000.000,1403000000.000,1441100000.000,1494000000.000,1558000000.000,1624000000.000,1680000000.000,1746000000.000,1786000000.000,1823000000.000,1854000000.000,1932000000.000,1988000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,,,,,,14600000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,1700000.000,1000000.000,-1800000.000,-2600000.000,700000.000,-1400000.000,2800000.000,4900000.000,1100000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,269000000.000,-269000000.000,-269000000.000,-269000000.000,462000000.000,462000000.000,462000000.000,462000000.000,488800000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,32700000.000,49900000.000,-5600000.000,-16600000.000,19600000.000,-26200000.000,20800000.000,20000000.000,-79100000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,-234600000.000,-218100000.000,-276400000.000,-288200000.000,-441700000.000,-489600000.000,-438400000.000,-437100000.000,-552200000.000,-557000000.000,-447000000.000,-421000000.000,-418000000.000,-387000000.000,-507000000.000,-633000000.000,-955000000.000,-833000000.000,-938000000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,55600000.000,87300000.000,85500000.000,89900000.000,124200000.000,176100000.000,398200000.000,454000000.000,,,,,,,,,,
AdditionalPaidInCapital,,1455700000.000,1492300000.000,1517200000.000,1587900000.000,1653600000.000,1675200000.000,1695500000.000,1787700000.000,1776800000.000,1750000000.000,1551000000.000,1618000000.000,1487000000.000,1380000000.000,883000000.000,724000000.000,60000000.000,0.000,0.000
AllowanceForDoubtfulAccountsReceivable,,2500000.000,,,,3900000.000,,,,6200000.000,,,,8000000.000,,,,12000000.000,,
AssetRetirementObligation,,,,,,,,,,6300000.000,,,,6000000.000,,,,5000000.000,,
Assets,,8955900000.000,9370100000.000,9871300000.000,10197800000.000,10558800000.000,11067500000.000,11810800000.000,16689900000.000,16896000000.000,16841000000.000,17181000000.000,18332000000.000,18586000000.000,19475000000.000,19562000000.000,19651000000.000,19428000000.000,20382000000.000,20189000000.000
AssetsCurrent,,3650600000.000,3996500000.000,3189200000.000,3375200000.000,3785800000.000,3479400000.000,3623000000.000,5214600000.000,5080200000.000,5124000000.000,5246000000.000,5345000000.000,5507000000.000,5730000000.000,5855000000.000,6002000000.000,5972000000.000,6569000000.000,6152000000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,57800000.000,57800000.000,57300000.000,56300000.000,113600000.000,113800000.000,74900000.000,85800000.000,87200000.000,35000000.000,31000000.000,33000000.000,36000000.000,34000000.000,69000000.000,66000000.000,56000000.000,58000000.000,60000000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,12500000.000,13100000.000,13600000.000,13500000.000,43600000.000,44300000.000,37500000.000,41200000.000,43200000.000,6000000.000,4000000.000,6000000.000,9000000.000,9000000.000,31000000.000,29000000.000,28000000.000,29000000.000,29000000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,45300000.000,44700000.000,43700000.000,42800000.000,70000000.000,69500000.000,37400000.000,44600000.000,44000000.000,29000000.000,27000000.000,27000000.000,27000000.000,25000000.000,38000000.000,37000000.000,28000000.000,,
BuildingsAndImprovementsGross,,332600000.000,,,,357300000.000,,,,464300000.000,,,,527000000.000,,,,578000000.000,,
