,2011-06-30,2011-09-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,1265673.000,1629696.000,1844003.000,1941588.000,2431919.000,2078418.000,2335177.000,1706737.000,671018.000,547744.000,750011.000,977214.000,498010.000,408782.000,497794.000,1509999.000,4174197.000,1710182.000,2150583.000,2713493.000
AccountsReceivableNet,,,,,,,,,,,,,,,,,744703.000,595639.000,805372.000,1172345.000
AccruedBonusesCurrent,101436.000,101436.000,101436.000,101436.000,101436.000,101436.000,101436.000,101436.000,282821.000,,,207450.000,436419.000,665253.000,478274.000,241335.000,470220.000,705955.000,465393.000,261486.000
AccruedEmployeeBenefitsCurrent,,,,,,,,,,,,,,,,,,,126248.000,
AccruedIncomeTaxesCurrent,,,,,,,,,,,,,,,,,,,12200.000,
AccruedLiabilitiesCurrent,444737.000,558516.000,332243.000,371158.000,754709.000,232228.000,562322.000,590648.000,159955.000,35012.000,70012.000,262129.000,222635.000,374109.000,214036.000,332156.000,1967605.000,1803215.000,1609625.000,1649911.000
AccruedRentCurrent,,,,,,,,,,,,,,,,,,,35223.000,
AccruedRentCurrentAndNoncurrent,,,,,55283.000,,,,,,,,,,,,,,,
AccruedSalariesCurrent,,,,,,,,,,,,,,,,,,,205700.000,
AccruedSalesCommissionCurrent,,,,,,,,,,,,,,,,,,,253005.000,
AccruedVacationCurrent,,,,,,,,,,,,,,,,,,,174709.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,4855.000,,,,,,38840.000,,190893.000,358612.000,523552.000,688005.000
AdditionalPaidInCapital,25877785.000,26549148.000,29290437.000,33090595.000,33643449.000,34038419.000,34112775.000,54683024.000,58324941.000,58674494.000,63926930.000,76334011.000,77089669.000,77734722.000,78339143.000,84128764.000,96178713.000,112555117.000,113741412.000,115114321.000
Assets,687556.000,371147.000,764007.000,920816.000,350929.000,,3522665.000,14763820.000,15121616.000,11562139.000,15104577.000,20014968.000,16949476.000,14577967.000,12061853.000,12656970.000,29365590.000,36749825.000,37786412.000,33698153.000
AssetsCurrent,487556.000,241147.000,634007.000,790816.000,350929.000,4111298.000,,4763820.000,5417739.000,2154385.000,5992945.000,11319530.000,8501611.000,6377675.000,4151633.000,4994323.000,2558699.000,10728328.000,7070239.000,3700396.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,0.000,,,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,200000.000,130000.000,130000.000,,,,,,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,130000.000,,,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,,,,,,,,,,,,,,,,5722500.000,5722500.000,,,
Cash,191223.000,3026.000,10089.000,1423.000,,3413522.000,119579.000,4674162.000,5403235.000,2129613.000,5942875.000,11243501.000,8455367.000,6310340.000,4080648.000,4426883.000,417076.000,7810522.000,4090651.000,399469.000
CashAndCashEquivalentsAtCarryingValue,191223.000,3026.000,10089.000,1423.000,,,119579.000,4674162.000,,2129613.000,,,,,,,,,,
CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,5095760.000,1407676.000
ClassOfWarrantOrRightOutstanding,,,,1804645.000,1800505.000,15688668.000,,,,,,2306032.000,2306032.000,2306032.000,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,19968972.000,19968972.000,25140563.000,39028726.000,38878726.000,2968583.000,,,,5701249.000,6710270.000,6695270.000,6710270.000,9722573.000,12481099.000,15671700.000,14489466.000,16665658.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,65000.000,,,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,175000000.000,175000000.000,175000000.000,175000000.000,200000000.000,200000000.000,200000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,93112147.000,95562147.000,103573426.000,108742796.000,109656180.000,109656181.000,110104597.000,10219528.000,10809059.000,10809059.000,10809059.000,13730928.000,13736522.000,13739199.000,13739199.000,13766601.000,17621114.000,21199959.000,22299083.000,22942253.000
CommonStockSharesOutstanding,87883959.000,90333959.000,98345238.000,103514608.000,104427992.000,104427992.000,104876409.000,9911988.000,10501519.000,10501519.000,10501519.000,13423388.000,13428982.000,13431659.000,13431659.000,13459061.000,17313574.000,20892419.000,21991543.000,22634713.000
CommonStockValue,9311.000,9556.000,10357.000,10874.000,10966.000,11008.000,11011.000,1022.000,1081.000,1081.000,1086.000,1373.000,1374.000,1374.000,1374.000,1377.000,1762.000,2120.000,2230.000,2294.000
ConvertibleDebt,,,1646651.000,,,,,,,,,,,,,,,,,
ConvertibleDebtCurrent,,,,1299212.000,982997.000,541179.000,561295.000,581413.000,383339.000,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,539764.000,,,,,,,,,,,,,,,,,
DeferredCompensationShareBasedArrangementsLiabilityCurrent,,,,,,1781592.000,377126.000,1146445.000,1019539.000,427613.000,1053780.000,516152.000,608178.000,,,,,,,
DeferredFinanceCostsCurrentNet,,,,685091.000,286582.000,647171.000,347986.000,66369.000,,,,,,,,,,,,
DeferredFinanceCostsNet,,,562494.000,,,,,,,,,,,,,,,,,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,5006000.000,
DeferredRevenueCurrent,,,,,,,,,,,,,,,,,,44179.000,54478.000,82082.000
DeferredTaxAssetsGross,,,,,44037000.000,,,,44896000.000,,,,,,17764500.000,,,,24416500.000,
DeferredTaxAssetsNet,,,,,,,,,,,,,,,,,,,4177400.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,43458000.000,,,,44198000.000,,,,,,15486000.000,,,,22998800.000,
DeferredTaxAssetsOther,,,,,579000.000,,,,698000.000,,,,,,,,,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,,,,,380900.000,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,,,,,,,,,,1601500.000,,,,739100.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,,,,,,,,,,,,296100.000,,,,678600.000,
DeferredTaxAssetsValuationAllowance,,,,,44037000.000,,,,44896000.000,,,,,,17764500.000,,,,20239100.000,
DeferredTaxLiabilities,,,,,,,,,,,,,,,,,,,828600.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,,,,,,,,,,,,,,,,,,,5416000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,,,,,,,,,,,,,829000.000,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,,828556.000,828556.000
DeferredTaxLiabilitiesOtherFiniteLivedAssets,,,,,,,,,,,,,,,,,,,4605400.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,400600.000,
DepositsAssetsNoncurrent,,,,,,,,,,,,,,,85000.000,85000.000,85000.000,85000.000,42500.000,42500.000
DerivativeFairValueOfDerivativeLiability,,,,,,,,,1398041.000,1302574.000,1485759.000,828984.000,942464.000,783029.000,1557716.000,1878196.000,,,,
DerivativeLiabilities,,,159745.000,,,,,,,,,,,,,,,,,
DerivativeLiabilitiesCurrent,,,,21363.000,50545.000,641113.000,730843.000,,,,,312832.000,334286.000,,,,,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,,,,193183.000,162456.000,2923370.000,381026.000,,,,,,,,,,,,,
