,2011-01-02,2011-04-03,2011-07-03,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02
AccountsPayableCurrent,59817000.000,64528000.000,71423000.000,80826000.000,52868000.000,55766000.000,55901000.000,54907000.000,58704000.000,51439000.000,58468000.000,52809000.000,47893000.000,49940000.000,48251000.000,33462000.000,42678000.000,195017000.000,145286000.000,145757000.000,143383000.000,148278000.000,174389000.000,228851000.000,241424000.000,265524000.000,214222000.000
AccountsReceivableGross,,,174638000.000,137813000.000,107433000.000,105877000.000,130017000.000,129029000.000,87050000.000,136734000.000,118858000.000,112265000.000,84431000.000,121585000.000,119812000.000,109327000.000,79091000.000,195678000.000,265008000.000,297391000.000,295803000.000,300981000.000,328635000.000,352737000.000,338061000.000,322300000.000,341892000.000
AccountsReceivableNet,,,170716000.000,133924000.000,103524000.000,102100000.000,126190000.000,125202000.000,82920000.000,132640000.000,114792000.000,,81084000.000,,,,75984000.000,,,,,,,,,,
AccountsReceivableNetCurrent,117726000.000,173389000.000,170716000.000,133924000.000,103524000.000,102100000.000,126190000.000,125202000.000,82920000.000,132640000.000,114792000.000,108200000.000,81084000.000,118215000.000,115805000.000,105853000.000,75984000.000,192136000.000,261373000.000,293832000.000,292736000.000,297919000.000,325142000.000,349837000.000,333037000.000,317276000.000,336547000.000
AccruedExchangeFeeRebateCurrent,,,,,,,,,,,,,,,,,,,,5127000.000,,,,,,,
AccruedIncomeTaxesCurrent,11631000.000,10619000.000,9632000.000,11020000.000,4629000.000,5538000.000,5349000.000,5370000.000,6526000.000,5291000.000,4001000.000,3243000.000,3034000.000,2874000.000,2213000.000,3023000.000,2710000.000,4152000.000,5690000.000,5032000.000,3262000.000,1607000.000,3581000.000,,,,
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,53202000.000,51981000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,957320000.000,,,,1012271000.000,,,,1023219000.000,,,,1038388000.000,,,,1159298000.000,,,,444459000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,-1776000.000,-2032000.000,-1551000.000,-1349000.000,588000.000,-421000.000,-61000.000,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3203000.000,-2090000.000,-1980000.000,-2069000.000,-1940000.000,-1738000.000,588000.000,-421000.000,-444000.000,804000.000,-426000.000,-474000.000,-177000.000,-182000.000,-192000.000,-204000.000,-46000.000,-85000.000,-1209000.000,-267000.000,-227000.000,919000.000,1552000.000,391000.000,-8811000.000,-4318000.000,-3336000.000
AdditionalPaidInCapital,2401996000.000,2381119000.000,2533974000.000,2554306000.000,2579348000.000,2601557000.000,2608144000.000,2619422000.000,2612579000.000,2619946000.000,2629297000.000,2650629000.000,2665453000.000,2675102000.000,2662668000.000,2681923000.000,2675170000.000,5625586000.000,5635503000.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,,,,5633026000.000,5623411000.000,5620191000.000,5679928000.000,5675399000.000,5676236000.000,5686440000.000,5693948000.000
AdvancesOnInventoryPurchases,,,,,,,,,,,,,,,,,,,,,,,10844000.000,12712000.000,16549000.000,17422000.000,19388000.000
AllowanceForDoubtfulAccountsReceivable,,,3922000.000,3889000.000,3909000.000,3777000.000,3827000.000,3827000.000,4130000.000,4094000.000,4066000.000,4065000.000,3347000.000,3370000.000,4007000.000,3474000.000,3107000.000,3542000.000,3635000.000,3559000.000,3067000.000,3062000.000,3493000.000,2900000.000,5024000.000,5024000.000,5345000.000
AssetRetirementObligationsNoncurrent,,,,,,,,,,,,,,,,,,,,,,,5024000.000,4852000.000,5067000.000,4980000.000,5371000.000
Assets,1072801000.000,993941000.000,1107204000.000,851486000.000,810090000.000,761741000.000,881407000.000,879024000.000,831629000.000,836094000.000,809623000.000,795991000.000,765836000.000,780907000.000,786266000.000,777109000.000,743281000.000,4201446000.000,4111301000.000,4081932000.000,4004261000.000,3766461000.000,3403754000.000,3889824000.000,3871871000.000,3806907000.000,3744110000.000
AssetsCurrent,695658000.000,609399000.000,695057000.000,433869000.000,405650000.000,359990000.000,481616000.000,482929000.000,368808000.000,386499000.000,359867000.000,349987000.000,319713000.000,343427000.000,346543000.000,344114000.000,312311000.000,821535000.000,796562000.000,874771000.000,850772000.000,713222000.000,863005000.000,849840000.000,893943000.000,882295000.000,881130000.000
AssetsFairValueDisclosure,,,175151000.000,119177000.000,200898000.000,126231000.000,199547000.000,216266000.000,126523000.000,126597000.000,95653000.000,85873000.000,93037000.000,70271000.000,65699000.000,61672000.000,75350000.000,65848000.000,66911000.000,48477000.000,49721000.000,54448000.000,54020000.000,51415000.000,53438000.000,49353000.000,49576000.000
AssetsHeldForSaleCurrent,,,6913000.000,12111000.000,6913000.000,6913000.000,6913000.000,6913000.000,4630000.000,6880000.000,6880000.000,6880000.000,2260000.000,0.000,0.000,0.000,,,,,,,,,,,
AssetsHeldForSaleLongLived,,,,,5200000.000,,,,,6000000.000,6000000.000,,,,,,,,,,,,,,,,
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,,,,,,,,,,,,,,,,,,,,,,,,31904000.000,30796000.000,0.000,0.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,,,,,,,0.000,5079000.000,4926000.000,,,,,,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,22769000.000,13768000.000,11232000.000,965000.000,990000.000,,,,,,
AvailableForSaleSecurities,,,,,,,,,,,56902000.000,45406000.000,48172000.000,28130000.000,22156000.000,17765000.000,31234000.000,13767000.000,11229000.000,965000.000,990000.000,,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,0.000,3000.000,2000.000,,,,,,,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,1523000.000,4000.000,5000.000,,,,,,,,
AvailableForSaleSecuritiesAmortizedCost,,,151891000.000,99379000.000,169976000.000,91424000.000,162936000.000,178058000.000,92020000.000,93756000.000,63297000.000,51849000.000,48162000.000,28125000.000,22161000.000,17775000.000,32757000.000,13768000.000,11232000.000,965000.000,990000.000,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,149848000.000,96387000.000,166723000.000,86969000.000,158481000.000,173603000.000,84078000.000,79836000.000,50431000.000,38982000.000,48162000.000,28125000.000,22161000.000,17775000.000,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,21000000.000,53871000.000,124622000.000,57422000.000,139815000.000,155701000.000,71631000.000,64728000.000,40498000.000,31837000.000,48162000.000,28125000.000,11549000.000,7587000.000,14206000.000,11017000.000,10105000.000,965000.000,990000.000,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,,,,,,,,,,28130000.000,11548000.000,7585000.000,14199000.000,11015000.000,10102000.000,965000.000,990000.000,,,,,,
AvailableForSaleSecuritiesDebtSecurities,,,147949000.000,94545000.000,164909000.000,81211000.000,157219000.000,,83698000.000,79469000.000,50022000.000,38526000.000,48172000.000,28130000.000,22156000.000,17765000.000,22741000.000,13767000.000,11229000.000,965000.000,990000.000,,,,,,
AvailableForSaleSecuritiesEquitySecuritiesNoncurrent,,,6185000.000,6669000.000,6213000.000,12757000.000,14598000.000,13237000.000,7054000.000,9019000.000,10361000.000,10361000.000,17961000.000,19040000.000,27073000.000,28314000.000,34992000.000,37110000.000,42038000.000,43535000.000,57030000.000,62089000.000,61121000.000,203810000.000,13331000.000,14856000.000,15625000.000
AvailableForSaleSecuritiesFairValueDisclosure,,,150134000.000,97214000.000,167922000.000,89588000.000,163437000.000,178626000.000,89381000.000,88507000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,2076000.000,2287000.000,2160000.000,2086000.000,1565000.000,1327000.000,2733000.000,6402000.000,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesFailedAuctionValue,,,18931000.000,19072000.000,19004000.000,19065000.000,14580000.000,14821000.000,5504000.000,4535000.000,4506000.000,4434000.000,0.000,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,319000.000,122000.000,106000.000,250000.000,2066000.000,1895000.000,94000.000,1153000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,,,,,107863000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,,,,,,,,,29855000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,,,,,,,,,54143000.000,54143000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,,,,,,,,,29855000.000,29855000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,,,,,,,,,40153000.000,40153000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,,,,,,,,,3829000.000,3829000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,,,,,,,,,3515000.000,3515000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,,,,,,,,,32358000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,,,,,,,,,24288000.000,24288000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationNoncurrentAssets,,,,,,,,,3462000.000,3462000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherAssets,,,,,,,,,6699000.000,6699000.000,,,,,,,,,,,,,,,,,
BusinessAcquisitionPurchasePriceAllocationOtherLiabilities,,,,,,,,,20773000.000,20773000.000,,,,,,,,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue,,,,,,,,,5170000.000,,,,,,,,,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,,,,,,,,,0.040,,,,,,,,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,,,2257000.000,2257000.000,2257000.000,2257000.000,2257000.000,4849000.000,2389000.000,2257000.000,2257000.000,2659000.000,2722000.000,3132000.000,2708000.000,3227000.000,3152000.000,2769000.000,5921000.000,,,,40000.000,40000.000,,
CapitalLeaseObligationsNoncurrent,,,,11910000.000,12982000.000,13224000.000,14052000.000,13417000.000,12779000.000,12136000.000,11489000.000,10885000.000,9828000.000,9106000.000,8722000.000,7792000.000,7105000.000,,,,,,,0.000,0.000,,
CapitalLeasedAssetsGross,,,,,,,,,,,,,,20500000.000,,,20500000.000,,,,,,,,,,
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,,,,15400000.000,,,13700000.000,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,14919000.000,16429000.000,16578000.000,17459000.000,16724000.000,15990000.000,15254000.000,14525000.000,13842000.000,13052000.000,12370000.000,12325000.000,10903000.000,10672000.000,9436000.000,8701000.000,7966000.000,7314000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,564000.000,2554000.000,2011000.000,1468000.000,734000.000,2936000.000,2202000.000,1473000.000,790000.000,2659000.000,2254000.000,1716000.000,785000.000,3440000.000,,,,6715000.000,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,2256000.000,2554000.000,6524000.000,7181000.000,7182000.000,600000.000,599000.000,599000.000,599000.000,0.000,0.000,,,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,2256000.000,2554000.000,2681000.000,2937000.000,2936000.000,6581000.000,6581000.000,6581000.000,6581000.000,876000.000,599000.000,599000.000,599000.000,,,,,,,,,,,
