,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,5800.000
Assets,0.000,0.000,0.000,0.000,,,,0.000,
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000
CommonStockSharesOutstanding,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000,31390000.000
CommonStockValue,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000
DeferredTaxAssetsNet,,,1068.000,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,3139.000,,,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000,3139.000,8930.000
Liabilities,,,,,,,,,5800.000
LiabilitiesAndStockholdersEquity,0.000,0.000,0.000,0.000,,,,0.000,
LiabilitiesCurrent,,,,,,,,,5800.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
PreferredStockSharesIssued,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000
StockholdersEquity,,,,,,,,,-5800.000
