,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsAndOtherReceivablesNetCurrent,,,36000.000,,,,8000.000,
AccountsPayableCurrent,39000.000,39000.000,58000.000,43000.000,28000.000,69000.000,82000.000,123000.000
AccountsPayableOtherCurrent,226000.000,231000.000,239000.000,286000.000,289000.000,334000.000,483000.000,508000.000
AccountsReceivableNetCurrent,14000.000,6000.000,5000.000,11000.000,7000.000,11000.000,6000.000,4000.000
AccruedIncomeTaxesCurrent,,,97000.000,,,,214000.000,
AccruedLiabilitiesCurrent,,,47000.000,,,,99000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,100000.000,,,,40000.000,
AdditionalPaidInCapital,19382000.000,19454000.000,19521000.000,19619000.000,19675000.000,19838000.000,20073000.000,21487000.000
AllowanceForDoubtfulAccountsReceivable,,,,2.000,,,,
Assets,2629000.000,2353000.000,1983000.000,1651000.000,1237000.000,924000.000,494000.000,446000.000
AssetsCurrent,2423000.000,2151000.000,1776000.000,1419000.000,988000.000,677000.000,221000.000,159000.000
AssetsNoncurrent,,,,,,,273000.000,287000.000
CashAndCashEquivalentsAtCarryingValue,2258000.000,1994000.000,1614000.000,1278000.000,799000.000,532000.000,106000.000,51000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,5.900
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,140000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,24000000.000,24000000.000,24000000.000,24000000.000,20000000.000,20000000.000,20000000.000,24000000.000
CommonStockSharesIssued,2611328.000,2611328.000,2611328.000,2623710.000,2623710.000,2632710.000,2632710.000,2632710.000
CommonStockSharesOutstanding,2611328.000,2611328.000,2611328.000,2623710.000,2623710.000,2632710.000,2632710.000,2632710.000
CommonStockValue,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000
ConvertibleDebtCurrent,0.000,0.000,0.000,,,,,
ConvertibleLongTermNotesPayable,,,,,,,,134000.000
DeferredCosts,0.000,0.000,0.000,,,,,
DeferredTaxAssetsGross,,,4760000.000,,,,3928000.000,
DeferredTaxAssetsLiabilitiesNet,,,0.000,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,4750000.000,,,,3894000.000,
DeferredTaxAssetsOther,,,10000.000,,,,34000.000,
DeferredTaxAssetsValuationAllowance,,,4760000.000,,,,3928000.000,
EmployeeRelatedLiabilitiesCurrent,,,95000.000,,,,170000.000,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,565000.000,,
InventoryFinishedGoods,,,,,,,18000.000,
InventoryNet,53000.000,74000.000,71000.000,76000.000,59000.000,63000.000,67000.000,60000.000
InventoryRawMaterials,,,,,,,44000.000,
InventoryWorkInProcess,,,,,,,5000.000,
LiabilitiesAndStockholdersEquity,2629000.000,2353000.000,1983000.000,1651000.000,1237000.000,924000.000,494000.000,446000.000
LiabilitiesCurrent,265000.000,270000.000,297000.000,329000.000,317000.000,403000.000,565000.000,631000.000
LiabilitiesNoncurrent,892000.000,1578000.000,1895000.000,1928000.000,2080000.000,2124000.000,2428000.000,2618000.000
OperatingLeasesFutureMinimumPaymentsDue,,,45000.000,37000.000,33000.000,24000.000,15000.000,9000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,30000.000,15000.000,15000.000,16000.000,15000.000,9000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,15000.000,,,,,
OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,,,,22000.000,18000.000,8000.000,,
OperatingLossCarryforwards,,,13651.000,,,,11125000.000,
OtherAccountsPayableAndAccruedLiabilities,,,239000.000,,,,483000.000,
OtherAccruedLiabilitiesNoncurrent,194000.000,192000.000,199000.000,231000.000,237000.000,237000.000,349000.000,370000.000
PrepaidExpenseAndOtherAssetsCurrent,98000.000,77000.000,86000.000,54000.000,123000.000,71000.000,42000.000,44000.000
PrepaidExpenseCurrent,,,50000.000,,,,34000.000,
PrepaidExpenseNoncurrent,,,,,,,5000.000,5000.000
PropertyPlantAndEquipmentGross,,,110000.000,,,,51000.000,
PropertyPlantAndEquipmentNet,14000.000,12000.000,10000.000,15000.000,14000.000,12000.000,11000.000,10000.000
RetainedEarningsAccumulatedDeficit,-17914000.000,-18953000.000,-19734000.000,-20229000.000,-20839000.000,-21445000.000,-22576000.000,-24294000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,250404.000,,,,115404.000,
StockholdersEquity,1472000.000,505000.000,-209000.000,-606000.000,-1160000.000,-1603000.000,-2499000.000,-2803000.000
UnrecognizedTaxBenefits,,,,,,,170000.000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,,,16000.000,
WarrantsAndRightsOutstanding,698000.000,1386000.000,1696000.000,1697000.000,1843000.000,1887000.000,2079000.000,2114000.000
