,2011-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,117447.000
AccountsReceivableNetCurrent,0.000
AccruedIncomeTaxesCurrent,0.000
Assets,983.000
AssetsCurrent,1.000
CashAndCashEquivalentsAtCarryingValue,1.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,300000000.000
CommonStockSharesIssued,292138400.000
CommonStockSharesOutstanding,292138400.000
CommonStockValue,292138.000
DueToOfficersOrStockholdersCurrent,0.000
LiabilitiesAndStockholdersEquity,983.000
LiabilitiesCurrent,199305.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,500000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PreferredStockValue,0.000
PropertyPlantAndEquipmentNet,982.000
RetainedEarningsAccumulatedDeficit,-490460.000
StockholdersEquity,-198322.000
