,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
CashAndCashEquivalentsPeriodIncreaseDecrease,,-45.000,,,,-45.000,,
DepreciationAndAmortization,0.000,,,,,,,
EarningsPerShareBasic,,-0.002,-0.000,-0.000,0.002,-0.000,-0.000,
EarningsPerShareBasicAndDiluted,,,-0.000,,,-0.000,,-0.000
EarningsPerShareDiluted,,-0.002,-0.000,-0.000,0.002,-0.000,-0.000,
GainLossOnInvestments,,-29022.000,47050.000,,,,,
GainLossOnSaleOfEquityInvestments,,29022.000,,,,,,
GeneralAndAdministrativeExpense,10797.000,17651.000,43514.000,7338.000,12803.000,3060.000,7667.000,3208.000
IncomeLossFromContinuingOperations,-10797.000,,,,,,,-3208.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,-51803.000,20039.000,-7338.000,-14514.000,-3060.000,-7667.000,
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.030,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.000,,,,,,,-0.000
IncomeLossFromEquityMethodInvestments,7563.000,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,21849.000,,,,3015.000,,
IncreaseDecreaseInReceivables,,-81000.000,,,,,,
InvestmentIncomeNet,,,2.000,,,,,
MarketableSecuritiesGainLoss,,-5130.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,,887.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,887.000,,,,,,
NetCashProvidedByUsedInInvestingActivities,,81000.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,81000.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,,-81932.000,,,,-45.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-81932.000,,,,-45.000,,
NetIncomeLoss,-8365.000,,,,,,,-3208.000
NonoperatingIncomeExpense,,-34152.000,63552.000,,,,,
OperatingExpenses,10797.000,17651.000,43514.000,7338.000,12803.000,3060.000,7667.000,3208.000
OperatingIncomeLoss,,-17651.000,-43514.000,-7338.000,-12803.000,-3060.000,-7667.000,
OtherNonoperatingIncomeExpense,,,16500.000,,,,,
OtherOperatingIncomeExpenseNet,2433.000,,,,,,,
PreferredStockDividend,-5130.000,,,,,,,
ProceedsFromRepaymentsOfNotesPayable,,887.000,,,,,,
ProceedsFromSaleAndCollectionOfReceivables,,81000.000,,,,,,
ProfitLoss,,-51803.000,,,,-3060.000,,
Revenues,0.000,,,,,,,
SalesRevenueNet,0.000,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,24158876.000,27517530.000,30692727.000,-54027628.000,30692727.000,30692727.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,30692727.000
WeightedAverageNumberOfSharesIssuedBasic,24156078.000,,,,,,,30692727.000
WeightedAverageNumberOfSharesOutstandingBasic,,24158876.000,30692727.000,30692727.000,-54851603.000,30692727.000,30692727.000,
