,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableAndAccruedLiabilities,36195.000,36117.000,,,,,,
AccountsPayableCurrent,,1107.000,13340.000,0.000,8283.000,9250.000,12583.000,10850.000
AccountsPayableRelatedPartiesCurrentAndNoncurrent,,,,,,9250.000,9250.000,
AccountsReceivableNet,4418.000,670.000,2278.000,253.000,1799.000,80.000,0.000,47.000
AccruedLiabilitiesCurrent,,,36297.000,24758.000,22230.000,28738.000,32098.000,35011.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-66801.000,-72025.000,,-84205.000,-81850.000,-97375.000,-101016.000,-90518.000
AdditionalPaidInCapital,365095.000,389945.000,389945.000,389945.000,389945.000,389945.000,389945.000,389945.000
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,,,,3890.000,2200.000,2200.000,2200.000,2200.000
Assets,221710.000,201891.000,191354.000,140460.000,135655.000,96506.000,85839.000,66902.000
AssetsCurrent,156371.000,141776.000,136426.000,100359.000,100234.000,69575.000,62549.000,47345.000
CapitalLeaseObligations,7305.000,5844.000,0.000,0.000,0.000,0.000,0.000,0.000
CapitalLeaseObligationsCurrent,5844.000,5844.000,4383.000,1461.000,0.000,,,
CapitalLeasedAssetsGross,29220.000,29220.000,,29220.000,29220.000,29220.000,29220.000,29220.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,7007.000,,,,
CashAndCashEquivalentsAtCarryingValue,151953.000,141106.000,134148.000,100106.000,98435.000,69495.000,62549.000,47298.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,,,,,,,,7755400.000
CommonStockSharesOutstanding,7605400.000,7755400.000,7755400.000,7755400.000,7755400.000,7755400.000,7755400.000,7755400.000
CommonStockValue,7605.000,7755.000,7755.000,7755.000,7755.000,7755.000,7755.000,7755.000
DebtCurrent,-5844.000,-5844.000,0.000,0.000,0.000,0.000,0.000,0.000
DeferredTaxAssetsGross,59240.000,64340.000,,,,,,
DeferredTaxAssetsNet,0.000,0.000,,0.000,0.000,0.000,0.000,0.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,76500.000,79285.000,91783.000,95285.000,100327.000
DeferredTaxAssetsValuationAllowance,-59240.000,-64340.000,,-76500.000,-79285.000,-91783.000,-95285.000,-100327.000
DepositAssets,,,,,,,,108.000
DueToOfficersOrStockholdersCurrent,42476.000,43476.000,45476.000,47575.000,49575.000,52943.000,49643.000,49643.000
FurnitureAndFixturesGross,102920.000,102920.000,,,,,,
InventoryNet,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
Liabilities,85976.000,86544.000,99496.000,85615.000,80088.000,90931.000,94324.000,95504.000
LiabilitiesAndStockholdersEquity,221710.000,201891.000,191354.000,140460.000,135655.000,96506.000,85839.000,66902.000
LiabilitiesCurrent,84515.000,86544.000,99496.000,73794.000,80088.000,90931.000,94324.000,95504.000
LiabilitiesNoncurrent,1461.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MachineryAndEquipmentGross,,,,95086.000,88051.000,95086.000,95086.000,80747.000
NetRegulatoryAssets,,,,26565.000,20000.000,-21356.000,-31775.000,-48000.000
OperatingLossCarryforwards,,,,331034.000,342133.000,392125.000,406185.000,426302.000
PreferredStockAdditionalSeriesParOrStatedValuePerShare,0.000,0.000,,,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000
PreferredStockSharesIssued,,,,,,,,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,0.000,0.000,0.000,0.000,0.000,0.000
PropertyPlantAndEquipmentGross,132140.000,132140.000,,124306.000,117271.000,124306.000,124306.000,109967.000
PropertyPlantAndEquipmentNet,65339.000,60115.000,54928.000,40101.000,35421.000,26931.000,23290.000,19449.000
RetainedEarningsAccumulatedDeficit,-236966.000,-282353.000,-305842.000,-331034.000,-342133.000,-392125.000,-406185.000,-426302.000
StockholdersEquity,135734.000,115347.000,91858.000,66666.000,55567.000,5575.000,-8485.000,-28602.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,135734.000,115347.000,91858.000,54845.000,55567.000,5575.000,-8485.000,-28602.000
