,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AccountsPayableCurrent,9295000.000,4386000.000,8906000.000,10046000.000,9049000.000,4969000.000,8167000.000,6867000.000,8209000.000,3561000.000,6783000.000,6519000.000,7469000.000,6533000.000,4703000.000,8377000.000,9974000.000,7073000.000
AccountsReceivableNetCurrent,47000.000,52000.000,58000.000,47000.000,110000.000,226000.000,92000.000,69000.000,100000.000,150000.000,180000.000,136000.000,157000.000,138000.000,265000.000,195000.000,358000.000,408000.000
AccruedLiabilitiesCurrent,8398000.000,11465000.000,10515000.000,12107000.000,17739000.000,14389000.000,10803000.000,16163000.000,13024000.000,15492000.000,10903000.000,11967000.000,11717000.000,14384000.000,12230000.000,14435000.000,14563000.000,14501000.000
AccruedMarketingCostsCurrent,,,2079000.000,2041000.000,1123000.000,2546000.000,1197000.000,3709000.000,704000.000,2785000.000,575000.000,710000.000,617000.000,572000.000,490000.000,1968000.000,2102000.000,2372000.000
AccruedRentNoncurrent,,,,,2013000.000,2039000.000,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,39335000.000,,,,56666000.000,,,,76454000.000,,,,83264000.000,,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,48000.000,58000.000,61000.000,41000.000,18000.000,23000.000,11000.000,10000.000,7000.000,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,17000.000,14000.000,12000.000,21000.000,12000.000,-10000.000,6000.000,12000.000,1000.000
AcquiredFiniteLivedIntangibleAssetAmount,,,,,,4760000.000,4760000.000,4760000.000,,,,,,,,,,
AdditionalPaidInCapitalCommonStock,177836000.000,181395000.000,190039000.000,196694000.000,201568000.000,206083000.000,209987000.000,213597000.000,216534000.000,218798000.000,229457000.000,235160000.000,243993000.000,250254000.000,249599000.000,255164000.000,258617000.000,254962000.000
Assets,182383000.000,189919000.000,221378000.000,232843000.000,248321000.000,251697000.000,257262000.000,266578000.000,267674000.000,271351000.000,284873000.000,294196000.000,305607000.000,320706000.000,322865000.000,340086000.000,349254000.000,348431000.000
AssetsCurrent,126567000.000,133424000.000,149061000.000,152558000.000,90153000.000,95697000.000,100112000.000,107047000.000,108532000.000,115578000.000,132556000.000,141798000.000,151127000.000,164809000.000,173610000.000,191077000.000,193926000.000,193559000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,15000.000,23000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,10000.000,5000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,90463000.000,60998000.000,59757000.000,45622000.000,90463000.000,14916000.000,12984000.000,25865000.000,40706000.000,43749000.000,52461000.000,52498000.000,58329000.000,56009000.000,56856000.000,50665000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,25000.000,8000.000,17000.000,,
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,8000.000,16000.000,7000.000,,
AvailableForSaleSecuritiesCurrent,,,90523000.000,61038000.000,59785000.000,45655000.000,90523000.000,14934000.000,12999000.000,25888000.000,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,,,,,,,,,,,,,18317000.000,9901000.000
AvailableForSaleSecuritiesDebtSecuritiesCurrent,94018000.000,91771000.000,90523000.000,61038000.000,59785000.000,45655000.000,25732000.000,14934000.000,12999000.000,25888000.000,40723000.000,43760000.000,52480000.000,52515000.000,58321000.000,56019000.000,56861000.000,50683000.000
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,2000.000,3000.000,3000.000,,2000.000,2000.000,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,62000.000,43000.000,31000.000,33000.000,62000.000,20000.000,,,,,,,,,,
BusinessAcquisitionContingentConsiderationAtFairValue,,,,,,6058000.000,0.000,0.000,,,,,,,,,,
BusinessAcquisitionContingentConsiderationPotentialCashPayment,,,,,,,,22500000.000,,,,,,,,,,
