,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableCurrent,1433259000.000,1517806000.000,1565728000.000,1567000000.000,1679000000.000,1635000000.000,2023000000.000,2108000000.000,2144000000.000,2117000000.000,2091000000.000,2012000000.000
AccruedIncomeTaxesCurrent,,,,141000000.000,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,4466414000.000,4687089000.000,4800326000.000,5019000000.000,5309000000.000,5455000000.000,5758000000.000,6030000000.000,6405000000.000,6708000000.000,6908000000.000,7113000000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-11000000.000,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,-36000000.000,,,,,-39000000.000,-39000000.000,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,117000000.000,,,,,-110000000.000,-14000000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,330638000.000,349343000.000,80860000.000,70000000.000,252000000.000,-52000000.000,163000000.000,163000000.000,-159000000.000,-63000000.000,-187000000.000,-389000000.000
AdditionalPaidInCapitalCommonStock,4710429000.000,4723185000.000,4807181000.000,4824000000.000,4889000000.000,4686000000.000,4683000000.000,4674000000.000,4608000000.000,4619000000.000,4600000000.000,4603000000.000
AllowanceForDoubtfulAccountsReceivableCurrent,57880000.000,58692000.000,56557000.000,91000000.000,92000000.000,90000000.000,90000000.000,84000000.000,87000000.000,85000000.000,114000000.000,117000000.000
Assets,19821921000.000,20504628000.000,20667276000.000,21185000000.000,21873000000.000,21703000000.000,22781000000.000,22795000000.000,22632000000.000,22937000000.000,21977000000.000,21830000000.000
AssetsCurrent,6895867000.000,7365317000.000,7594548000.000,7739000000.000,8053000000.000,8501000000.000,9099000000.000,9029000000.000,8948000000.000,9073000000.000,8774000000.000,8860000000.000
BillingsInExcessOfCostCurrent,,,,,,,,281000000.000,,,127000000.000,74000000.000
BusinessAcquisitionCostOfAcquiredEntityCashPaid,16000000.000,47000000.000,83000000.000,158000000.000,,136000000.000,136000000.000,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,,,12000000.000,,,,,,,
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,59000000.000,134000000.000,134000000.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,249317000.000,329555000.000,273562000.000,371000000.000,339000000.000,381000000.000,365000000.000,300000000.000,295000000.000,316000000.000,435000000.000,367000000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,15.000,,15.000,15.000,,,,,,,,
ClassOfWarrantOrRightOutstanding,8600000.000,8600000.000,8600000.000,8600000.000,,,,,,,,
ClassOfWarrantOrRightUnissued,,,,8600000.000,,,,,,,,
CommercialPaper,385321000.000,585138000.000,632919000.000,997000000.000,1285000000.000,912000000.000,1235000000.000,888000000.000,840000000.000,968000000.000,,
CommonStockSharesAuthorized,1137670000.000,1137670000.000,1137670000.000,1138000000.000,1144000000.000,840000000.000,840000000.000,840000000.000,840000000.000,840000000.000,840000000.000,840000000.000
