,2011-07-01,2011-09-30,2011-12-30,2012-03-30,2012-06-29,2012-09-28,2012-12-28,2013-03-29,2013-06-28,2013-09-27,2013-12-27,2014-03-28,2014-06-27,2014-09-26,2014-12-26,2015-03-27,2015-06-26
AccountsPayableCurrent,18916000.000,15549000.000,17582000.000,15531000.000,13415000.000,11686000.000,22274000.000,13463000.000,15024000.000,17042000.000,17798000.000,15830000.000,16156000.000,18176000.000,19674000.000,20469000.000,15951000.000
AccountsReceivableNetCurrent,25347000.000,25881000.000,22453000.000,20315000.000,21902000.000,18604000.000,21392000.000,18825000.000,16857000.000,22821000.000,21781000.000,22605000.000,25175000.000,28333000.000,28223000.000,24341000.000,18777000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,44933000.000,,,,46629000.000,,,,49206000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-725000.000,-2071000.000,-3183000.000,-2667000.000,-3525000.000,-3286000.000,-2924000.000,-3357000.000,-3167000.000,-2700000.000,-2497000.000,-2436000.000,-2557000.000,-3585000.000,-4238000.000,-5787000.000,-5467000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1642000.000,1622000.000,1456000.000,1068000.000,633000.000,535000.000,422000.000,448000.000,496000.000,498000.000,431000.000,376000.000,359000.000,469000.000,386000.000,330000.000,361000.000
Assets,110503000.000,105302000.000,100830000.000,92474000.000,88120000.000,81884000.000,91008000.000,77852000.000,78205000.000,79885000.000,82139000.000,78332000.000,80436000.000,84404000.000,87592000.000,86123000.000,81815000.000
AssetsCurrent,99802000.000,95666000.000,91464000.000,82648000.000,77945000.000,71185000.000,77885000.000,64553000.000,64719000.000,67221000.000,70934000.000,68136000.000,67541000.000,72115000.000,77047000.000,76786000.000,72931000.000
BuildingsAndImprovementsGross,,,,,,12217000.000,,,,9401000.000,,,,9358000.000,,,
CapitalLeaseObligationsCurrent,,,,188000.000,219000.000,449000.000,646000.000,759000.000,745000.000,759000.000,953000.000,850000.000,443000.000,394000.000,161000.000,42000.000,
CapitalLeaseObligationsNoncurrent,,,,271000.000,327000.000,545000.000,756000.000,807000.000,623000.000,394000.000,161000.000,41000.000,,0.000,,,
CapitalLeasesFutureMinimumPaymentsDue,,,,,,1062000.000,,,,1208000.000,,,,398000.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,494000.000,,,,810000.000,,,,398000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,140000.000,,,,,,,,,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,428000.000,,,,398000.000,,,,,,,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,68000.000,,,,55000.000,,,,4000.000,,,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,994000.000,,,,1153000.000,,,,394000.000,,,
Cash,,,20271000.000,15119000.000,16247000.000,17768000.000,19255000.000,12914000.000,13412000.000,11971000.000,13178000.000,13000000.000,11517000.000,13068000.000,14907000.000,16182000.000,16365000.000
CashAndCashEquivalentsAtCarryingValue,23393000.000,22231000.000,,,,17768000.000,,,,,13178000.000,,,,,,
CommonStockNoParValue,0.000,0.000,,,,,,,,,,,,,,0.000,0.000
CommonStockSharesAuthorized,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,30000000.000,60000000.000,60000000.000
CommonStockSharesIssued,19573269.000,19758400.000,19975062.000,20118026.000,20234072.000,20354300.000,20566976.000,20732561.000,20983617.000,21036278.000,21145876.000,21420714.000,21541779.000,21680975.000,21898047.000,22200750.000,22339266.000
CommonStockValue,182040000.000,182826000.000,183107000.000,183479000.000,184021000.000,184556000.000,185109000.000,185532000.000,185900000.000,186202000.000,186700000.000,187074000.000,187517000.000,188127000.000,189096000.000,189887000.000,190512000.000
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,,1123000.000,,,,826000.000,,,,589000.000,,,
DeferredCompensationPlanAssets,,,,,,1123000.000,,,,826000.000,,,,589000.000,,,
DeferredRevenueCurrent,2194000.000,2339000.000,1561000.000,1745000.000,1952000.000,1659000.000,1941000.000,1619000.000,1789000.000,1685000.000,1400000.000,1738000.000,1638000.000,1637000.000,1336000.000,1479000.000,1321000.000
DeferredTaxAssetsCapitalLossCarryforwards,,,,,,6030000.000,,,,,,,,,,,
DeferredTaxAssetsDeferredIncome,,,,,,1215000.000,,,,905000.000,,,,547000.000,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,8807000.000,,,,8081000.000,,,,7140000.000,,,
DeferredTaxAssetsGross,,,,,,52744000.000,,,,48527000.000,,,,48594000.000,,,
DeferredTaxAssetsInventory,,,,,,4172000.000,,,,2449000.000,,,,3092000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,1288000.000,,,,1033000.000,,,,906000.000,,,
DeferredTaxAssetsNet,,,,,,1576000.000,,,,1033000.000,,,,906000.000,,,
DeferredTaxAssetsNetCurrent,,,,,,713000.000,,,,567000.000,,,,449000.000,,,
DeferredTaxAssetsNetNoncurrent,,,,,,575000.000,,,,466000.000,,,,457000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,16891000.000,,,,21275000.000,,,,22202000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,12398000.000,,,,16465000.000,,,,16650000.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,2192000.000,,,,2194000.000,,,,2907000.000,,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,1043000.000,,,,1130000.000,,,,800000.000,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,9998000.000,,,,9520000.000,,,,9434000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,,,249000.000,,,,249000.000,,,,249000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,,,5159000.000,,,,5247000.000,,,,5283000.000,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,4590000.000,,,,3720000.000,,,,3571000.000,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,594000.000,,,,489000.000,,,,344000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReserves,,,,,,2598000.000,,,,3323000.000,,,,3766000.000,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves,,,,,,1396000.000,,,,1355000.000,,,,1269000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,51168000.000,,,,47494000.000,,,,47688000.000,,,
DeferredTaxLiabilities,,,,,,288000.000,,,,,,,,0.000,,,
DeferredTaxLiabilitiesCurrent,,,,,,,,,,,,,,0.000,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,288000.000,,,,,,,,0.000,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,5028000.000,100000.000,,,,100000.000,100000.000,100000.000,100000.000,79000.000,,,
EmployeeRelatedLiabilitiesCurrent,,,,,5876000.000,5391000.000,4649000.000,3033000.000,2715000.000,3193000.000,3223000.000,2708000.000,3493000.000,4407000.000,4044000.000,3051000.000,3278000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,23586000.000,,,,24151000.000,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,565000.000,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill,1717000.000,1261000.000,1086000.000,911000.000,735000.000,565000.000,417000.000,270000.000,123000.000,,,,,,,,
InventoryFinishedGoodsNetOfReserves,,,,,17384000.000,14250000.000,14706000.000,14486000.000,14670000.000,14033000.000,16317000.000,12234000.000,10679000.000,10355000.000,12173000.000,12081000.000,12190000.000
InventoryNet,46149000.000,42967000.000,43828000.000,43734000.000,36806000.000,31984000.000,33643000.000,29866000.000,31349000.000,30003000.000,31578000.000,28421000.000,26247000.000,26805000.000,28798000.000,31228000.000,33233000.000
InventoryRawMaterialsNetOfReserves,,,,,16877000.000,16249000.000,17736000.000,15152000.000,16539000.000,15911000.000,15073000.000,16069000.000,15390000.000,16398000.000,16370000.000,18952000.000,20888000.000
InventoryWorkInProcessNetOfReserves,,,,,2545000.000,1485000.000,1201000.000,228000.000,140000.000,59000.000,188000.000,118000.000,178000.000,52000.000,255000.000,195000.000,155000.000
LettersOfCreditOutstandingAmount,,,,,,,,,,,,,,0.000,0.000,0.000,0.000
Liabilities,45750000.000,42643000.000,42414000.000,39968000.000,37660000.000,35365000.000,45136000.000,33395000.000,36944000.000,38118000.000,39104000.000,34926000.000,36088000.000,38370000.000,38668000.000,37344000.000,32728000.000
LiabilitiesAndStockholdersEquity,110503000.000,105302000.000,100830000.000,92474000.000,88120000.000,81884000.000,91008000.000,77852000.000,78205000.000,79885000.000,82139000.000,78332000.000,80436000.000,84404000.000,87592000.000,86123000.000,81815000.000
LiabilitiesCurrent,39131000.000,36373000.000,35950000.000,34392000.000,32167000.000,29709000.000,39407000.000,27914000.000,30642000.000,32334000.000,33746000.000,30164000.000,31692000.000,33181000.000,34327000.000,32860000.000,28539000.000
LineOfCreditFacilityAmountOutstanding,,,,,,,,,,,,0.000,0.000,,,,
LineOfCreditFacilityCurrentBorrowingCapacity,,,,,,,,,,,,5000000.000,12000000.000,12000000.000,12000000.000,12000000.000,12000000.000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,,,,,,5000000.000,,,12000000.000,12000000.000,12000000.000
LineOfCreditFacilityRemainingBorrowingCapacity,,,,,10100000.000,7400000.000,10600000.000,10300000.000,9800000.000,11100000.000,,,,,,,
MachineryAndEquipmentGross,,,,,,36270000.000,,,,43662000.000,,,,44887000.000,,,
NontradeReceivablesCurrent,,,,,,,,,,,,,409000.000,382000.000,549000.000,492000.000,671000.000
NontradeReceivablesNoncurrent,,,,,,,,,,,,,2932000.000,2741000.000,2256000.000,1857000.000,1733000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,16308000.000,,,,11617000.000,,,,9679000.000,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,3958000.000,,,,2753000.000,,,,2790000.000,,,
