,2017-03-31
AdministrativeFeesExpense,10000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,27093334.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-193228.000
DebtConversionOriginalDebtAmount1,1500000.000
EarningsPerShareBasic,0.020
EarningsPerShareDiluted,0.010
GeneralAndAdministrativeExpense,281359.000
IncreaseDecreaseInAccountsPayable,74639.000
IncreaseDecreaseInDueToRelatedParties,30000.000
IncreaseDecreaseInPrepaidExpense,16533.000
InvestmentIncomeInterest,650801.000
NetCashProvidedByUsedInOperatingActivities,-193228.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-193228.000
NetIncomeLoss,369442.000
OperatingIncomeLoss,-281359.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,30000.000
WeightedAverageNumberOfDilutedSharesOutstanding,69000000.000
WeightedAverageNumberOfSharesOutstandingBasic,16089988.000
