,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,41699.000,44197.000,9655.000,4956.000,2946.000
AdvertisingExpense,46278.000,46691.000,17904.000,32675.000,15699.000
AllocatedShareBasedCompensationExpense,44000.000,44000.000,10000.000,5000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,3806.000,0.000,0.000,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-1228344.000,-1596624.000,-2321157.000,673184.000,-336283.000
CostOfGoodsAndServicesSold,33484512.000,30309484.000,29056367.000,28392171.000,28592752.000
CurrentFederalTaxExpenseBenefit,0.000,0.000,0.000,0.000,0.000
CurrentIncomeTaxExpenseBenefit,11581.000,17661.000,12933.000,16596.000,11286.000
CurrentStateAndLocalTaxExpenseBenefit,11581.000,17661.000,12933.000,16596.000,11286.000
DebtInstrumentBasisSpreadOnVariableRate1,,0.002,0.002,0.002,
DebtInstrumentInterestRateStatedPercentageRateRangeMinimum,0.035,0.035,0.035,0.035,
DeferredFederalIncomeTaxExpenseBenefit,-252778.000,-698712.000,-1050750.000,-552167.000,-100174.000
DeferredIncomeTaxExpenseBenefit,-257501.000,-757699.000,-352746.000,0.000,290145.000
DeferredRevenueRevenueRecognized,-688200.000,114700.000,0.000,0.000,
DeferredStateAndLocalIncomeTaxExpenseBenefit,-4723.000,-58987.000,-102199.000,-66542.000,-3495.000
DeferredTaxExpenseFromStockOptionsExercised,,0.000,,,
DefinedBenefitPlanContributionsByEmployer,,278212.000,277374.000,221508.000,228854.000
Depreciation,1300000.000,1200000.000,1200000.000,1300000.000,1200000.000
DepreciationDepletionAndAmortization,1283349.000,1306044.000,1280796.000,1311111.000,1228485.000
EarningsPerShareBasic,-0.050,-0.160,-0.350,-0.220,-0.290
EarningsPerShareDiluted,-0.050,-0.160,-0.350,-0.220,-0.290
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,18000.000,18000.000,4000.000,2000.000,1000.000
GainLossOnDispositionOfProperty,0.000,,,,
GainLossOnSaleOfUnprovedProperty,,0.000,,,
GrossProfit,9961109.000,8242290.000,7314249.000,7069598.000,7359735.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-670346.000,-1996811.000,-3145726.000,-1760714.000,-2003400.000
