,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2016-12-31,2017-03-31
AccountsAndNotesReceivableNet,240852.000,245107.000,256785.000,248035.000,,
AccountsPayableCurrent,500460.000,507797.000,375656.000,320098.000,286852.000,272234.000
AccountsPayableRelatedPartiesCurrent,,,147271.000,14376.000,,
AccountsReceivableGross,,,,,,230617.000
AccountsReceivableNet,,,,,,225002.000
AccountsReceivableNetCurrent,,,,,239738.000,225002.000
AccountsReceivableNetNoncurrent,,,,,29728.000,
AccruedLiabilitiesCurrent,47712.000,72103.000,49142.000,91399.000,67344.000,47087.000
AccruedLiabilitiesCurrentAndNoncurrent,,,,,843.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,682264.000,704951.000,686855.000,707493.000,992441.000,1024095.000
AdditionalPaidInCapital,,,,,24600.000,24600.000
AdditionalPaidInCapitalCommonStock,24600.000,24600.000,24600.000,24600.000,,
AllowanceForDoubtfulAccountsReceivable,,,,,6878.000,5615.000
Assets,1195461.000,1376303.000,1226683.000,1621271.000,1247748.000,1182078.000
AssetsCurrent,768098.000,960369.000,821902.000,1218686.000,779399.000,735965.000
AssetsNoncurrent,4563.000,3350.000,2510.000,2089.000,,
CapitalLeaseObligationsCurrent,20845.000,19529.000,19528.000,14755.000,,
CapitalLeaseObligationsNoncurrent,31312.000,27678.000,22568.000,20069.000,,
Cash,88652.000,138253.000,64271.000,234107.000,,
CashAndCashEquivalentsAtCarryingValue,,,,606931.000,149936.000,94802.000
CashFDICInsuredAmount,,,,,250000.000,
CommonStockNoParValue,,,0.000,0.000,,
CommonStockSharesAuthorized,1960000.000,1960000.000,1960000.000,1960000.000,1960000.000,1960000.000
CommonStockSharesIssued,1236744.000,1236744.000,1236744.000,1236744.000,1236744.000,1236744.000
CommonStockSharesOutstanding,1236744.000,1236744.000,1236744.000,1236744.000,1236744.000,1236744.000
CommonStockValue,861816.000,861816.000,861816.000,861816.000,861816.000,861816.000
DebtCurrent,,,,,38004.000,38004.000
DebtInstrumentInterestRateStatedPercentage,,,,,0.070,
DeferredTaxAssetsGross,,,,,122657.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,133265.000,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,221000.000,
DeferredTaxAssetsOther,,,,,28218.000,
DeferredTaxAssetsValuationAllowance,,,,,122657.000,
DepositAssets,,,,,12242.000,
DepositsAssetsNoncurrent,4563.000,3350.000,550.000,550.000,,8800.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,-30402.000
IntangibleAssetsNetExcludingGoodwill,0.000,,1960.000,1539.000,,
InventoryNet,424155.000,561326.000,473217.000,329851.000,279751.000,341044.000
Liabilities,784818.000,773039.000,749745.000,954966.000,484493.000,440098.000
LiabilitiesAndStockholdersEquity,1195461.000,1376303.000,1226683.000,1621271.000,1247748.000,1182084.000
LiabilitiesCurrent,638884.000,641641.000,633809.000,858044.000,392200.000,357325.000
LongTermDebt,145934.000,131398.000,115936.000,96922.000,92293.000,-38004.000
LongTermDebtCurrent,,,,,130297.000,120777.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,38004.000,32194.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,12202.000,12194.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,35770.000,35855.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,44321.000,40534.000
LongTermDebtNoncurrent,,,,,-38004.000,82773.000
NotesPayableRelatedPartiesClassifiedCurrent,19919.000,,0.000,,,
NotesPayableToBankCurrent,49948.000,42212.000,42212.000,44591.000,,
NotesPayableToBankNoncurrent,114622.000,103720.000,93368.000,76853.000,,
OperatingLeasesFutureMinimumPaymentsReceivable,,,,,868600.000,
OperatingLeasesFutureMinimumPaymentsReceivableCurrent,,,,,103200.000,
OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,,,,,103200.000,
OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,,,,,103200.000,
OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,,,,,103200.000,
OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,,,,,103200.000,
OperatingLeasesFutureMinimumPaymentsReceivableThereafter,,,,,352600.000,
OtherAssets,,,,,41970.000,39202.000
OtherLongTermNotesPayable,0.000,,,,,
OtherNotesPayableCurrent,0.000,,0.000,,,
PrepaidExpenseAndOtherAssetsCurrent,,,,,109974.000,
PrepaidExpenseCurrent,14439.000,15683.000,27629.000,33868.000,,75117.000
PropertyPlantAndEquipmentGross,1105064.000,1117535.000,1089126.000,1107989.000,1418820.000,1431006.000
PropertyPlantAndEquipmentNet,422800.000,412584.000,402271.000,400496.000,426379.000,406911.000
RetainedEarningsAccumulatedDeficit,-475773.000,-283152.000,-409478.000,-220111.000,-123161.000,-144430.000
StockholdersEquity,410643.000,603264.000,476938.000,666305.000,763255.000,741986.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,410643.000,603264.000,476938.000,666305.000,763255.000,741986.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,,1236744.000,,,,
