,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,2667400000.000,2599700000.000,2814800000.000,3124100000.000,2809900000.000,2788500000.000,2648500000.000,3132500000.000,2936800000.000,3286600000.000,3301200000.000,3426300000.000,4113100000.000,4263800000.000,3447600000.000,3651800000.000,4454700000.000,4433800000.000,3293300000.000,3318800000.000,4164500000.000,4272200000.000,3717200000.000,4014900000.000,3622100000.000,3815700000.000
AccruedIncomeTaxesCurrent,392800000.000,,,,265800000.000,,,,204800000.000,,,,97700000.000,,,,283800000.000,,3600000.000,,163500000.000,,60400000.000,,491000000.000,113000000.000
AccruedInvestmentIncomeReceivable,171100000.000,179700000.000,178000000.000,172000000.000,167300000.000,164900000.000,164900000.000,162200000.000,172900000.000,172400000.000,175400000.000,168800000.000,173600000.000,168600000.000,172700000.000,161400000.000,173800000.000,168600000.000,176800000.000,170800000.000,171800000.000,168700000.000,169400000.000,164500000.000,149700000.000,158200000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,1237100000.000,,,,-1482200000.000,,,,1683500000.000,,,,1820500000.000,,,,2038600000.000,,,,2162000000.000,,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,613600000.000,,,,803700000.000,838000000.000,460300000.000,476600000.000,509000000.000,649300000.000,793900000.000,660600000.000,627600000.000,688000000.000,446800000.000,305600000.000,243300000.000,415600000.000,625400000.000,630700000.000,361200000.000,441400000.000,542300000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-35300000.000,,,,-35300000.000,-34400000.000,-33800000.000,-33000000.000,-32300000.000,-31600000.000,-30800000.000,-36700000.000,-35900000.000,-35000000.000,-34100000.000,-110600000.000,-81100000.000,-346600000.000,-536600000.000,-553800000.000,-168400000.000,-151400000.000,-231200000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,-70200000.000,,,,-53400000.000,-406700000.000,-399500000.000,-394300000.000,40200000.000,-41100000.000,41900000.000,42600000.000,74300000.000,74200000.000,74100000.000,73800000.000,54100000.000,54200000.000,54500000.000,54700000.000,52900000.000,53300000.000,53600000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-300000.000,,,,100000.000,-700000.000,-200000.000,800000.000,1500000.000,1300000.000,1000000.000,-1400000.000,-2800000.000,-6300000.000,-5600000.000,-5200000.000,-6200000.000,-4900000.000,-5600000.000,-5200000.000,-4100000.000,-2700000.000,-2000000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,251400000.000,343700000.000,132200000.000,114900000.000,235000000.000,212200000.000,386900000.000,299100000.000,342500000.000,-27200000.000,-4800000.000,183200000.000,327400000.000,475000000.000,333100000.000,171900000.000,237900000.000,400000.000,-216200000.000,-292600000.000,-382400000.000,-364900000.000,-363900000.000,-267900000.000,-161800000.000,-134900000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxAvailableforsaleDebtSecurities,,,,10300000.000,,,,-3400000.000,0.000,0.000,-900000.000,-800000.000,,800000.000,5900000.000,6800000.000,1400000.000,5700000.000,13300000.000,15400000.000,18300000.000,26400000.000,12100000.000,7200000.000,1500000.000,200000.000
AccumulatedOtherComprehensiveIncomeLossOtherThanTemporaryImpairmentNotCreditLossNetOfTaxDebtSecurities,,,,6700000.000,,,,-2200000.000,0.000,0.000,-600000.000,-500000.000,,500000.000,3800000.000,4400000.000,900000.000,3700000.000,8600000.000,10000000.000,11700000.000,17100000.000,7800000.000,4600000.000,1000000.000,100000.000
AdditionalPaidInCapital,12523100000.000,12415900000.000,12009600000.000,11679200000.000,11369000000.000,11204400000.000,10869700000.000,10853500000.000,10697400000.000,10738800000.000,10769400000.000,10765200000.000,10003500000.000,10154800000.000,10094400000.000,10062300000.000,9943700000.000,8707400000.000,8687900000.000,8555600000.000,8616500000.000,8677500000.000,8741400000.000,8805100000.000,8893400000.000,8897000000.000
AllowanceForDoubtfulAccountsPremiumsAndOtherReceivables,,,,,,,,,,,,,,,,213600000.000,,,,318300000.000,,,,333500000.000,,
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,,,,,,,,,142200000.000,,,,301200000.000,,,,197600000.000,,
Assets,50918000000.000,50877200000.000,52549900000.000,52018800000.000,52496500000.000,54535000000.000,55817900000.000,58955400000.000,59408600000.000,59612300000.000,60263500000.000,59574500000.000,61685500000.000,62303600000.000,62058200000.000,62065000000.000,65546000000.000,64263800000.000,62335600000.000,61717800000.000,63858700000.000,64062600000.000,64399900000.000,65083100000.000,68943500000.000,68237600000.000
AssetsCurrent,26819400000.000,26756800000.000,27552300000.000,27097400000.000,27543600000.000,28470100000.000,29640300000.000,28268400000.000,28660700000.000,28900800000.000,29596900000.000,29745800000.000,31806800000.000,32428200000.000,32227100000.000,32228900000.000,34740400000.000,33202200000.000,31539400000.000,30862100000.000,32965000000.000,32957700000.000,32924300000.000,34314900000.000,37981800000.000,37130700000.000
AssetsFairValueDisclosureRecurring,,20250900000.000,20258300000.000,20025400000.000,19776200000.000,20413300000.000,22040500000.000,19953200000.000,20966100000.000,20928900000.000,,20931700000.000,,,,22243300000.000,24406300000.000,23233400000.000,22241500000.000,21130600000.000,22914800000.000,23102200000.000,22595900000.000,22587700000.000,25402000000.000,25499600000.000
AssetsHeldByInsuranceRegulators,,,,246800000.000,,,,431500000.000,,,,449900000.000,,,,504400000.000,,,,558200000.000,,,,524400000.000,,
AssetsHeldForSaleAtCarryingValue,,,,,,,,,,,,906900000.000,,,,,,,,,,,,,,
AssetsHeldForSaleCurrent,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,
AssumedLiabilityForUnpaidClaimsAndClaimsAdjustmentExpense,,,,,,,,,,,,55400000.000,,,,57400000.000,,,,56700000.000,,,,47200000.000,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,895100000.000,829900000.000,815000000.000,908000000.000,1099000000.000,1068900000.000,748600000.000,811000000.000,941600000.000
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,,,,,,,,,,,,,,,,,,207000000.000,366600000.000,447500000.000,269200000.000,115000000.000,74200000.000,180900000.000,124300000.000,95300000.000
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,,18021700000.000,17807300000.000,16950000000.000,18057200000.000,17957700000.000,17593700000.000,16991800000.000,17694300000.000,18560500000.000
AvailableForSaleSecurities,17371900000.000,18095600000.000,17940400000.000,17376800000.000,17695500000.000,18621700000.000,19946400000.000,18586900000.000,19673300000.000,19580100000.000,19491000000.000,,20500900000.000,20755200000.000,20666000000.000,19909900000.000,21468900000.000,20587300000.000,20013600000.000,18951000000.000,20486700000.000,20739600000.000,20269500000.000,19187400000.000,20355100000.000,21329100000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,,,,,,,,,,,,,,,,,,,,,,,1068900000.000,,811000000.000,941600000.000
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainLossBeforeTax,,,,,,,,,,,,,,,,,,688100000.000,463300000.000,,638800000.000,984000000.000,994700000.000,567700000.000,686700000.000,846300000.000
AvailableForSaleSecuritiesAmortizedCost,16439700000.000,17032000000.000,17191500000.000,16440500000.000,16587100000.000,17559700000.000,18624800000.000,17356100000.000,18402100000.000,18877800000.000,18764700000.000,18478500000.000,19506200000.000,19535400000.000,19660400000.000,18951800000.000,20405600000.000,19899200000.000,19550300000.000,18583500000.000,19847900000.000,19782000000.000,19286900000.000,18619700000.000,19668400000.000,20482800000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,,,,,,,,,,,,,,,,,,,,126000000.000,106400000.000,86400000.000,49000000.000,42400000.000,28000000.000,22900000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,,,,,,,,,,,,,,,,,,,,321500000.000,162800000.000,55000000.000,37300000.000,138500000.000,96300000.000,72400000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,3902600000.000,2745100000.000,3789200000.000,2480000000.000,2235100000.000,2129400000.000,1022800000.000,1911200000.000,2687200000.000,8110800000.000,6709400000.000,6636900000.000,5286700000.000,1356800000.000,4409300000.000,4381700000.000,3342800000.000,7547200000.000,6387800000.000,7327400000.000,3816200000.000,1606000000.000,1767500000.000,6220300000.000,5567700000.000,4680000000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,388600000.000,343800000.000,349400000.000,356900000.000,282200000.000,332200000.000,259000000.000,158000000.000,114500000.000,107700000.000,151400000.000,301700000.000,449900000.000,2008400000.000,1548400000.000,1215600000.000,734300000.000,769700000.000,866400000.000,840900000.000,1296100000.000,1582000000.000,1047700000.000,816000000.000,563000000.000,484800000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,4247800000.000,4517600000.000,4511600000.000,,4447900000.000,4299900000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,4396200000.000,4712100000.000,4704200000.000,,4712800000.000,4568500000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,4956500000.000,5003400000.000,4912600000.000,,4617500000.000,4678500000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,5171400000.000,5224300000.000,5049900000.000,,4821300000.000,4862000000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,2375300000.000,2778600000.000,3257200000.000,,3226000000.000,4067400000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,2394600000.000,2848400000.000,3359300000.000,,3375100000.000,4253200000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,15274600000.000,15840900000.000,15912400000.000,15233600000.000,15449100000.000,16444100000.000,17511100000.000,16033100000.000,17006700000.000,17451100000.000,17271600000.000,16826700000.000,17600800000.000,17735200000.000,17845300000.000,17120400000.000,18333200000.000,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesFairValue,15981500000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,796800000.000,553200000.000,561300000.000,,732100000.000,732600000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,820400000.000,590400000.000,593600000.000,,754100000.000,744500000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,3113600000.000,3205200000.000,2930300000.000,,2665800000.000,2907300000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,3198900000.000,3310500000.000,3039500000.000,,2778500000.000,3025000000.000,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtSecurities,,16685700000.000,16746500000.000,,,,,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,15761300000.000,16462700000.000,16479400000.000,15913100000.000,16196500000.000,17206100000.000,18485500000.000,16912900000.000,17819100000.000,17679800000.000,17538000000.000,17038200000.000,18004000000.000,18329400000.000,18284700000.000,17467400000.000,18804700000.000,18236500000.000,17898000000.000,16920000000.000,18355400000.000,18563200000.000,18218600000.000,17163100000.000,17949700000.000,18948200000.000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,220200000.000,223000000.000,267100000.000,246800000.000,245300000.000,247100000.000,244100000.000,431500000.000,468600000.000,460000000.000,437800000.000,449900000.000,502400000.000,506700000.000,501300000.000,504400000.000,529300000.000,613700000.000,569400000.000,558200000.000,507800000.000,512000000.000,538900000.000,524400000.000,560000000.000,524800000.000
