,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
CashAndCashEquivalentsPeriodIncreaseDecrease,7703000.000,,,,-9237000.000,,,,-6838000.000,,,,-8152000.000,,,,71845000.000,,,,-37404000.000,,,,,
CommonStockDividendsPerShareDeclared,0.400,,0.480,,0.480,,0.540,,0.540,,0.600,,0.600,,0.660,,0.430,,0.200,,,,,,0.000,0.000
ComprehensiveIncomeNetOfTax,,30789000.000,32709000.000,,33431000.000,28016000.000,25738000.000,20673000.000,17125000.000,14986000.000,30808000.000,20646000.000,15349000.000,24785000.000,5603000.000,-9857000.000,-29004000.000,-16039000.000,-18186000.000,-61048000.000,-23241000.000,-19169000.000,-19687000.000,-14654000.000,-30740000.000,-25849000.000
CostOfGoodsAndServicesSold,88774000.000,87551000.000,94390000.000,93275000.000,99702000.000,113361000.000,100984000.000,107984000.000,105273000.000,114411000.000,138718000.000,116001000.000,104200000.000,122913000.000,113252000.000,126680000.000,99745000.000,83554000.000,80404000.000,71996000.000,56743000.000,40663000.000,41106000.000,49553000.000,54128000.000,57005000.000
DeferredIncomeTaxExpenseBenefit,1272000.000,,,,2501000.000,,,,1059000.000,,,,482000.000,,,,-14043000.000,,,,-11897000.000,,,,1302000.000,
DepreciationDepletionAndAmortization,8180000.000,,,,10604000.000,,,,11908000.000,,,,11803000.000,,,,12994000.000,,,,12291000.000,,,,12430000.000,11671000.000
EarningsPerShareBasic,1.300,1.290,1.590,1.440,1.310,1.380,1.040,0.860,0.760,0.710,1.310,0.890,0.800,1.000,0.600,0.010,-1.240,-0.740,-0.600,-2.180,-1.070,-0.880,-0.810,-0.530,-1.220,-0.930
EarningsPerShareDiluted,1.300,1.290,1.590,1.440,1.310,1.380,1.040,0.860,0.760,0.710,1.310,0.890,0.800,1.000,0.600,0.010,-1.240,-0.740,-0.600,-2.180,-1.070,-0.880,-0.810,-0.530,-1.220,-0.930
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,444000.000,,,,425000.000,,,,-253000.000,,,,-1001000.000,,,,-152000.000,,,,397000.000,,,,513000.000,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1228000.000,,,,1257000.000,,,,67000.000,,,,372000.000,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1228000.000,,,,1257000.000,,,,67000.000,,,,372000.000,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossUnrealized,-188000.000,-126000.000,86000.000,93000.000,-435000.000,579000.000,-175000.000,-45000.000,-12000.000,-19000.000,29000.000,-15000.000,-23000.000,,,,-48000.000,,,,129000.000,,,,-5000.000,
