,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AmortizationOfDebtDiscountPremium,,,,64286.000,64286.000,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,5548.000,22226.000,,,,,,,,,,,
AmortizationOfIntangibleAssets,,1051.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,33491889.000,,,,42820958.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,103685.000,,,,76725.000,,,,35133.000,,,,-15137.000,,
ConcentrationRiskPercentage1,,,,,,,,,,0.870,,,,0.950,0.610,0.920
CostOfRevenue,,187.000,6958.000,45474.000,3481.000,4545.000,39062.000,57970.000,14086.000,56757.000,8043.000,15635.000,36871.000,56185.000,9202.000,51833.000
CostsAndExpenses,13073.000,,,,,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,,,,,-20.000,,,,,,,,,,
DebtInstrumentIncreaseDecreaseOtherNet,,,,,,-20.000,,,,,,,,,,
DebtInstrumentInterestRateDuringPeriod,,,,,,,,,,0.043,,,,,,
DebtInstrumentPeriodicPaymentPrincipal,,,,,,,,,,4000.000,,,,,,
DeferredCompensationArrangementWithIndividualAllocatedShareBasedCompensationExpense,,,,,,,,,,16435.000,,,,21091.000,24867.000,8524.000
DepositAssetsOrLiabilitiesEffectOfChangeInPresentValueAssumptionsRecordedAsExpense,,,,,,-39360.000,,,,,,,,,,
Depreciation,,1128.000,,,,,,,,,,,,,,
DepreciationAndAmortization,,,,,,15269.000,,,,-16182.000,,,,2491.000,,
EarningsPerShareBasicAndDiluted,0.000,-0.010,-0.010,-0.010,-0.020,-0.030,-0.360,-0.010,0.060,-0.010,-0.020,-0.010,-0.030,-0.010,-0.020,-0.010
FairValueAssumptionsExpectedDividendRate,,,,,,0.000,,,,,,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,0.320,,,,,,,,,,
