,2013-12-29,2014-03-30,2014-06-29,2014-09-30,2014-12-28,2015-03-29,2015-06-28,2016-04-03,2016-07-03,2017-01-01,2017-04-02
AccretionExpense,,,,,,,,,,200000.000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,,,,,,,,-137700000.000,
AmortizationOfFinancingCosts,2598000.000,,,,2500000.000,,,,,1800000.000,
AmortizationOfIntangibleAssets,20182000.000,20521000.000,20532000.000,20493000.000,20500000.000,21200000.000,22300000.000,23400000.000,23500000.000,23600000.000,23400000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,400000.000,300000.000,400000.000,400000.000
BusinessAcquisitionsProFormaNetIncomeLoss,54921000.000,,78614000.000,,,,,,,,
BusinessAcquisitionsProFormaRevenue,1100600000.000,,1128509000.000,,,,,,,,
BusinessCombinationIntegrationRelatedCosts,5503000.000,6281000.000,2671000.000,5647000.000,8100000.000,11900000.000,24200000.000,13300000.000,8000000.000,4100000.000,5100000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-70847000.000,,,,215500000.000,,,,,-132000000.000,
CommonStockDividendsPerShareDeclared,,,,,,,,0.380,0.380,0.380,0.420
ComprehensiveIncomeNetOfTax,55933000.000,30646000.000,85962000.000,19585000.000,19300000.000,-10200000.000,43500000.000,100000000.000,97600000.000,46900000.000,70200000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,196000.000,192000.000,27000.000,-68000.000,200000.000,,,,-200000.000,-300000.000,100000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,56129000.000,30838000.000,85989000.000,19517000.000,19500000.000,-10200000.000,43500000.000,100000000.000,97400000.000,46600000.000,70300000.000
ConcentrationRiskPercentage1,0.170,0.160,,,,,,,,,
CostOfGoodsSold,717658000.000,661025000.000,710918000.000,766926000.000,697400000.000,692100000.000,789500000.000,746600000.000,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,19600000.000,
DefinedContributionPlanCostRecognized,,,,,,2500000.000,2600000.000,2300000.000,2200000.000,1300000.000,2100000.000
Depreciation,17854000.000,,,,18400000.000,,,,,22400000.000,
DepreciationDepletionAndAmortization,,,,,,,,,45300000.000,46000000.000,47600000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,-935000.000,52000.000,-1273000.000,,,,,700000.000,-1200000.000,4800000.000,3800000.000
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,203000.000,-203000.000,35000.000,,,,,,100000.000,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,897000.000,-1814000.000,-3002000.000,,,,,-5500000.000,9500000.000,43200000.000,-11600000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,732000.000,-145000.000,,,,,,,,800000.000,-2100000.000
EarningsPerShareBasic,,,,,,,,1.270,1.720,1.100,1.000
EarningsPerShareDiluted,,,,,,,,1.260,1.710,1.100,1.000
EffectOfExchangeRateOnCashAndCashEquivalents,-538000.000,,,,-6300000.000,,,,,-6400000.000,
EffectiveIncomeTaxRateContinuingOperations,0.190,0.230,0.210,,0.290,0.210,-1.040,0.165,0.294,0.323,0.361
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.350,,0.350,,,,,0.350,
FiniteLivedIntangibleAssetsTranslationAdjustments,,,,,-8100000.000,,,,,,
FinitelivedIntangibleAssetsAcquired1,,,,,9400000.000,,,,,,
GainLossOnForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,,,,,5000000.000,,,,
GeneralAndAdministrativeExpense,72495000.000,74898000.000,77952000.000,93719000.000,67300000.000,82600000.000,88200000.000,95600000.000,94200000.000,88600000.000,99400000.000
GoodwillAcquiredDuringPeriod,,,,,7100000.000,,,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,-13900000.000,
GoodwillTranslationAdjustments,,,,,-11800000.000,,,,,,
GrossProfit,381207000.000,359624000.000,417037000.000,411001000.000,370200000.000,374700000.000,458000000.000,462800000.000,530600000.000,450000000.000,455200000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,67652000.000,45453000.000,99168000.000,63837000.000,71500000.000,37700000.000,22800000.000,90200000.000,144600000.000,96300000.000,91700000.000
IncomeTaxExpenseBenefit,12731000.000,10556000.000,20554000.000,15182000.000,20500000.000,8100000.000,-23800000.000,14900000.000,42500000.000,31100000.000,33100000.000
IncomeTaxReconciliationTaxContingenciesForeign,,,,,,,,,25500000.000,,
IncomeTaxesPaidNet,,,,,,,,,,10400000.000,
IncreaseDecreaseInOperatingCapital,248500000.000,,,,255500000.000,,,,,,
IncreaseDecreaseInRestructuringReserve,,,,,,,,,,3200000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,100000.000,200000.000,200000.000,200000.000
IndefiniteLivedIntangibleAssetsTranslationAdjustments,,,,,-9600000.000,,,,,,
IndefinitelivedIntangibleAssetsAcquired,,,,,4000000.000,,,,,,
InterestExpense,56987000.000,47393000.000,47344000.000,50394000.000,44400000.000,49200000.000,112900000.000,,,,
InterestIncomeExpenseNet,,,,,,,,57500000.000,59900000.000,-55800000.000,-50600000.000
InterestPaid,,,,,,,,,,44500000.000,
NetCashProvidedByUsedInFinancingActivities,81612000.000,,,,418300000.000,,,,,-102700000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,81612000.000,,,,418300000.000,,,,,-102700000.000,
NetCashProvidedByUsedInInvestingActivities,-15928000.000,,,,-43200000.000,,,,,-28700000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-15928000.000,,,,-43200000.000,,,,,-28700000.000,
NetCashProvidedByUsedInOperatingActivities,-135993000.000,,,,-153300000.000,,,,,5800000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-135993000.000,,,,-153300000.000,,,,,5800000.000,
NetIncomeLoss,54802000.000,34856000.000,78595000.000,48509000.000,50800000.000,29600000.000,46600000.000,75200000.000,101900000.000,65200000.000,58800000.000
NetIncomeLossAttributableToNoncontrollingInterest,119000.000,41000.000,19000.000,146000.000,200000.000,,0.000,100000.000,200000.000,,-200000.000
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,,,,,,,,,31100000.000,
OperatingExpenses,255723000.000,265994000.000,267765000.000,294873000.000,253600000.000,284600000.000,320600000.000,314300000.000,323900000.000,299000000.000,311100000.000
OperatingIncomeLoss,125484000.000,93630000.000,149272000.000,116128000.000,116600000.000,90100000.000,137400000.000,148500000.000,206700000.000,151000000.000,144100000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToNoncontrollingInterest,77000.000,151000.000,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-302000.000,-2776000.000,,,,,,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax,,,,,,,,,,-3600000.000,
OtherComprehensiveIncomeLossBeforeTax,,,,,,,,,,-7100000.000,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,1466000.000,-1576000.000,-1485000.000,13126000.000,1900000.000,1400000.000,-12000000.000,,,,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-225000.000,-2625000.000,8444000.000,-38122000.000,-34500000.000,-43600000.000,9500000.000,28200000.000,-13700000.000,-46100000.000,21700000.000
OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,,,,,,,,,,3900000.000,-400000.000
OtherComprehensiveIncomeLossNetOfTax,1208000.000,-4059000.000,7375000.000,-29138000.000,-31500000.000,-39800000.000,-3100000.000,24700000.000,-4700000.000,-18600000.000,11700000.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToNoncontrollingInterest,,,,,,,,,,-300000.000,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,1131000.000,-4210000.000,7367000.000,,-31500000.000,-39800000.000,-3100000.000,,,-18300000.000,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,33000.000,142000.000,-416000.000,3858000.000,-1100000.000,-2400000.000,600000.000,600000.000,-1200000.000,-3300000.000,300000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,,,,,,,,100000.000,-300000.000,-1200000.000,100000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,,,,,-2900000.000,7800000.000,24200000.000,-9700000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,,,,,,,,3200000.000,-2900000.000,-14200000.000,4500000.000
OtherExpenses,,,,,,,,,,,2600000.000
OtherNoncashIncomeExpense,-1382000.000,,,,-4200000.000,,,,,,
OtherNonoperatingIncomeExpense,-845000.000,-784000.000,-2760000.000,-1897000.000,-700000.000,-3200000.000,-1700000.000,-800000.000,-2200000.000,1100000.000,-1800000.000
PaymentsForProceedsFromOtherInvestingActivities,-10000.000,,,,900000.000,,,,,800000.000,
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,97600000.000,
PaymentsForRestructuring,,,,,,,,,,3000000.000,
