,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslation,3000000.000,2000000.000,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,11000000.000,55000000.000,58000000.000,64000000.000,46000000.000,29000000.000
AdvertisingExpense,245000000.000,288000000.000,345000000.000,297000000.000,324000000.000,322000000.000
AmortizationOfDeferredCharges,121000000.000,,,,,
AmortizationOfIntangibleAssets,121000000.000,110000000.000,119000000.000,126000000.000,132000000.000,121000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,600000.000,0.000,0.000,0.000,600000.000,600000.000
BusinessCombinationAcquisitionRelatedCosts,,26000000.000,42000000.000,62000000.000,48000000.000,9000000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,175000000.000,900000000.000,900000000.000
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentInventory,,8000000.000,8000000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,116000000.000,-151000000.000,-190000000.000,-430000000.000,625000000.000,509000000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,0.000,-40000000.000,0.000,0.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,-1000000.000,-1000000.000,0.000,-14000000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,-18000000.000,-279000000.000,0.000,84000000.000
CommonStockDividendsPerShareCashPaid,2.260,2.340,2.420,2.620,1.410,1.560
ComprehensiveIncomeNetOfTax,706000000.000,1075000000.000,3637000000.000,1246000000.000,820000000.000,1223000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,814000000.000,1203000000.000,3752000000.000,1297000000.000,828000000.000,1235000000.000
CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,9081000000.000,9069000000.000,8636000000.000,8791000000.000,8591000000.000,8063000000.000
CurrentFederalTaxExpenseBenefit,193000000.000,332000000.000,153000000.000,128000000.000,158000000.000,-232000000.000
CurrentForeignTaxExpenseBenefit,176000000.000,203000000.000,202000000.000,195000000.000,276000000.000,337000000.000
CurrentIncomeTaxExpenseBenefit,389000000.000,563000000.000,369000000.000,348000000.000,456000000.000,86000000.000
CurrentStateAndLocalTaxExpenseBenefit,20000000.000,28000000.000,14000000.000,25000000.000,22000000.000,-19000000.000
DebtConversionConvertedInstrumentAmount1,445000000.000,,,,,
DeferredFederalIncomeTaxExpenseBenefit,11000000.000,-162000000.000,-29000000.000,-78000000.000,29000000.000,153000000.000
DeferredForeignIncomeTaxExpenseBenefit,-17000000.000,-48000000.000,-1000000.000,-10000000.000,7000000.000,-8000000.000
DeferredIncomeTaxExpenseBenefit,-4000000.000,-225000000.000,-36000000.000,-89000000.000,0.000,155000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,2000000.000,-15000000.000,-6000000.000,-1000000.000,-36000000.000,10000000.000
DeferredTaxExpenseFromStockOptionsExercised,,,,25000000.000,19000000.000,14000000.000
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,0.053,0.046,0.041,0.046,0.038,0.036
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,0.076,0.070,0.065,0.065,0.061,0.061
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease,0.038,0.039,0.040,0.030,0.020,0.016
DefinedBenefitPlanBenefitObligationPeriodIncreaseDecrease,-65000000.000,-65000000.000,,,,
DefinedBenefitPlanBenefitsPaid,,70000000.000,22000000.000,61000000.000,,
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation,-120000000.000,,,,,
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnAccumulatedPostretirementBenefitObligation1,,-91000000.000,86000000.000,105000000.000,91000000.000,17000000.000
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents,-8000000.000,,,,,
DefinedBenefitPlanEffectOfOnePercentagePointDecreaseOnServiceAndInterestCostComponents1,,-8000000.000,7000000.000,6000000.000,6000000.000,5000000.000
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnAccumulatedPostretirementBenefitObligation,144000000.000,155000000.000,111000000.000,138000000.000,120000000.000,25000000.000
DefinedBenefitPlanEffectOfOnePercentagePointIncreaseOnServiceAndInterestCostComponents,10000000.000,10000000.000,10000000.000,8000000.000,9000000.000,8000000.000
DefinedBenefitPlanGrossPrescriptionDrugSubsidyReceiptsReceived,7000000.000,6000000.000,,,,
DefinedBenefitPlanHealthCareCostTrendRateAssumedForNextFiscalYear,0.063,0.063,0.064,0.063,0.064,0.061
DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecuritiesRangeMaximum,0.600,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecuritiesRangeMinimum,0.250,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecuritiesRangeMaximum,0.750,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecuritiesRangeMinimum,0.400,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsOtherRangeMaximum,0.100,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsOtherRangeMinimum,0.000,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsRealEstateRangeMaximum,0.100,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsRealEstateRangeMinimum,0.000,,,,,
DefinedBenefitPlanUltimateHealthCareCostTrendRate,0.045,0.045,0.045,0.045,0.045,0.044
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,,,,1.000
Depreciation,346000000.000,355000000.000,356000000.000,350000000.000,363000000.000,341000000.000
DepreciationAndAmortization,467000000.000,465000000.000,475000000.000,476000000.000,495000000.000,462000000.000
DepreciationNonproduction,15000000.000,15000000.000,17000000.000,17000000.000,19000000.000,21000000.000
DerivativeCashReceivedOnHedge,,,,,19000000.000,19000000.000
DividendsCommonStockCash,355000000.000,358000000.000,345000000.000,361000000.000,383000000.000,414000000.000
