,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30
AccountsPayableCurrent,2173708.000,1884367.000,1480758.000,1895906.000,1789200.000,2970287.000,2565833.000,2009072.000,2929852.000,3312824.000
AccountsPayableInterestBearingInterestRate,0.040,0.040,0.040,,,,,,,
AccountsPayableRelatedPartiesCurrentAndNoncurrent,1237588.000,1650428.000,1202000.000,,,,,,,
AccountsReceivableNetCurrent,2028335.000,2684243.000,1783850.000,1594010.000,2387002.000,3695047.000,3850987.000,3991158.000,4549763.000,5033773.000
AccruedLiabilitiesCurrent,197490.000,22320.000,15470.000,49474.000,42962.000,38100.000,18471.000,30220.000,70451.000,62072.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1558.000,2360.000,3162.000,4028.000,5119.000,6298.000,7477.000,9061.000,10375.000,15637.000
AdditionalPaidInCapital,685567.000,845558.000,845558.000,895555.000,1113140.000,1126982.000,1202455.000,1205417.000,1214235.000,1210296.000
Assets,3874998.000,4294924.000,3326816.000,3866191.000,4902503.000,6511844.000,6345680.000,6980927.000,8004246.000,7501059.000
AssetsCurrent,3861682.000,4282410.000,3315104.000,3854140.000,4886099.000,6495032.000,6330047.000,6931650.000,7933936.000,7401186.000
CashAndCashEquivalentsAtCarryingValue,3554.000,26793.000,3622.000,15269.000,89801.000,1780.000,12818.000,41731.000,4029.000,7142.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,3.500,3.500,,3.500,3.500,3.500
ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,,,,,1.000,1.000,1.000,1.000,1.000,
ClassOfWarrantOrRightOutstanding,,,,,,,,122550.000,122550.000,122550.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,10353750.000,10441250.000,10441250.000,10466250.000,10476854.000,10476854.000,10494428.000,10494428.000,10494428.000,10494428.000
CommonStockSharesOutstanding,10353750.000,10441250.000,10441250.000,10466250.000,10476854.000,10476854.000,10494428.000,10494428.000,10494428.000,10494428.000
CommonStockValue,1035.000,1044.000,1044.000,1047.000,1048.000,1048.000,1049.000,1049.000,1049.000,1049.000
ConvertibleLongTermNotesPayable,74000.000,74000.000,74000.000,74000.000,74000.000,74000.000,74000.000,0.000,74000.000,74000.000
DebtInstrumentUnamortizedDiscount,,,,,183026.000,180724.000,,,,
DeferredTaxAssetsNetCurrent,13500.000,13500.000,13500.000,85840.000,127840.000,162840.000,100840.000,122300.000,137600.000,160100.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,0.000,,,,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,47200.000,,,,26600.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,13500.000,13500.000,13500.000,85740.000,,,,122300.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,7000.000,7000.000,7000.000,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,,,,38540.000,,,,95700.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,6500.000,6500.000,6500.000,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,8740.000,,,,,,
DueToRelatedPartiesCurrent,354632.000,209632.000,209632.000,359632.000,559632.000,534632.000,697774.000,797007.000,526397.000,289497.000
IndefiniteLivedTrademarks,,,,,,,,,,13407.000
InventoryFinishedGoods,271381.000,378648.000,764241.000,1837331.000,1002582.000,917111.000,1571280.000,1813919.000,1935924.000,912854.000
InventoryNet,1791423.000,1550234.000,1313369.000,2094929.000,1825751.000,2068384.000,2272658.000,2589231.000,3054861.000,2002942.000
InventoryRawMaterials,1469557.000,1127955.000,549128.000,257598.000,823169.000,1151273.000,701378.000,775312.000,1118937.000,1090088.000
Liabilities,2974873.000,3247542.000,2525821.000,3238167.000,4141549.000,5632665.000,5434833.000,6089581.000,7259805.000,7081073.000
LiabilitiesAndStockholdersEquity,3874998.000,4294924.000,3326816.000,3866191.000,4902503.000,6511844.000,6345680.000,6980927.000,8004246.000,7501059.000
LiabilitiesCurrent,2900873.000,3173543.000,2451821.000,3164167.000,3850575.000,5309389.000,5093697.000,5201385.000,6348657.000,6407073.000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,1500000.000,,,,,,
LoansPayableCurrent,,978480.000,745961.000,826284.000,1458781.000,1699247.000,1751931.000,2242399.000,2708852.000,2366963.000
LongTermNotesPayable,,,,,216974.000,249276.000,267136.000,288196.000,311148.000,0.000
NotesPayableCurrent,,,,,,,,,,336612.000
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,,,74000.000,74000.000,0.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,210000.000,210000.000,210000.000,210000.000,210000.000,210000.000,219000.000
NotesPayableRelatedPartiesNoncurrent,,,,,,,,600000.000,600000.000,600000.000
OperatingLossCarryforwards,,,,21000.000,,,,,,
OtherReceivablesNetCurrent,,,,,418489.000,464529.000,,,,
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,24870.000,7640.000,200763.000,64092.000,37216.000,102452.000,92744.000,187230.000,187683.000,197229.000
PropertyPlantAndEquipmentGross,12874.000,12874.000,12874.000,14079.000,19523.000,21110.000,21110.000,56338.000,78685.000,100103.000
PropertyPlantAndEquipmentNet,11316.000,10514.000,9712.000,10051.000,14404.000,14812.000,13633.000,47277.000,68310.000,84466.000
RetainedEarningsAccumulatedDeficit,213523.000,200780.000,-45607.000,-268578.000,-353234.000,-248851.000,-292657.000,-315120.000,-470843.000,-791359.000
SecurityDeposit,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000,2000.000
StockholdersEquity,900125.000,1047382.000,800995.000,628024.000,760954.000,879179.000,910847.000,891346.000,744441.000,419986.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,900125.000,1047382.000,800995.000,628024.000,760954.000,879179.000,910847.000,891346.000,744441.000,419986.000
TaxesPayableCurrent,75043.000,78743.000,,0.000,0.000,67123.000,59688.000,48687.000,39105.000,39105.000
WarrantsAndRightsOutstanding,,,,,343000.000,369000.000,,,,
