,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,15227.000,16348.000,18693.000,20181.000,
AccountsPayableCurrent,,,,,28889.000
AccruedLiabilitiesCurrent,,,,,143840.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-40871.000
AdditionalPaidInCapital,39200.000,39200.000,-31850.000,-31850.000,1097817.000
Assets,,,,0.000,723593.000
AssetsCurrent,,,,,333808.000
BankOverdrafts,,,,,1616.000
Cash,,,,0.000,831.000
CommitmentsAndContingencies,,,,,143488.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,,2450000.000,73500000.000,73500000.000,57050000.000
CommonStockSharesOutstanding,,,,,57050000.000
CommonStockValue,2450.000,2450.000,,,57050.000
CommonStockValueOutstanding,,,73500.000,73500.000,
ConvertibleNotesPayable,,,,,950000.000
ConvertibleNotesPayableCurrent,,,,,240000.000
DeferredTaxAssetsLiabilitiesNet,,,,,0.000
DerivativeLiabilitiesCurrent,,,,,137353.000
DueToRelatedPartiesCurrent,57761.000,61678.000,64570.000,69892.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,0.000
FixturesAndEquipmentGross,,,,,15429.000
IntangibleAssetsNetExcludingGoodwill,,,,,247142.000
LeaseholdImprovementsGross,,,,,40871.000
Liabilities,,,,,1127376.000
LiabilitiesAndStockholdersEquity,,,,0.000,723593.000
LiabilitiesCurrent,72988.000,78026.000,83263.000,90073.000,983888.000
MachineryAndEquipmentGross,,,,,56300.000
NotesPayableCurrent,,,,,612190.000
OperatingLossCarryforwards,,,,,586000.000
OperatingLossCarryforwardsValuationAllowance,,,,,586000.000
OtherLiabilitiesCurrent,,,,,60000.000
OtherNotesPayableCurrent,,,,,45465.000
OtherRestrictedAssetsNoncurrent,,,,,127214.000
PrepaidExpenseCurrent,,,,,332977.000
PrepaidRoyalties,,,,,116310.000
PropertyPlantAndEquipmentNet,,,,,15429.000
RetainedEarningsAccumulatedDeficit,-114638.000,-119676.000,-124913.000,-131723.000,-1558650.000
StockholdersEquity,-72988.000,-78026.000,-83263.000,-90073.000,-403783.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,-547271.000
ValuationAllowanceAmount,,,,,-586000.000
WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,2450000.000,,,,
