,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsPayableCurrent,90486.000,48651.000,88494.000,126360.000,98430.000,147763.000,226759.000,191426.000,177346.000,199909.000,290930.000,351836.000,304429.000,23648139.000,25004364.000,12136430.000,10645356.000,8086414.000,7933664.000,6424557.000,6335891.000
AccountsReceivableNetCurrent,599410.000,532333.000,549476.000,519581.000,358945.000,431151.000,375090.000,468564.000,467160.000,446973.000,484468.000,448168.000,486632.000,9520345.000,9739737.000,6645743.000,6325634.000,5379899.000,2829266.000,2536812.000,2781350.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,0.000,32143.000,77471.000,77471.000,0.000,40203.000,70407.000,70407.000,0.000,28822.000,54444.000,54444.000,0.000,,,,,,,,
AccruedIncomeTaxesCurrent,11600.000,0.000,0.000,27231.000,,,,,,,,,,,,,,,,,
AccruedInsuranceCurrent,11484.000,0.000,82428.000,45354.000,13928.000,0.000,94116.000,49348.000,13197.000,0.000,113480.000,69838.000,36018.000,,,,,,,,
AccruedProfessionalFeesCurrent,88049.000,123045.000,142990.000,43784.000,100834.000,126876.000,120000.000,89838.000,84604.000,116020.000,140711.000,26893.000,12162.000,,,,,,,,
AccruedRoyaltiesCurrent,213969.000,203983.000,224810.000,209085.000,189753.000,206513.000,204509.000,205892.000,226500.000,218783.000,226502.000,227457.000,240548.000,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,19118315.000,19928176.000,20091655.000,20272811.000,20459549.000,20611051.000,20953324.000,21066303.000,21215120.000,21306941.000,21335914.000,21439883.000,21529273.000,1922849.000,1909352.000,1983045.000,2050414.000,2117783.000,2174316.000,2234675.000,2296906.000
AccumulatedOtherComprehensiveIncomeLossBeforeTax1,,,,,,,,,,,,,,60174.000,,-33390.000,-25272.000,-15301.000,,0.000,0.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,37007.000,38801.000,-20535.000,-15542.000,-9410.000,,0.000,0.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,138960.000,,,,532719.000,,
AllowanceForDoubtfulAccountsReceivableCurrent,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,,,,,,,,
AssetRetirementObligation,,,,,,,,,,,,,,,12487770.000,,673336.000,733917.000,8790498.000,470607.000,435936.000
AssetRetirementObligationCurrent,,,,,,,,,,,,,,931154.000,0.000,,,,70000.000,,
AssetRetirementObligationsNoncurrent,1268536.000,1273765.000,1278889.000,1300072.000,1305802.000,1304850.000,1327861.000,1338240.000,1346172.000,1352460.000,1305862.000,1315279.000,1329352.000,11591497.000,12487770.000,12685602.000,12077632.000,12239139.000,8720498.000,8368545.000,8469015.000
Assets,11368000.000,11366080.000,11881738.000,12180428.000,12324501.000,12644525.000,12760940.000,12789150.000,12806356.000,13352926.000,14179532.000,13205508.000,12893594.000,139474110.000,148105605.000,138023816.000,128859125.000,126168729.000,119621453.000,114173469.000,98955286.000
AssetsCurrent,5826785.000,6462089.000,7176206.000,6001877.000,6223536.000,6688418.000,7021915.000,7082834.000,7265179.000,7359521.000,9072429.000,8241332.000,8016013.000,22791296.000,28192486.000,18702756.000,16372143.000,14151450.000,12671744.000,9073092.000,6638778.000
AssetsFairValueDisclosure,,,,,,,,,,,,,,932176.000,4741646.000,898816.000,116606.000,2815883.000,3728588.000,2940412.000,
BuildingsAndImprovementsGross,,,,,,,,,,,,,,,326000.000,,,,326000.000,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,17912400.000,,,,18214400.000,,,,103929493.000,,,,117304945.000,,
CapitalizedCostsAssetRetirementCosts,401242.000,401242.000,401242.000,409338.000,409338.000,409338.000,425978.000,425978.000,425978.000,425978.000,412612.000,412612.000,412612.000,,8806828.000,,,,4505018.000,,
CapitalizedCostsOilAndGasProducingActivitiesGross,,,,,,,,,,,,,,,212237915.000,,,,218800754.000,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,2521100.000,,,,2081412.000,,,,108308422.000,,,,101495809.000,,
CapitalizedCostsProvedProperties,,,,,,,19828900.000,,,,19704600.000,,,,50744401.000,,,,58393861.000,,
CapitalizedCostsUncompletedWellsEquipmentAndFacilities,,,,,,,,,,,,,,,2170582.000,,,,417997.000,,
CapitalizedCostsUnprovedProperties,,,,,,,,,,,,,,,8623344.000,,,,6150862.000,,
CapitalizedCostsWellsAndRelatedEquipmentAndFacilities,,,,,,,,,,,,,,,74440227.000,,,,81063335.000,,
CashAndCashEquivalentsAtCarryingValue,1617207.000,2267006.000,2762676.000,2740356.000,3213023.000,3582642.000,3834097.000,3827960.000,4152665.000,3512689.000,4404246.000,4555645.000,4355590.000,9562262.000,11558322.000,8766101.000,8283003.000,5048104.000,5355191.000,3074286.000,2092997.000
CashUninsuredAmount,,,,,,,3578553.000,,,,3813898.000,,,,,,,,,,
CommonStockNoParValue,0.000,,,,,,,,,,,,0.000,,,,,0.000,,0.000,0.000
CommonStockParOrStatedValuePerShare,,,,,,,,,,,,,,,0.000,,,,0.000,,
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000,300000000.000
CommonStockSharesIssued,4683853.000,4683853.000,4683853.000,4683853.000,4683853.000,4688085.000,4688085.000,4688085.000,4688085.000,4688085.000,4688085.000,4688085.000,4788085.000,68865962.000,69139869.000,69426666.000,71579952.000,71609741.000,71834617.000,71911361.000,72544053.000
