,2011-09-30
AccruedLiabilitiesCurrent,3500.000
AdditionalPaidInCapitalCommonStock,49500.000
Assets,20036.000
AssetsCurrent,20036.000
CashAndCashEquivalentsAtCarryingValue,20036.000
CommonStockParOrStatedValuePerShare,0.000
CommonStockSharesAuthorized,100000000.000
CommonStockSharesIssued,5000000.000
CommonStockSharesOutstanding,5000000.000
CommonStockValue,500.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,33971.000
DueToOfficersOrStockholdersCurrent,507.000
LiabilitiesAndStockholdersEquity,20036.000
LiabilitiesCurrent,4007.000
PreferredStockParOrStatedValuePerShare,0.000
PreferredStockSharesAuthorized,10000000.000
StockholdersEquity,16029.000
