,2011-09-30,2012-09-30,2013-09-30,2014-09-30,2015-09-30,2016-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,906000.000,838000.000,1430.000,711000.000,524000.000,1583000.000
AdvertisingExpense,,420000.000,,,,
AllocatedShareBasedCompensationExpense,,536000.000,,,,
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,,,133.000,170000.000,416000.000,360000.000
AllowanceForDoubtfulAccountsReceivableWriteOffs,,,-941.000,-370000.000,354000.000,466000.000
AmortizationOfFinancingCosts,338000.000,209000.000,286.000,385000.000,316000.000,345000.000
AmortizationOfIntangibleAssets,,,,635000.000,381000.000,2936000.000
AssetImpairmentCharges,4804000.000,0.000,0.000,0.000,0.000,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,-3081.000,,,
BusinessAcquisitionsProFormaRevenue,,,542027.000,,,
BusinessCombinationIntegrationRelatedCosts,,,,,,652000.000
CapitalLeaseObligationsIncurred,68000.000,0.000,0.000,,,
CapitalLeasesIncomeStatementAmortizationExpense,,182000.000,182.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,2653000.000,-16848000.000,2028.000,26585000.000,2018000.000,-16399000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,0.000,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,0.000,,,,,
ComprehensiveIncomeNetOfTax,,,,,16540000.000,120778000.000
CostOfServices,445585000.000,398063000.000,427633.000,429269000.000,473966000.000,569013000.000
CurrentFederalTaxExpenseBenefit,,,0.000,183000.000,417000.000,762000.000
CurrentStateAndLocalTaxExpenseBenefit,,253000.000,363.000,554000.000,729000.000,952000.000
DebtIssuanceCosts,,,522.000,385000.000,317000.000,345000.000
DeferredFederalIncomeTaxExpenseBenefit,,,0.000,182000.000,-564000.000,-97093000.000
DeferredIncomeTaxExpenseBenefit,-107000.000,-39000.000,0.000,0.000,,-98402000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,-215000.000,-37.000,-171000.000,79000.000,-1738000.000
DefinedBenefitPlanOtherCosts,,,,,,65000.000
Depreciation,,2075000.000,2552.000,2526000.000,2509000.000,5664000.000
DepreciationDepletionAndAmortization,6356000.000,2146000.000,2552.000,2526000.000,2509000.000,5664000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,0.000,-9158000.000,-1395.000,-198000.000,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,0.000,-11000.000,0.000,0.000,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,20941000.000,2032.000,125000.000,,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,-4662000.000,-473.000,-76000.000,,
DisposalGroupIncludingDiscontinuedOperationInterestExpense,,0.000,0.000,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,2557000.000,601.000,122000.000,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,16279000.000,1559.000,49000.000,,
EarningsPerShareBasic,-2.600,-0.810,-0.240,0.290,0.770,5.630
EarningsPerShareDiluted,-2.600,-0.810,-0.240,0.290,0.770,5.620
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.350,0.350,0.350,0.350,0.350
EmployeeStockOwnershipPlanESOPCompensationExpense,,129000.000,,,,
GainLossOnDispositionOfAssets,6583000.000,168000.000,64.000,86000.000,13000.000,-810000.000
GainLossOnSaleOfEquityInvestments,0.000,,,,,
GainsLossesOnSalesOfAssets,-88000.000,-44000.000,-119.000,-218000.000,-67000.000,-810000.000
GoodwillAcquiredDuringPeriod,,,9478.000,,2256000.000,23264000.000
GoodwillImpairmentLoss,0.000,,,,,
GoodwillPurchaseAccountingAdjustments,,,,1069000.000,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,,,,,577000.000
GrossProfit,36022000.000,58052000.000,66960.000,83126000.000,99891000.000,126980000.000
ImpairmentOfIntangibleAssetsExcludingGoodwill,4804000.000,688000.000,1475.000,,,
ImpairmentOfRealEstate,,,200.000,,,
IncomeLossFromContinuingOperations,,-2655000.000,-2178.000,5522000.000,16877000.000,120778000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-37547000.000,-2617000.000,-1852.000,6270000.000,17538000.000,23761000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-37693000.000,-2655000.000,-2178.000,5522000.000,16877000.000,120878000.000
IncomeLossFromContinuingOperationsPerBasicShare,-2.600,-0.180,-0.150,0.300,0.790,5.630
IncomeLossFromContinuingOperationsPerDilutedShare,-2.600,-0.180,-0.150,0.300,0.790,5.620
IncomeLossFromDiscontinuedOperationsNetOfTax,0.000,-9147000.000,-1395.000,-198000.000,-339000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,-9147000.000,-1395.000,-198000.000,-339000.000,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,-0.630,-0.090,-0.010,-0.020,0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.000,-0.630,-0.090,-0.010,-0.020,0.000
IncomeTaxExpenseBenefit,146000.000,38000.000,326.000,748000.000,661000.000,-97117000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,-918000.000,-648.000,2195000.000,6139000.000,8316000.000
IncomeTaxesPaid,340000.000,436000.000,496.000,732000.000,1532000.000,1415000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,16777000.000,-10114000.000,-1201.000,39000.000,6654000.000,19676000.000
IncreaseDecreaseInAccountsReceivable,2761000.000,-11130000.000,-3987.000,4137000.000,15115000.000,22439000.000
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,1111000.000,5670000.000,-4579.000,1176000.000,3313000.000,-936000.000
IncreaseDecreaseInCostInExcessOfBillingOnUncompletedContract,,,,256000.000,3727000.000,3236000.000
IncreaseDecreaseInInventories,537000.000,6698000.000,-2523.000,-3788000.000,-2526000.000,-3897000.000
IncreaseDecreaseInOtherNoncurrentAssets,-3092000.000,-211000.000,625.000,-592000.000,-120000.000,1500000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,348000.000,-305000.000,-959.000,-233000.000,-586000.000,-16000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1206000.000,273000.000,-670.000,-2295000.000,1902000.000,1716000.000
IncreaseDecreaseInRestrictedCash,,,,0.000,0.000,260000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,55856.000,45566.000,212997.000
InterestExpense,2277000.000,2324000.000,1771.000,1574000.000,1130000.000,1282000.000
InterestExpenseLongTermDebt,,-60000.000,-2.000,,,
InterestPaid,2293000.000,1646000.000,1115.000,1149000.000,792000.000,1009000.000
InvestmentIncomeInterest,68000.000,34000.000,152.000,,,
LineOfCreditFacilityInterestRateDuringPeriod,,,,,,0.025
LossContingencyUndiscountedAmountOfInsuranceRelatedAssessmentLiability,,,5306.000,4489000.000,4465000.000,5223000.000
NetCashProvidedByUsedInFinancingActivities,-838000.000,-7600000.000,4844.000,15969000.000,-3596000.000,19369000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-838000.000,-7600000.000,4844.000,15969000.000,-3596000.000,19369000.000
NetCashProvidedByUsedInInvestingActivities,15343000.000,-1877000.000,-4770.000,-1982000.000,-5892000.000,-60736000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,15343000.000,-1877000.000,-4770.000,-1982000.000,-5892000.000,-60736000.000
NetCashProvidedByUsedInOperatingActivities,-11852000.000,-7371000.000,1954.000,12598000.000,11506000.000,24968000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-11852000.000,-7371000.000,1954.000,12598000.000,11506000.000,24968000.000
NetIncomeLoss,-37693000.000,-11802000.000,-3573.000,5324000.000,16538000.000,120778000.000
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,100000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,-3573.000,5302000.000,16453000.000,119722000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,22000.000,85000.000,1056000.000
NonoperatingIncomeExpense,-2199000.000,-2228000.000,-2278.000,,,
OperatingIncomeLoss,-35348000.000,-389000.000,426.000,7641000.000,18488000.000,24960000.000
OperatingLeasesRentExpenseNet,,3461000.000,3764.000,5300000.000,5295000.000,5868000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,2000.000,0.000
OtherComprehensiveIncomeLossNetOfTax,,,-3556.000,5305000.000,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,17.000,-19000.000,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,88000.000,,,,,
OtherNonoperatingIncome,10000.000,62000.000,-659.000,203000.000,,
OtherOperatingIncomeExpenseNet,,,,,180000.000,83000.000
PaidInKindInterest,0.000,,,,,
PaymentsForRepurchaseOfCommonStock,72000.000,,,179000.000,3622000.000,590000.000
PaymentsForRestructuring,,-2837000.000,,,,
PaymentsOfDebtIssuanceCosts,0.000,,,,,
PaymentsOfDistributionsToAffiliates,0.000,,,,,
PaymentsToAcquireBusinessesGross,,,,0.000,,
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,3113000.000,59544000.000
PaymentsToAcquireInterestInSubsidiariesAndAffiliates,0.000,,,,,
PaymentsToAcquireProductiveAssets,,1877000.000,753.000,1982000.000,2779000.000,3417000.000
PaymentsToAcquirePropertyPlantAndEquipment,2688000.000,1877000.000,444.000,1982000.000,2779000.000,3417000.000
ProceedsFromIssuanceOfCommonStock,,,,19650000.000,0.000,220000.000
ProceedsFromIssuanceOfDebt,0.000,0.000,15167.000,0.000,26000.000,20289000.000
ProceedsFromLinesOfCredit,,,,,,20000000.000
ProceedsFromSaleOfPropertyPlantAndEquipment,1268000.000,0.000,829.000,0.000,0.000,2225000.000
ProfitLoss,,,,,,120878000.000
ProvisionForDoubtfulAccounts,-715000.000,-858000.000,4.000,170000.000,269000.000,360000.000
RepaymentsOfDebt,766000.000,264000.000,17042.000,3502000.000,0.000,290000.000
RestrictedStockExpense,,,,711000.000,524000.000,1583000.000
RestructuringCharges,3784000.000,1170000.000,63.000,0.000,,
Revenues,481607000.000,456115000.000,494593.000,512395000.000,573857000.000,695993000.000
SalesRevenueNet,481607000.000,456115000.000,494593.000,512395000.000,573857000.000,695993000.000
SellingGeneralAndAdministrativeExpense,69365000.000,58609000.000,66598.000,75571000.000,81416000.000,100558000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,,-32901000.000,0.000,0.000,0.000,7500.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,107500000.000,12500.000,13500.000,194000.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,,-192973000.000,-111080.000,-115080.000,44500.000,25332.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,,,,,0.578,0.578
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,,,,,0.556,0.556
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,0.009,0.009,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,,,,,0.015,0.015
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,,,,,0.013,0.013
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,,,0.666,0.666,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,0.000,0.000,0.000,74000.000,11000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,0.000,0.000,0.000,5.760,3.600
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,0.000,150000.000,0.000,37000.000,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,3.430,3.430,3.870,3.870
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,0.000,0.000,0.000,5.170
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,5.760,0.000,7.250,0.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,,3.240,,,,
StockIssuedDuringPeriodSharesRestrictedStockAwardNetOfForfeitures,0.000,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,0.000,0.000,0.000,0.000,42500.000
StockIssuedDuringPeriodValueAcquisitions,,,11890.000,,,
StockIssuedDuringPeriodValueNewIssues,,,,19649000.000,,
StockIssuedDuringPeriodValueRestrictedStockAwardNetOfForfeitures,0.000,,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,,,,,,220000.000
StockRepurchasedDuringPeriodShares,0.000,,,,,
StockRepurchasedDuringPeriodValue,-72000.000,-181000.000,-435.000,,,
TreasuryStockValueAcquiredCostMethod,,,,179000.000,3622000.000,590000.000
UnrealizedGainLossOnInvestments,,,138.000,94000.000,66000.000,159000.000
UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,,,,,,69000.000
UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,,,0.000,0.000,17000.000,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,,5000.000,13.000,468000.000,98000.000,0.000
UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,,6000.000,8.000,2000.000,1000.000,0.000
UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,,-213000.000,-63.000,3000.000,198000.000,27000.000
WeightedAverageNumberOfDilutedSharesOutstanding,14493747.000,14625776.000,14952054.000,18473420.000,21526188.000,21492339.000
WeightedAverageNumberOfSharesOutstandingBasic,14493747.000,14625776.000,14952054.000,18417564.000,21480622.000,21279342.000
