,2011-12-31,2012-12-31,2013-12-31,2014-12-31
AdjustmentForAmortization,,3811000.000,4063000.000,3775000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2115000.000,1652000.000,926000.000,273000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,58000.000,25000.000,,
AllocatedShareBasedCompensationExpense,,653000.000,620000.000,272000.000
AmortizationOfDebtDiscountPremium,65000.000,56000.000,45000.000,16000.000
AmortizationOfFinancingCosts,,,310000.000,
AmortizationOfIntangibleAssets,3523000.000,2817000.000,3063000.000,2606000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,482765.000,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,105000.000,
CapitalExpendituresIncurredButNotYetPaid,,384000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,2459000.000,-514000.000,1638000.000,-3299000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,84000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,-911000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,4741000.000
ComprehensiveIncomeNetOfTax,,-13126000.000,-34739000.000,-45066000.000
CostsAndExpenses,628335000.000,588805000.000,569290000.000,490741000.000
CurrentFederalTaxExpenseBenefit,,-2800000.000,-3239000.000,-989000.000
CurrentIncomeTaxExpenseBenefit,,-2128000.000,-3002000.000,-994000.000
CurrentStateAndLocalTaxExpenseBenefit,,672000.000,237000.000,-5000.000
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,,,1027000.000
DebtorReorganizationItemsWriteOffOfDeferredFinancingCostsAndDebtDiscounts,,,310000.000,
DeferredFederalIncomeTaxExpenseBenefit,,-3321000.000,-10362000.000,1503000.000
DeferredIncomeTaxExpenseBenefit,8069000.000,-4123000.000,-10061000.000,1112000.000
DeferredOtherTaxExpenseBenefit,,-6371000.000,-10061000.000,
