,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,542000.000,599000.000,1620000.000,1453000.000,327000.000,497000.000,944000.000,1006000.000,608000.000
AccountsPayableCurrent,355000.000,288000.000,277000.000,306000.000,305000.000,325000.000,332000.000,364000.000,,,,,,,,,
AccountsReceivableNetCurrent,321000.000,325000.000,318000.000,341000.000,337000.000,361000.000,314000.000,313000.000,572000.000,1336000.000,436000.000,382000.000,220000.000,299000.000,225000.000,207000.000,188000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,2616000.000,2616000.000,2617000.000,2617000.000,,,753000.000,,,,825000.000,,
AdditionalPaidInCapital,44896000.000,44896000.000,44896000.000,44896000.000,44896000.000,44895000.000,44895000.000,44895000.000,46496000.000,46479000.000,45592000.000,46570000.000,47595000.000,47852000.000,49680000.000,49680000.000,49900000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,0.000,0.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,5000.000,5000.000,5000.000,5000.000,5000.000,5000.000,4000.000,3000.000,,,,,,,,,
AssetRetirementObligation,,,,,,,,,,,959000.000,,,,990000.000,,
AssetRetirementObligationCurrent,,,,,,,,,16000.000,16000.000,107000.000,113000.000,113000.000,113000.000,113000.000,113000.000,113000.000
AssetRetirementObligationsNoncurrent,,,,,,,,,882000.000,903000.000,852000.000,854000.000,862000.000,870000.000,877000.000,885000.000,891000.000
Assets,382000.000,368000.000,391000.000,396000.000,414000.000,396000.000,386000.000,362000.000,27287000.000,26952000.000,26201000.000,25498000.000,25878000.000,25173000.000,25425000.000,25239000.000,24960000.000
AssetsCurrent,381000.000,367000.000,390000.000,395000.000,413000.000,395000.000,386000.000,362000.000,1670000.000,1556000.000,888000.000,596000.000,1251000.000,568000.000,909000.000,688000.000,762000.000
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,,,,,,,,,-2000.000,-2000.000,,,,,,,
CapitalizedComputerSoftwareGross,,,,,1999000.000,1999000.000,1999000.000,1999000.000,,,,,,,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities,,,,,,,,,1775000.000,1915000.000,,2458000.000,2568000.000,,,2878000.000,-2964000.000
CapitalizedCostsAssetRetirementCosts,,,,,,,,,,,37000.000,,,,,,
CapitalizedCostsOilAndGasProducingActivitiesNet,,,,,,,,,1790000.000,1619000.000,,-4000.000,-363000.000,-221000.000,,-31000.000,-117000.000
Cash,40000.000,9000.000,,32000.000,47000.000,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,29000.000,9000.000,40000.000,,47000.000,1000.000,41000.000,28000.000,1081000.000,208000.000,432000.000,194000.000,1011000.000,249000.000,128000.000,,258000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,,,,,,,63000.000,,,,679000.000,,
CashEquivalentsAtCarryingValue,,,40000.000,,,,,,,,63000.000,,,,127000.000,,
CashFDICInsuredAmount,,,,,,,,,250000.000,250000.000,,,,,,,
CashUninsuredAmount,,,,,,,,,,,44000.000,0.000,737000.000,0.000,0.000,0.000,8000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,,,,,,,,,,,,3.750,,,,,
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,3.750,3.750,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByEachWarrantOrRight,,,,,,,,,,,,1.000,1.000,1.000,,,
ClassOfWarrantOrRightOutstanding,,,,,,,2375000.000,,,,,,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,,,,,,,265265.000,,,,735845.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,40000000.000,40000000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,40000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,34874696.000,34874696000.000,34874696.000,34874696.000,34874696.000,35644696.000,35644696.000,35644696.000,178250.000,21332897.000,22453773.000,22723148.000,23292102.000,25872602.000,29334264.000,30009264.000,30009264.000
CommonStockSharesOutstanding,34874696.000,34874696000.000,34874696.000,34874696.000,34874696.000,35644696.000,35644696.000,35644696.000,0.000,21332897.000,22453773.000,22723148.000,23292102.000,25872602.000,29334264.000,30009264.000,30009264.000
CommonStockValue,35000.000,35000.000,35000.000,35000.000,35000.000,36000.000,36000.000,36000.000,,21000.000,23000.000,23000.000,23000.000,26000.000,29000.000,30000.000,30000.000
