,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AccountsPayableCurrent,46576000.000,66482000.000,58425000.000,63687000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,12405000.000,13415000.000,10029000.000,13370000.000
AccruedInsuranceCurrent,2104000.000,1328000.000,3247000.000,3470000.000
AccruedLiabilitiesCurrent,85769000.000,75834000.000,74439000.000,72096000.000
AccruedLiabilitiesForUnredeeemedGiftCards,,,4100000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,101724000.000,
AdditionalPaidInCapital,411996000.000,543674000.000,548301000.000,551590000.000
AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries,,,542100000.000,
Assets,1147695000.000,1185597000.000,1213393000.000,1263147000.000
AssetsCurrent,230725000.000,263577000.000,258877000.000,273848000.000
CapitalLeasesFutureMinimumPaymentsDue,,,9136000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,623000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,7445000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,1068000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,506000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,8630000.000,
CashAndCashEquivalentsAtCarryingValue,8145000.000,7663000.000,7092000.000,10576000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,50836727.000,60366768.000,60366768.000,60366768.000
CommonStockSharesOutstanding,50836727.000,60366768.000,60366768.000,60366768.000
CommonStockValue,508000.000,604000.000,604000.000,604000.000
DebtInstrumentCarryingAmount,437611000.000,302385000.000,310229000.000,309702000.000
DeferredFinanceCostsNoncurrentNet,1442000.000,1322000.000,1202000.000,1081000.000
DeferredIncomeTaxLiabilities,,,31848000.000,
DeferredRentCreditCurrent,4913000.000,6983000.000,7082000.000,7291000.000
DeferredRentCreditNoncurrent,74181000.000,104175000.000,103692000.000,105959000.000
DeferredTaxAssetsDeferredGainOnSaleLeasebackTransaction,,,36778000.000,
DeferredTaxAssetsGross,,,72897000.000,
DeferredTaxAssetsInventory,,,5968000.000,
DeferredTaxAssetsLiabilitiesNet,,,40735000.000,
DeferredTaxAssetsLiabilitiesNetNoncurrent,14726000.000,34226000.000,40735000.000,40516000.000
DeferredTaxAssetsNet,,,72583000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,314000.000,
DeferredTaxAssetsOther,,,4597000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,8641000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,,8101000.000,
DeferredTaxAssetsValuationAllowance,,,314000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,61000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,29550000.000,
EmployeeRelatedLiabilitiesCurrent,7497000.000,7930000.000,12498000.000,4575000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,16700000.000,
FiniteLivedIntangibleAssetsNet,,,1500000.000,
Goodwill,569732000.000,569732000.000,569732000.000,569732000.000
IntangibleAssetsNetExcludingGoodwill,1440000.000,1452000.000,1458000.000,1458000.000
InterestPayableCurrent,456000.000,4092000.000,3807000.000,327000.000
InventoryNet,212604000.000,248053000.000,243795000.000,252116000.000
Liabilities,762628000.000,670612000.000,678523000.000,714939000.000
LiabilitiesAndStockholdersEquity,1147695000.000,1185597000.000,1213393000.000,1263147000.000
LiabilitiesCurrent,243748000.000,253283000.000,252477000.000,286980000.000
LinesOfCreditCurrent,102679000.000,87020000.000,101575000.000,126800000.000
LongTermDebt,,,301599000.000,
LongTermDebtAndCapitalLeaseObligations,,,,299403000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,285742000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,3152000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,2443000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,3930000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,3171000.000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,3161000.000,
LongTermDebtNoncurrent,422463000.000,291864000.000,299606000.000,
OperatingLeasesFutureMinimumPaymentsDue,,,927043000.000,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,70840000.000,
OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals,,,200000.000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,66597000.000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,68232000.000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,71199000.000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,72685000.000,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,577490000.000,
OtherAccruedLiabilitiesCurrent,15080000.000,17445000.000,17176000.000,17455000.000
OtherAssetsCurrent,5553000.000,3186000.000,1860000.000,4217000.000
