,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,4800.000,6049.000,7913.000,12158.000,10211.000,2722.000,1200.000,1800.000,2400.000,7401.000,2452.000,12169.000,16350.000,18700.000,9894.000,3600.000,3930.000,12810.000,0.000,0.000,11795.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000,-222.000
AdditionalPaidInCapital,57150.000,57150.000,57150.000,57150.000,57150.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,95818.000,430574.000,430574.000,430574.000
Assets,3862.000,115.000,78.000,92.000,25024.000,30000.000,10000.000,10000.000,10000.000,20000.000,20000.000,20000.000,0.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,3862.000,115.000,78.000,92.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000
CommonStockSharesOutstanding,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000,7900000.000
CommonStockValue,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000,7900.000
DebtInstrumentInterestRateStatedPercentage,,,,,,,,,,,,,,,,,,,0.050,0.050,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,117013.000,123398.000,125922.000,143017.000,173056.000,200316.000,235543.000,249012.000,289072.000,309263.000,,,,,,,,,,,
DueToOfficersOrStockholdersCurrent,,766.000,766.000,13000.000,68668.000,68891.000,85015.000,97259.000,136094.000,160659.000,175741.000,175792.000,198464.000,198464.000,246797.000,261882.000,273193.000,307818.000,0.000,11652.000,0.000
DueToRelatedPartiesCurrent,,0.000,0.000,0.000,68668.000,68891.000,85015.000,97259.000,136094.000,,,,198464.000,198464.000,246797.000,261882.000,273193.000,307818.000,273193.000,,11652.000
InterestPayableCurrent,1247.000,1870.000,2493.000,3123.000,4373.000,5207.000,5832.000,6457.000,7082.000,7707.000,8332.000,8957.000,9582.000,10207.000,10832.000,11457.000,12082.000,12707.000,13332.000,13957.000,14582.000
Liabilities,56047.000,58685.000,61172.000,78281.000,133252.000,126820.000,142047.000,155516.000,195576.000,225767.000,236525.000,246918.000,274396.000,277371.000,317523.000,326939.000,339205.000,383335.000,63332.000,75609.000,88029.000
LiabilitiesAndStockholdersEquity,3862.000,115.000,78.000,92.000,25024.000,30000.000,10000.000,10000.000,10000.000,20000.000,20000.000,20000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LongTermLoansPayable,,,,,,,,,,,,,,,,,,,50000.000,50000.000,
NotesPayableCurrent,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000,50000.000
OperatingLossCarryforwards,,,,,173056.000,,,,,,,,,,,,,,,,
PrepaidExpenseCurrent,0.000,0.000,0.000,0.000,25000.000,30000.000,10000.000,10000.000,10000.000,20000.000,20000.000,20000.000,0.000,,,,,,,,
RetainedEarningsAccumulatedDeficit,,,,,,,,,,,-320021.000,-330414.000,-377892.000,-380867.000,-421019.000,-430435.000,-442701.000,-486831.000,-501584.000,-513861.000,-526281.000
StockholdersEquity,-52185.000,-58570.000,-61094.000,-78189.000,-108228.000,-96820.000,-132047.000,-145516.000,-185576.000,-205767.000,-216525.000,-226918.000,-274396.000,-277371.000,-317523.000,-326939.000,-339205.000,-383335.000,-63332.000,-75609.000,-88029.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-52185.000,-58570.000,-61094.000,-78189.000,-108228.000,-96820.000,-132047.000,-145516.000,-185576.000,-205767.000,-216525.000,-226918.000,-274396.000,-277371.000,-317523.000,-326939.000,-339205.000,-383335.000,-63332.000,-75609.000,-88029.000
