,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,42000.000,,,,21000.000,,,,36000.000,,,,7000.000
AmortizationOfFinancingCosts,6000.000,,,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,44000.000,,,,12000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,87197000.000,,,,-3432000.000,,,,-28444000.000,,,,2008000.000
ConversionOfStockAmountIssued1,3088000.000,,,,,,,,,,,,
DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,,,,,,,,,,,,,620000.000
Depreciation,122000.000,,,,,,,,,,,,
DepreciationAndAmortization,,,,,164000.000,,,,207000.000,,,,158000.000
EarningsPerShareBasicAndDiluted,-1.020,-0.640,-0.630,-0.710,-0.790,-0.860,-0.820,-0.620,-0.760,-0.750,-0.680,-0.680,-0.680
FairValueAdjustmentOfWarrants,2559000.000,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,3088000.000,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,0.000,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,-51000.000
GainsLossesOnExtinguishmentOfDebt,,-143000.000,,,,,,,,,,,
GeneralAndAdministrativeExpense,2841000.000,4372000.000,3725000.000,4710000.000,5445000.000,4519000.000,4857000.000,4419000.000,4484000.000,4656000.000,4338000.000,4871000.000,5496000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-8092000.000,-11178000.000,-11214000.000,-14617000.000,,,,,,,,,
IncreaseDecreaseInAccountsPayable,-621000.000,,,,525000.000,,,,-227000.000,,,,-192000.000
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,,,,-1366000.000,,,,-84000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,635000.000,,,,-17000.000,,,,-367000.000,,,,755000.000
InterestExpense,157000.000,42000.000,,,,,,,,,,,
InvestmentIncomeInterest,4000.000,8000.000,21000.000,30000.000,53000.000,34000.000,55000.000,46000.000,55000.000,66000.000,61000.000,53000.000,38000.000
NetCashProvidedByUsedInFinancingActivities,93799000.000,,,,149000.000,,,,466000.000,,,,75000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,93799000.000,,,,149000.000,,,,466000.000,,,,75000.000
NetCashProvidedByUsedInInvestingActivities,-156000.000,,,,7066000.000,,,,-14643000.000,,,,14942000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-156000.000,,,,7066000.000,,,,-14643000.000,,,,14942000.000
NetCashProvidedByUsedInOperatingActivities,-6446000.000,,,,-10647000.000,,,,-14267000.000,,,,-13009000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6446000.000,,,,-10647000.000,,,,-14267000.000,,,,-13009000.000
NetIncomeLoss,-10804000.000,-11355000.000,-11193000.000,-14587000.000,-14084000.000,-16176000.000,-16944000.000,-15635000.000,-15693000.000,-15622000.000,-14176000.000,-14022000.000,-14201000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-11008000.000,-11355000.000,-11193000.000,-14587000.000,-14084000.000,-16176000.000,-16944000.000,-15635000.000,,,,,
NonoperatingIncomeExpense,-2712000.000,-177000.000,21000.000,30000.000,53000.000,34000.000,55000.000,46000.000,,,,,
OperatingExpenses,8092000.000,11178000.000,11214000.000,14617000.000,14137000.000,16394000.000,16999000.000,15681000.000,15748000.000,15688000.000,14399000.000,14208000.000,14372000.000
OperatingIncomeLoss,,,,,-14137000.000,-16210000.000,-16999000.000,-15681000.000,-15748000.000,-15688000.000,-14237000.000,-14075000.000,-14239000.000
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,75000.000,,,,27000.000,,,,11000.000
PaymentsToAcquireHeldToMaturitySecurities,,,,,,,,,20016000.000,,,,
PaymentsToAcquirePropertyPlantAndEquipment,156000.000,,,,434000.000,,,,127000.000,,,,58000.000
PreferredStockDividendsAndOtherAdjustments,204000.000,,,,,,,,,,,,
ProceedsFromIssuanceInitialPublicOffering,94148000.000,,,,,,,,,,,,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,,,,,,,,493000.000,,,,86000.000
ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,,,,,7500000.000,,,,5500000.000,,,,15000000.000
ProceedsFromStockOptionsExercised,755000.000,,,,224000.000,,,,,,,,
RepaymentsOfLongTermDebt,1104000.000,,,,,,,,,,,,
ResearchAndDevelopmentExpense,5251000.000,6806000.000,7489000.000,9907000.000,8692000.000,11875000.000,12142000.000,11262000.000,11264000.000,11032000.000,10061000.000,9337000.000,8876000.000
Revenues,,,,,,184000.000,,,,,162000.000,,133000.000
SalesRevenueNet,,,,,,184000.000,,,,,162000.000,,133000.000
ShareBasedCompensation,2212000.000,,,,2320000.000,,,,2385000.000,,,,2007000.000
StraightLineRent,9000.000,,,,-25000.000,,,,-24000.000,,,,
TemporaryEquityAccretionToRedemptionValueAdjustment,204000.000,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,10822325.000,17684563.000,17706645.000,-30143479.000,17815515.000,18852814.000,20592840.000,-36940541.000,20646793.000,20726108.000,20752416.000,-41405556.000,20791644.000
