,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsAndOtherReceivablesNetCurrent,,,,,,,,,,,,,,,,,,341600000.000
AccountsPayableCurrent,409100000.000,388200000.000,386700000.000,426600000.000,331200000.000,371900000.000,368100000.000,457700000.000,450100000.000,484700000.000,475400000.000,613200000.000,864900000.000,599200000.000,622400000.000,490700000.000,414600000.000,435100000.000
AccountsPayableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,1800000.000
AccountsReceivableRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,27300000.000
AccruedEnvironmentalLossContingenciesNoncurrent,641700000.000,640300000.000,628200000.000,615100000.000,609500000.000,604500000.000,594900000.000,651500000.000,641200000.000,629600000.000,613600000.000,600800000.000,588400000.000,576300000.000,558100000.000,579900000.000,573200000.000,576200000.000
AccruedFeesAndOtherRevenueReceivable,,,,,,,,,,,,438200000.000,,,,269400000.000,,
AccruedIncomeTaxesCurrent,,73700000.000,60000000.000,70500000.000,75400000.000,40400000.000,45500000.000,83000000.000,,,,,,,,,,
AccumulatedDeferredInvestmentTaxCredit,45000000.000,44800000.000,44600000.000,44000000.000,43700000.000,45400000.000,47600000.000,49300000.000,48900000.000,48500000.000,48400000.000,57600000.000,57600000.000,60000000.000,60400000.000,65500000.000,63600000.000,65000000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,2944300000.000,2968800000.000,2997600000.000,3018700000.000,3057700000.000,3092900000.000,3120000000.000,3114700000.000,3225500000.000,3269100000.000,3307900000.000,3325800000.000,3283500000.000,3325000000.000,3363800000.000,3343100000.000,3330200000.000,3227200000.000
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,,,,-11500000.000,,,,-5200000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,31000000.000,,,,35700000.000,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-40200000.000,-38200000.000,-37100000.000,-42500000.000,-41000000.000,-39500000.000,-37400000.000,-40900000.000,-39300000.000,-36600000.000,-35700000.000,-23200000.000,-23600000.000,-22900000.000,-22400000.000,-27600000.000,-26800000.000,-25000000.000
AdditionalPaidInCapitalCommonStock,2558500000.000,2561700000.000,2562500000.000,2579100000.000,2566500000.000,2568400000.000,2571500000.000,2574600000.000,2590200000.000,2627000000.000,2648100000.000,2660500000.000,2653400000.000,2654700000.000,2660700000.000,2642200000.000,2629200000.000,2699300000.000
AllowanceForDoubtfulAccountsReceivableCurrent,43100000.000,47200000.000,47500000.000,47100000.000,43400000.000,42500000.000,42000000.000,43500000.000,47200000.000,48700000.000,45300000.000,49800000.000,61900000.000,66600000.000,65500000.000,63300000.000,58300000.000,55200000.000
AmountOfRestrictedNetAssetsForConsolidatedAndUnconsolidatedSubsidiaries,,1366200000.000,1325800000.000,1399100000.000,1410500000.000,1405700000.000,1480400000.000,1574300000.000,1676000000.000,1694600000.000,1743400000.000,1848700000.000,1846500000.000,1845800000.000,,1953000000.000,,
AssetRetirementObligation,,,,397200000.000,,,,411200000.000,,,,491500000.000,,,,480200000.000,,
AssetRetirementObligationsNoncurrent,325100000.000,329300000.000,334000000.000,397200000.000,402300000.000,407900000.000,413500000.000,411200000.000,416300000.000,421500000.000,426800000.000,491500000.000,497000000.000,503400000.000,509600000.000,480200000.000,485000000.000,491000000.000
Assets,9623600000.000,9430600000.000,9416900000.000,9983200000.000,9879000000.000,9709000000.000,9844300000.000,10327400000.000,10764400000.000,10777000000.000,10921300000.000,11243500000.000,11802200000.000,11374400000.000,11384900000.000,11282000000.000,11169000000.000,11311400000.000
AssetsCurrent,1870800000.000,1665500000.000,1568000000.000,1803300000.000,1633700000.000,1378900000.000,1419600000.000,1659100000.000,1600700000.000,1488700000.000,1521700000.000,1972200000.000,2717100000.000,2038400000.000,1757000000.000,1410700000.000,1259300000.000,1147200000.000
AssetsHeldForSaleCurrent,,,,,,,13000000.000,10100000.000,2500000.000,1500000.000,700000.000,700000.000,286700000.000,290400000.000,,,,
AssetsHeldInTrustNoncurrent,,,,,,,,,,,,,,,,2400000.000,,
AssetsNeededForImmediateSettlementAggregateFairValue,,,,,,,,,,,,,,,,,30100000.000,18600000.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,,,,,,,10400000.000,700000.000,51500000.000,0.000
CashAndCashEquivalentsAtCarryingValue,195300000.000,211400000.000,27300000.000,28100000.000,42300000.000,25700000.000,18100000.000,27400000.000,72000000.000,20200000.000,26100000.000,22300000.000,56600000.000,45000000.000,16100000.000,18000000.000,86400000.000,156300000.000
CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,,,,,,,,,,,,,,,,18000000.000,,
CommercialPaper,,,,,,,,,,,,,,,,,,314400000.000
CommonStockHeldInTrust,,16400000.000,16600000.000,17100000.000,17000000.000,17200000.000,17600000.000,17700000.000,22000000.000,22300000.000,22700000.000,23000000.000,20800000.000,21100000.000,20900000.000,20900000.000,20900000.000,21800000.000
CommonStockIssuedEmployeeStockTrust,,43888.000,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.010
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000,1000.000
CommonStockSharesHeldInEmployeeTrustShares,,369208.000,374147.000,382971.000,371363.000,375793.000,380636.000,385439.000,456852.000,462381.000,467967.000,473796.000,428720.000,433507.000,428920.000,428920.000,428920.000,
CommonStockSharesIssued,78225735.000,78287906.000,78287906.000,78287906.000,78287906.000,78287906.000,78287906.000,78287906.000,78809948.000,79456539.000,79757715.000,79919176.000,79963091.000,79963091.000,79963091.000,79963091.000,79963091.000,1000.000
CommonStockSharesOutstanding,77855023.000,77918698.000,77913759.000,77904935.000,77916543.000,77912113.000,77907270.000,77902467.000,78353096.000,78994158.000,79289748.000,79445380.000,79534371.000,79529584.000,79534171.000,79534171.000,79534171.000,1000.000
CommonStockValue,78200000.000,78300000.000,78300000.000,78300000.000,78300000.000,78300000.000,78300000.000,78300000.000,78800000.000,79500000.000,79800000.000,79900000.000,80000000.000,80000000.000,80000000.000,80000000.000,80000000.000,0.000
CommonStockholdersEquity,,,,,,,,,,,,3261300000.000,,,,,,
DebtInstrumentCarryingAmount,,2284100000.000,2083100000.000,2123600000.000,2123600000.000,2123400000.000,2123400000.000,2246400000.000,2224400000.000,2163400000.000,2783400000.000,3056900000.000,,2956900000.000,2956900000.000,3081900000.000,,3081900000.000
DebtInstrumentUnamortizedDiscountPremiumNet,,1600000.000,1500000.000,1600000.000,1500000.000,1400000.000,1300000.000,1200000.000,1200000.000,700000.000,700000.000,700000.000,,700000.000,600000.000,600000.000,,600000.000
DeferredAdvertisingCosts,,,2700000.000,3400000.000,4400000.000,5300000.000,5400000.000,5500000.000,4100000.000,4200000.000,5200000.000,5200000.000,4500000.000,4300000.000,4900000.000,,,
DeferredCompensationArrangementWithIndividualRecordedLiability,,,,24100000.000,,,,23900000.000,,,,24800000.000,,,,24300000.000,,
DeferredCompensationLiabilityClassifiedNoncurrent,,,,39100000.000,,,,42900000.000,,,,53400000.000,,,,64400000.000,,
DeferredIncomeTaxLiabilities,,,,,,,,1373500000.000,,,,1575700000.000,,,,1708100000.000,,
DeferredTaxAssetsGross,,,,225200000.000,,,,241200000.000,,,,225000000.000,,,,194100000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,-976500000.000,,,,,,2200000.000,,,,,,,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,,64300000.000,42800000.000,,38400000.000,31400000.000,0.000,35900000.000,76100000.000,52400000.000,39800000.000,119400000.000
DeferredTaxAssetsNet,,,,217200000.000,,,,234000000.000,,,,216800000.000,,,,190500000.000,,
DeferredTaxAssetsNetCurrent,77800000.000,70600000.000,68000000.000,94200000.000,101600000.000,108600000.000,102700000.000,,,,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,8500000.000,,,,45400000.000,,,,27000000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,16900000.000,,,,15000000.000,,,,16400000.000,,,,19200000.000,,
DeferredTaxAssetsOther,,,,57600000.000,,,,76500000.000,,,,98500000.000,,,,77400000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,,,,74000000.000,,,,73500000.000,,,,73900000.000,,,,73900000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsForeign,,,,7600000.000,,,,15100000.000,,,,15200000.000,,,,6200000.000,,
