,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsAndNotesReceivableNet,,,,52004.000,,,,,,,
AccountsAndOtherReceivablesNetCurrent,,,,,,,103.000,97.000,123.000,915.000,0.000
AccountsPayableCurrent,574313.000,183249.000,178983.000,327236.000,654937.000,1000500.000,1112422.000,1134175.000,1307130.000,1792529.000,1583192.000
AccountsReceivableNetCurrent,1525119.000,324763.000,0.000,,,,,,,,
AccruedIncomeTaxesCurrent,0.000,0.000,0.000,,,,,,,,
AccruedRentCurrent,,,,,,,,,,465239.000,697858.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,-100867.000,-126810.000,-159663.000,-233170.000,-321801.000,716163.000,819733.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,-2121581.000,1331745.000,1217828.000,1330862.000,917847.000,932206.000,1971935.000,2224006.000
AdditionalPaidInCapital,,,,10460377.000,6092387.000,6234946.000,7209304.000,6698955.000,6932207.000,12384745.000,12456891.000
AdditionalPaidInCapitalCommonStock,1927255.000,1936255.000,2077567.000,,,,,,,,
AssetRetirementObligation,,,,,791813.000,396474.000,412428.000,397351.000,401760.000,433794.000,446633.000
Assets,1742552.000,844222.000,253008.000,9914214.000,10545799.000,10531236.000,10693438.000,10198442.000,10102694.000,4762460.000,3962811.000
AssetsCurrent,1663003.000,777640.000,203202.000,1019397.000,1136011.000,1218369.000,1157513.000,1111934.000,1000197.000,741154.000,329545.000
AssetsNoncurrent,,,,8894817.000,9409788.000,9312867.000,9535925.000,9086507.000,9102497.000,4021307.000,3633266.000
BuildingsAndImprovementsGross,,,,,167569.000,164726.000,166839.000,172644.000,172949.000,,
Cash,,,,303404.000,248659.000,277565.000,149062.000,100897.000,179471.000,615469.000,91750.000
CashAndCashEquivalentsAtCarryingValue,65044.000,372067.000,134272.000,303404.000,248659.000,277565.000,149062.000,100897.000,179471.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,250000000.000,250000000.000
CommonStockSharesIssued,73328188.000,76828188.000,2856426.000,62856426.000,70754821.000,88369618.000,90153286.000,90361982.000,91389488.000,97169346.000,101251993.000
CommonStockSharesOutstanding,73328188.000,76828188.000,2856426.000,62856426.000,70754821.000,88369618.000,90153286.000,90361982.000,91389488.000,97169346.000,101251993.000
CommonStockValue,72328.000,76828.000,2856.000,62857.000,70754.000,88369.000,90153.000,90362.000,91389.000,97169.000,101252.000
ConvertibleDebtCurrent,,,,,,,233605.000,420254.000,316064.000,50113.000,43139.000
ConvertibleLongTermNotesPayable,,,,,,205589.000,,,,,258481.000
ConvertibleNotesPayable,,,,,,205589.000,,,205463.000,,343139.000
DebtInstrumentConvertibleConversionPrice1,,,,,,,,,,0.167,0.068
DebtInstrumentUnamortizedDiscount,,,,,,141411.000,112532.000,,,21066.000,
DeferredTaxAssetsGross,,,,,,-1094758.000,,,,-3921587.000,
DeferredTaxAssetsNet,,,,,,,,,,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,-3127879.000,,,,-2344220.000,
DeferredTaxAssetsValuationAllowance,,,,,,1094758.000,,,,3921587.000,
DeferredTaxLiabilities,,,,,,,,,,-1577367.000,
DerivativeLiabilitiesCurrent,,,,,,,,,,39474.000,46740.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,,,,,2358222.000,3127879.000,3909386.000,4293691.000,5383249.000,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,,,,,,,,1761404.000,2909604.000,,46740.000
FiniteLivedIntangibleAssetsNet,8201.000,7992.000,0.000,,,,,,,,
FurnitureAndFixturesGross,,,,,23348.000,24023.000,24331.000,22818.000,22859.000,,
IncomeTaxReceivable,,,,,,573541.000,631717.000,625342.000,692434.000,0.000,
IncomeTaxesReceivable,3365.000,3365.000,3365.000,,,,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,4462000.000,,,,,,,
InterestPayableCurrent,,,,,,,,,,,1465.000
InventoryGross,,,,,,142385.000,150955.000,157622.000,117024.000,0.000,91939.000
InventoryNet,69475.000,65564.000,65565.000,,,,,,,,
Land,,,,,595137.000,585040.000,592543.000,555710.000,556693.000,534596.000,508601.000
LeaseholdImprovementsGross,,,,,,3928356.000,,,,,
Liabilities,,,,2527236.000,3098404.000,4112784.000,4178372.000,5261358.000,6375229.000,3134799.000,3437411.000
LiabilitiesAndStockholdersEquity,1742552.000,844222.000,253008.000,9914214.000,10545799.000,10531236.000,10693438.000,10198442.000,10102694.000,4762461.000,3962811.000
LiabilitiesCurrent,706580.000,232775.000,211962.000,,2306591.000,3716310.000,3765944.000,3102603.000,3063865.000,2701005.000,2732297.000
LiabilitiesNoncurrent,,,,,791813.000,396474.000,412428.000,2158755.000,3311364.000,433794.000,705114.000
LinesOfCreditCurrent,65704.000,36963.000,22979.000,,,,,,,,
LoansPayable,,,,,,,,,740000.000,,
MachineryAndEquipmentGross,,,,,426501.000,423453.000,430229.000,411609.000,414325.000,,
MinorityInterest,,,,,2310556.000,2005189.000,1794134.000,1523469.000,1154621.000,-1622093.000,-1907326.000
NotesAndLoansPayable,,,,,,,,,349944.000,,
NotesPayable,,,,,1651654.000,684292.000,,,266479.000,,
NotesPayableCurrent,,,,2200000.000,465165.000,684292.000,372479.000,349325.000,349944.000,351183.000,358251.000
NotesPayableRelatedPartiesCurrentAndNoncurrent,,,,,1186489.000,1825929.000,2047438.000,1198849.000,1090727.000,2467.000,3117.000
OtherAssetsCurrent,,11881.000,,,,,,,,,
OtherAssetsNoncurrent,1400.000,1400.000,1400.000,,,,,,,,
OtherLiabilitiesCurrent,66563.000,12563.000,10000.000,,,,,,,,
OtherReceivables,,,,,,102.000,,,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,,175000.000,0.000,0.000,142200.000,291376.000,441416.000,401876.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,,175000.000,0.000,0.000,142200.000,291376.000,441416.000,401876.000
PreferredStockValue,0.000,0.000,0.000,,175.000,,,142.000,291.000,441.000,402.000
PrepaidExpense,,,,663990.000,,,,,,,
PrepaidExpenseCurrent,,,,,887352.000,224777.000,225676.000,227978.000,11145.000,124770.000,145856.000
PropertyPlantAndEquipmentGross,,,,,5131303.000,4774626.000,4975327.000,4870452.000,4967837.000,4202874.000,3944398.000
PropertyPlantAndEquipmentNet,39604.000,36931.000,48406.000,4432817.000,5030436.000,4647816.000,4815664.000,4637281.000,4646036.000,3486711.000,3124665.000
PropertyPlantAndEquipmentOther,,,,,66809.000,65675.000,66518.000,63230.000,63342.000,,
RetainedEarningsAccumulatedDeficit,-963611.000,-1401636.000,-2039377.000,,,,,,,-11204535.000,-12349825.000
StockholdersEquity,1035972.000,611447.000,41046.000,7386978.000,7447395.000,6418453.000,6515066.000,4937084.000,3727465.000,3249755.000,2432726.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,7386978.000,7447395.000,6418454.000,6515066.000,4937084.000,3727465.000,1627662.000,525400.000
