,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,23391.000,290842.000,182080.000,16185.000,109204.000,46329.000,33011.000,53263.000,57822.000,56587.000,179934.000,62244.000,24113.000
AccountsReceivableNetCurrent,252829.000,179393.000,192117.000,127797.000,85378.000,98223.000,98502.000,99201.000,66555.000,32984.000,31621.000,57693.000,50437.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,160258.000,115118.000,144965.000,146790.000,145230.000,142827.000,140553.000,140870.000,141140.000,141386.000,137556.000,140238.000,138470.000
AdditionalPaidInCapital,7256554.000,7256554.000,7297901.000,7339475.000,7425756.000,7467492.000,7558172.000,7580783.000,7580783.000,7580783.000,7580783.000,7580783.000,7580783.000
AssetRetirementObligation,19213.000,19787.000,16567.000,17064.000,17561.000,18058.000,28958.000,29801.000,30644.000,29881.000,30778.000,31674.000,32571.000
Assets,2194479.000,2333480.000,2201774.000,1986526.000,1971229.000,1830054.000,1699981.000,1629735.000,1558358.000,1075786.000,849636.000,547053.000,357350.000
AssetsCurrent,897546.000,687045.000,469409.000,204123.000,158897.000,184085.000,136484.000,124640.000,98291.000,567730.000,329418.000,118095.000,65774.000
BankLoans,,,,,,,,,,155000.000,211154.000,231611.000,201435.000
CapitalizedCostsOilAndGasProducingActivitiesGross,1296413.000,1646052.000,1732114.000,1782286.000,1812332.000,1645969.000,1563497.000,1505095.000,1460067.000,508056.000,520218.000,428958.000,291576.000
CapitalizedCostsProvedProperties,864656.000,1196710.000,1137012.000,1144369.000,1174415.000,1137461.000,1406783.000,1348381.000,1303353.000,347318.000,435631.000,344371.000,206989.000
CapitalizedCostsUnprovedProperties,431757.000,449342.000,595102.000,637917.000,637917.000,508508.000,156714.000,156714.000,156714.000,160738.000,84587.000,84587.000,84587.000
CashAndCashEquivalentsAtCarryingValue,497535.000,483320.000,258228.000,30250.000,33180.000,77265.000,37269.000,25092.000,22648.000,142647.000,138989.000,43681.000,13891.000
CashFDICInsuredAmount,,,,,98222.000,101710.000,,,,,,,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesOutstandingBalance,,,,,,,,,,,211154.000,231611.000,201435.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,14157107.000,14157107.000,14157107.000,14157107.000,14157107.000,14693241.000,15093241.000,15193241.000,15193241.000,15193241.000,15193241.000,15193241.000,15193241.000
CommonStockSharesOutstanding,14157107.000,14157107.000,14157107.000,14157107.000,14157107.000,14693241.000,15093241.000,15193241.000,15193241.000,15193241.000,15193241.000,15193241.000,15193241.000
CommonStockValue,14157.000,14157.000,14157.000,14157.000,14457.000,14693.000,15093.000,15193.000,15193.000,15193.000,15193.000,15193.000,15193.000
DeferredTaxAssetsGross,,,,,,,,,,3554633.000,,,
DeferredTaxAssetsNet,,,,,,,,,,71079.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,6288483.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,,1065523.000,,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,,,,,907909.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,-3483553.000,,,
DeferredTaxLiabilitiesCurrent,,,,,,,,,,-71079.000,,,
DueToRelatedPartiesCurrent,23328.000,,45.000,246.000,,,,,,,,,
ExplorationCostsCumulative,,,,,,,,,53.000,,,,
InterestPayableCurrentAndNoncurrent,,,,,,,,1608.000,2082.000,2443.000,,,
Liabilities,149835.000,333185.000,217434.000,63040.000,148390.000,97276.000,94202.000,114627.000,120425.000,502823.000,513258.000,335162.000,274773.000
LiabilitiesAndStockholdersEquity,2194479.000,2333480.000,2201774.000,1986526.000,1971229.000,1830054.000,1699981.000,1629735.000,1558358.000,1075786.000,849636.000,547053.000,357350.000
LiabilitiesCurrent,130622.000,313398.000,200867.000,45976.000,130829.000,79218.000,65244.000,84826.000,89781.000,472942.000,482480.000,303488.000,242202.000
NotesPayableCurrent,,,,,,20342.000,19686.000,19016.000,19412.000,18804.000,,,
PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000,25000000.000
PreferredStockSharesIssued,,,,,,,,,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,,,,,,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,0.000,,,,,,,,,,
PrepaidExpenseCurrent,27382.000,7155.000,8402.000,17503.000,25046.000,8544.000,660.000,294.000,9035.000,1026.000,660.000,7674.000,1393.000
PropertyPlantAndEquipmentNet,520.000,383.000,251.000,117.000,,,,,,,,,
ProvedOilAndGasPropertySuccessfulEffortMethod,,,,,1174415.000,1137461.000,1406783.000,1348381.000,1303353.000,347318.000,435631.000,344371.000,206989.000
RestrictedCashAndCashEquivalentsAtCarryingValue,119800.000,17177.000,10662.000,28573.000,15293.000,53.000,53.000,53.000,53.000,391073.000,158148.000,9047.000,53.000
RetainedEarningsAccumulatedDeficit,-5386325.000,-5385534.000,-5472683.000,-5576936.000,-5762604.000,-5892234.000,-6108039.000,-6221738.000,-6299183.000,-7164399.000,-7397154.000,-7524323.000,-7651869.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,2000000.000,2400000.000,1900000.000,,,2000000.000,2000000.000,2000000.000,2000000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,0.128,,,,,0.107,0.107,0.107,0.107
StandardizedMeasureOfDiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves,,,,,,,,,,336507.000,,,
StockholdersEquity,2044644.000,2000295.000,1984340.000,1923486.000,1822839.000,1732778.000,1605779.000,1515108.000,1437933.000,572963.000,336378.000,211891.000,82577.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2044644.000,2000295.000,1984340.000,1923486.000,1822839.000,1732778.000,1605779.000,1515108.000,1437933.000,572963.000,336378.000,211891.000,82577.000
