,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrent,340600000.000,339800000.000,333500000.000,347000000.000,337000000.000,232000000.000,409000000.000,249000000.000,250000000.000,227000000.000,227000000.000,219000000.000,206000000.000,198000000.000,192000000.000,191000000.000,181000000.000,181000000.000,211000000.000,206000000.000,168000000.000,178000000.000,199000000.000,183000000.000,162000000.000,162000000.000
AccountsReceivableNetCurrent,825300000.000,1021300000.000,1133300000.000,1045000000.000,932000000.000,1102000000.000,1338000000.000,954000000.000,999000000.000,957000000.000,957000000.000,979000000.000,988000000.000,990000000.000,928000000.000,932000000.000,992000000.000,1063000000.000,986000000.000,991000000.000,978000000.000,1007000000.000,980000000.000,1122000000.000,1108000000.000,1166000000.000
AccruedIncomeTaxesCurrent,40800000.000,81900000.000,249900000.000,29000000.000,54000000.000,111000000.000,135000000.000,158000000.000,346000000.000,177000000.000,113000000.000,15000000.000,75000000.000,96000000.000,73000000.000,32000000.000,,,,56000000.000,,,,95000000.000,,
AccruedLiabilitiesCurrent,30900000.000,48500000.000,101100000.000,119000000.000,33000000.000,50000000.000,98000000.000,,,,,,,,,,,,,,,,,,,
AccruedProfessionalFeesCurrent,,,,,,,,,,,,,,,,1609000000.000,68000000.000,23000000.000,104000000.000,121000000.000,,,,56000000.000,,
AccumulatedAmortizationOfOtherDeferredCosts,915800000.000,955300000.000,1038400000.000,122000000.000,1086000000.000,1120000000.000,1200000000.000,58000000.000,,,,71000000.000,,,,55000000.000,,,,72000000.000,,,,91000000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1095400000.000,1113800000.000,1056800000.000,1066000000.000,1019000000.000,1006000000.000,1021000000.000,772000000.000,641000000.000,636000000.000,646000000.000,617000000.000,629000000.000,594000000.000,583000000.000,563000000.000,569000000.000,582000000.000,600000000.000,585000000.000,570000000.000,584000000.000,533000000.000,537000000.000,523000000.000,532000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-2000000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,346000000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,,,,-77000000.000,,,,,,,,,,,,,,,,,,,,,,
