,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31
AccountsPayableCurrent,2881000.000,5001000.000,4629000.000,4415000.000,5995000.000,6702000.000,5836000.000,12102000.000,13386000.000
AccountsReceivableGrossCurrent,,,,,,46199000.000,,,
AccountsReceivableNetCurrent,39867000.000,42915000.000,32973000.000,38952000.000,38299000.000,45708000.000,36349000.000,47506000.000,39332000.000
AccruedIncomeTaxesCurrent,4042000.000,2595000.000,4285000.000,4218000.000,6187000.000,4179000.000,3956000.000,3189000.000,3738000.000
AccruedLiabilitiesCurrent,19230000.000,21135000.000,16109000.000,19887000.000,19618000.000,22402000.000,15647000.000,18098000.000,21337000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,19888000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,41624000.000,37929000.000,32366000.000,30827000.000,27391000.000,29008000.000,32102000.000,28901000.000,18342000.000
AdditionalPaidInCapital,113173000.000,114306000.000,117982000.000,131188000.000,134321000.000,135758000.000,137284000.000,140517000.000,144728000.000
AllowanceForDoubtfulAccountsReceivableCurrent,421000.000,402000.000,490000.000,465000.000,447000.000,491000.000,462000.000,359000.000,391000.000
Assets,331705000.000,312887000.000,315402000.000,325416000.000,331803000.000,331051000.000,335326000.000,363030000.000,361223000.000
AssetsCurrent,119026000.000,103724000.000,100439000.000,112294000.000,119732000.000,116637000.000,123758000.000,147696000.000,143980000.000
BorrowedFunds,,,,,16249000.000,1303000.000,,7829000.000,1826000.000
CashAndCashEquivalentsAtCarryingValue,30191000.000,22189000.000,26838000.000,22964000.000,28030000.000,24160000.000,34185000.000,40808000.000,41819000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,151368000.000,151368000.000,151368000.000,151368000.000,151368000.000,151368000.000,151368000.000,151368000.000,151368000.000
CommonStockSharesIssued,54156000.000,54196000.000,54711000.000,55698000.000,55900000.000,55973000.000,56199000.000,56384000.000,56612000.000
CommonStockSharesOutstanding,54156000.000,54196000.000,54711000.000,55698000.000,55900000.000,55973000.000,56199000.000,56384000.000,56612000.000
CommonStockValue,541000.000,542000.000,547000.000,557000.000,559000.000,560000.000,562000.000,564000.000,566000.000
CustomerAdvancesAndDepositsCurrent,3272000.000,3407000.000,3320000.000,3333000.000,3480000.000,3383000.000,3444000.000,3206000.000,3714000.000
DeferredIncomeTaxLiabilities,,,,,,11447000.000,,,
DeferredRevenueCurrent,4490000.000,3862000.000,5005000.000,4031000.000,4503000.000,4799000.000,4793000.000,6177000.000,4595000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,3478000.000,,,
