,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,1450000.000,,,,1204000.000,,,,1204000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,1400000.000,398000.000,423000.000,-321000.000,1204000.000,,,,
AmortizationOfDebtDiscountPremium,,,1335000.000,,,,1593000.000,,,,2225000.000
AmortizationOfFinancingCosts,,,,,,,,,,,237000.000
AmortizationOfIntangibleAssets,,,,,,,,2812000.000,2061000.000,,
AssumedPremiumsEarned,19078000.000,22392000.000,51021000.000,36777000.000,24354000.000,28143000.000,24198000.000,15976000.000,8467000.000,2425000.000,322000.000
AssumedPremiumsWritten,28197000.000,5313000.000,32467000.000,812000.000,33117000.000,32119000.000,9134000.000,-660000.000,-459000.000,-243000.000,-54000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,999000.000,,,,2279000.000,,,,1974000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,24000.000,80000.000,-3000.000,-116000.000,1946000.000,-319000.000,381000.000,263000.000,1119000.000,-30000.000,771000.000
AvailableForSaleSecuritiesGrossRealizedGains,118000.000,87000.000,83000.000,20000.000,2026000.000,-363000.000,1189000.000,358000.000,1380000.000,-37000.000,815000.000
AvailableForSaleSecuritiesGrossRealizedLosses,94000.000,7000.000,86000.000,136000.000,80000.000,-44000.000,808000.000,95000.000,261000.000,-7000.000,44000.000
BenefitsLossesAndExpenses,31429000.000,41904000.000,56836000.000,58098000.000,61529000.000,68039000.000,99525000.000,85524000.000,90694000.000,106450000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,332000.000,,,,-67418000.000,,,,-1082000.000
CausesOfIncreaseDecreaseInLiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseAmount,217000.000,,,,,,,,,,
CededPremiumsEarned,19830000.000,24347000.000,24512000.000,32255000.000,45873000.000,45832000.000,45601000.000,54719000.000,63141000.000,65336000.000,62432000.000
CededPremiumsWritten,94452000.000,4517000.000,770000.000,181652000.000,611000.000,808000.000,732000.000,242927000.000,5164000.000,3290000.000,1881000.000
ComprehensiveIncomeNetOfTax,11338000.000,9829000.000,31055000.000,23836000.000,14900000.000,18965000.000,9702000.000,23685000.000,9482000.000,-11989000.000,7957000.000
DeferredIncomeTaxExpenseBenefit,,,660000.000,,,,9234000.000,,,,-421000.000
DeferredPolicyAcquisitionCostAmortizationExpense,6384000.000,12469000.000,13093000.000,12253000.000,15512000.000,16328000.000,18128000.000,20753000.000,22597000.000,22943000.000,23442000.000
DeferredPolicyAcquisitionCostsAdditions,19550000.000,12703000.000,14566000.000,18358000.000,16058000.000,18634000.000,19319000.000,27330000.000,22158000.000,23593000.000,21878000.000
DeferredPolicyAcquisitionCostsPeriodIncreaseDecrease,,,10000000.000,,,,,,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,76000.000,84160.000,42940.000,73200.000,167.000,,,,195000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,,0.030,,,,0.030,,,,0.030
DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,,,,,,,60.000,,,,60000.000
Depreciation,,,,,,,,,797000.000,,383000.000
DepreciationAndAmortization,,,294000.000,,,,398000.000,,,,2841000.000
DepreciationDepletionAndAmortization,104000.000,200000.000,300000.000,300000.000,300000.000,400000.000,398000.000,,,,
DirectPremiumsEarned,45047000.000,57482000.000,74980000.000,90324000.000,103880000.000,115261000.000,127745000.000,147661000.000,156229000.000,157817000.000,154286000.000
DirectPremiumsWritten,71072000.000,81458000.000,101501000.000,134785000.000,115876000.000,135421000.000,138132000.000,177955000.000,147691000.000,155154000.000,142289000.000
DividendsCommonStock,,,,,,,1579000.000,,,,1783000.000
EarningsPerShareBasic,0.430,0.330,1.010,0.850,0.560,0.660,0.240,0.620,0.370,-0.090,0.210
EarningsPerShareDiluted,0.390,0.330,1.000,0.840,0.550,0.660,0.240,0.620,0.370,-0.090,0.210
EffectiveIncomeTaxRateContinuingOperations,,,0.378,,,,0.383,,,,0.384
GrossInvestmentIncomeOperating,996000.000,1287000.000,2044000.000,2399000.000,2592000.000,2254000.000,2402000.000,2624000.000,2926000.000,2959000.000,3077000.000
