,2011-08-14,2011-11-06,2012-05-20,2012-08-12,2012-11-04,2013-05-26,2013-08-18,2013-11-10
AmortizationOfFinancingCostsAndDiscounts,47000.000,,20000.000,,,19000.000,,
AmortizationOfIntangibleAssets,-480000.000,,-217000.000,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,60089.000,67139.000
CapitalLeasesIncomeStatementInterestExpense,,23000.000,502000.000,,,477000.000,464000.000,465000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,149000.000,,1750000.000,,,1923000.000,,
DeferredIncomeTaxExpenseBenefit,242000.000,,56000.000,,,69000.000,,
DepreciationDepletionAndAmortization,1190000.000,610000.000,604000.000,,,681000.000,683000.000,707000.000
EarlyRepaymentOfSeniorDebt,255000.000,,,,,,,
EarningsPerShareBasic,,-0.030,0.010,0.070,0.040,0.110,-0.140,-0.080
EarningsPerShareDiluted,,-0.030,0.010,0.070,0.040,0.110,-0.140,-0.080
FoodAndBeverageCostOfSales,,6285000.000,6597000.000,,,6863000.000,6482000.000,6137000.000
FranchiseCosts,-24000.000,,,,,,,
GainLossOnDispositionOfAssets,-359000.000,-267000.000,-370000.000,,,,,
GainLossOnDispositionOfAssets1,,,,,,,472000.000,205000.000
GainLossOnSalesOfAssetsAndAssetImpairmentCharges,,,,,,-59000.000,-472000.000,-205000.000
GainsLossesOnExtinguishmentOfDebt,,,,,,,0.000,
GeneralAndAdministrativeExpense,,1259000.000,1194000.000,,,1168000.000,1207000.000,1068000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,492000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,-491000.000,-244000.000
IncomeTaxExpenseBenefit,,77000.000,71000.000,,,85000.000,86000.000,63000.000
IncomeTaxesPaidNet,1000.000,,-5000.000,,,,,
IncreaseDecreaseInAccountsPayable,-406000.000,,185000.000,,,1176000.000,,
IncreaseDecreaseInAccruedLiabilities,-659000.000,,305000.000,,,70000.000,,
IncreaseDecreaseInInventories,4000.000,,-13000.000,,,129000.000,,
IncreaseDecreaseInOtherDeferredLiability,783000.000,,753000.000,,,,,
IncreaseDecreaseInOtherOperatingAssets,-9000.000,,16000.000,,,-18000.000,,
IncreaseDecreaseInPrepaidExpense,451000.000,,167000.000,,,-339000.000,,
IncreaseDecreaseInReceivables,124000.000,,101000.000,,,-131000.000,,
IncreaseDecreaseInRestrictedCash,140000.000,,41000.000,,,-10000.000,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,5199.000,49699.000,,,
InterestExpenseDebt,,,,,,180000.000,154000.000,127000.000
InterestExpenseLongTermDebt,,440000.000,230000.000,,,,,
InterestPaid,1016000.000,,715000.000,,,621000.000,,
LaborAndRelatedExpense,,5540000.000,5751000.000,,,5957000.000,5644000.000,5448000.000
NetCashProvidedByUsedInFinancingActivities,-742000.000,,-33000.000,,,-89000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-742000.000,,-33000.000,,,-89000.000,,
NetCashProvidedByUsedInInvestingActivities,-421000.000,,-644000.000,,,-1343000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-421000.000,,-644000.000,,,-1343000.000,,
NetCashProvidedByUsedInOperatingActivities,1312000.000,,2427000.000,,,3355000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1312000.000,,2427000.000,,,3355000.000,,
NetIncomeLoss,-474000.000,-93000.000,39000.000,,,407000.000,-577000.000,-307000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,206000.000,125000.000,407000.000,-577000.000,-307000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,206000.000,125000.000,407000.000,-577000.000,-307000.000
OperatingCostsAndExpenses,,5011000.000,4975000.000,,,4971000.000,5153000.000,4635000.000
OperatingIncomeLoss,,306000.000,823000.000,,,1231000.000,111000.000,850000.000
OtherNonoperatingIncomeExpense,,141000.000,19000.000,,,-82000.000,16000.000,-372000.000
PaymentsToAcquirePropertyPlantAndEquipment,1114000.000,,1115000.000,,,1353000.000,,
ProceedsFromDivestitureOfBusinesses,,,471000.000,,,,,
ProceedsFromIssuanceOfCommonStock,,,,,,1768000.000,,
ProceedsFromLoanAndLeaseOriginationsAndPrincipalCollections,-717000.000,,,,,,,
RepaymentsOfBankDebt,,,,,,1664000.000,,
RepaymentsOfLongTermCapitalLeaseObligations,22000.000,,21000.000,,,47000.000,,
RepaymentsOfLongTermDebt,465000.000,,12000.000,,,146000.000,,
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-16000.000,110000.000,,,,,
Revenues,,19278000.000,20314000.000,,,20930000.000,19752000.000,19050000.000
SalesRevenueNet,,19278000.000,20314000.000,,,20930000.000,19752000.000,19050000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,0.000,,
StockGrantedDuringPeriodValueSharebasedCompensation,,,,,,17300.000,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,21333.000,1000.000,8000.000
StockIssuedDuringPeriodValueNewIssues,,,,,,1718500.000,,
StockIssuedDuringPeriodValueStockOptionsExercised,,,,,,32200.000,,
UnrealizedGainLossOnDerivatives,,,,,,,,-130000.000
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,,,71348.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,,2934995.000,2934995.000,2940194.000,2984694.000,3613868.000,4039545.000,4044147.000
WeightedAverageNumberOfSharesOutstandingBasic,,2934995.000,2934995.000,2934995.000,2934995.000,3542519.000,4039457.000,4044147.000
