,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdditionsToNoncurrentAssets,,,,,27428000.000,20892000.000,24783000.000,29350000.000,19637000.000,,,,,,,,,,,,,,,,,
AdjustmentForAmortization,,,,,1335000.000,1481000.000,2447000.000,,890000.000,1165000.000,639000.000,,747000.000,2045000.000,1382000.000,,,,,,,,,,,
AmortizationOfFinancingCosts,505000.000,,,,691000.000,,,,691000.000,,,,870000.000,,,,770000.000,,,,779000.000,,,,756000.000,
AmortizationOfIntangibleAssets,858000.000,,,,1335000.000,,,,715000.000,,,,747000.000,,,,886000.000,,,,518000.000,,,,4227000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,489870.000,1297560.000,,901278.000,1159842.000,691491.000,-1637366.000,1302773.000,1119530.000,1183826.000,-2098774.000,2478460.000,2398269.000,2507547.000,-4888129.000,2042717.000,2041664.000,2676685.000,-4175355.000,3791737.000,3528812.000,3999515.000,-8247883.000,3330165.000,
AssetImpairmentCharges,7320000.000,0.000,0.000,0.000,0.000,,0.000,,,,,,,,4600000.000,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,74273000.000,,,,18901000.000,,,,21167000.000,,,,38738000.000,,,,46989000.000,,,,-14001000.000,,,,-37268000.000,
CommonStockDividendsPerShareCashPaid,0.060,0.060,0.160,0.160,0.160,0.160,0.160,0.160,0.210,0.210,0.210,0.210,0.230,0.230,0.230,,0.240,0.240,0.240,,0.080,0.080,0.080,,0.080,0.080
ComprehensiveIncomeNetOfTax,,,,,54917000.000,41175000.000,43380000.000,46795000.000,48080000.000,39010000.000,27663000.000,11468000.000,28760000.000,17801000.000,23934000.000,21271000.000,26521000.000,22542000.000,-6018000.000,-916072000.000,27511000.000,8569000.000,5260000.000,-151723000.000,-1124000.000,-7712000.000
CostOfRevenue,,,,,274837000.000,222725000.000,219973000.000,231194000.000,268603000.000,229891000.000,225448000.000,230795000.000,270869000.000,236720000.000,230086000.000,235758000.000,313046000.000,276814000.000,302993000.000,267458000.000,300708000.000,249461000.000,236651000.000,241383000.000,279323000.000,245102000.000
DebtInstrumentPeriodicPaymentPrincipal,,,,,,,,,,,,,562500.000,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,17801000.000,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxesAndTaxCredits,,,,,1948000.000,,,,1144000.000,,,,-24370000.000,,,,-36471000.000,,,,-9801000.000,,,,-13088000.000,
Depreciation,15678000.000,,,,17994000.000,,18412000.000,,18473000.000,18760000.000,19421000.000,19797000.000,19139000.000,21149000.000,18536000.000,19923000.000,18849000.000,,,,19110000.000,,,,18209000.000,
EarningsPerShareBasic,0.700,0.640,0.520,0.830,0.880,0.750,0.680,0.800,0.800,0.770,0.520,0.250,0.550,0.330,0.480,0.460,0.510,0.440,-0.080,-17.210,0.470,0.190,0.120,-2.760,-0.130,-0.170
EarningsPerShareDiluted,0.690,0.630,0.520,0.820,0.870,0.740,0.670,0.810,0.800,0.760,0.510,0.250,0.540,0.330,0.480,0.460,0.510,0.430,-0.080,-17.200,0.470,0.190,0.120,-2.760,-0.130,-0.170
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,-82000.000,,,,-542000.000,,,,368000.000,,,,1005000.000,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,302000.000,,,,394000.000,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,6238000.000,,,,1817000.000,,,,1136000.000,,,,20000.000,,,,31000.000,,,,0.000,,,,,
