,2012-02-29,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28
AccountsAndNotesReceivableNet,89279.000,94572.000,110297.000,93432.000,114707.000,87391.000,80652.000,99940.000,77804.000,67234.000,79041.000,99497.000,,,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,25438.000,192299.000,241801.000,35873.000,47869.000,36285.000,54438.000,46357.000,46761.000,76271.000,149317.000,161290.000,173010.000,170753.000,258461.000,224391.000,238135.000,206247.000,269898.000
AccountsPayableCurrent,139576.000,,,,,,,,,,,,,,,,,,
AccountsPayableRelatedPartiesCurrent,,37145.000,35650.000,35650.000,38650.000,35650.000,35650.000,66700.000,74282.000,80269.000,83086.000,74712.000,68710.000,51392.000,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,83578.000,134569.000,102186.000,103122.000,115557.000,142902.000,171868.000
AccountsReceivableRelatedParties,28500.000,,,,,,,,,,,,,,,,,,
AccruedBonusesCurrentAndNoncurrent,,,,,,,,,,,,,,,,25487.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,2494.000,3954.000,5571.000,5741.000,6839.000,7937.000,9034.000,10075.000,10998.000,11911.000,12556.000,13414.000,14049.000,14740.000,15385.000,16229.000
AdditionalPaidInCapital,164664.000,151154.000,154906.000,154904.000,259813.000,272314.000,276479.000,248145.000,248144.000,252893.000,252893.000,301766.000,301766.000,301766.000,301766.000,301766.000,301766.000,301766.000,301766.000
AllowanceForDoubtfulAccountsReceivable,,,,0.000,,,,19795.000,,,,34079.000,,,,60705.000,,,
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,26977.000,60173.000,60173.000,19795.000,19795.000,28243.000,28243.000,34079.000,52401.000,57212.000,57173.000,60705.000,60705.000,61015.000,61015.000
AllowanceForDoubtfulOtherReceivablesCurrent,,,,,,,,28333.000,,,,,,,,,,,
Assets,189832.000,257548.000,232686.000,252855.000,256905.000,171476.000,130755.000,257845.000,209773.000,188560.000,208726.000,166568.000,200949.000,286946.000,378489.000,384620.000,423341.000,434611.000,574016.000
AssetsCurrent,186339.000,249294.000,224317.000,243827.000,242792.000,154980.000,116097.000,251512.000,204538.000,184422.000,205629.000,164394.000,199688.000,283841.000,374053.000,379495.000,417166.000,429080.000,565948.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,905.000,,,,,,,,,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,7227.000,,,,,,,,,,,,
Cash,57272.000,85447.000,98604.000,127984.000,109655.000,52317.000,21664.000,39982.000,30211.000,34906.000,22312.000,57906.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,21664.000,,,,,,109768.000,143077.000,265672.000,270178.000,290636.000,276703.000,386011.000
CommitmentsAndContingencies,,,,,,,,,,0.000,,,,,,,,,
CommonStockAdditionalSeriesValue,185.000,,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,,370.000,370.000,-314.000,-314.000,-314.000,-314.000,,,,,,,,,,,,
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,25203708.000,50407416.000,50507416.000,50562972.000,53737972.000,53737972.000,53737972.000,54052788.000,54052788.000,54302788.000,54302788.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000
CommonStockSharesOutstanding,25203708.000,50407416.000,50507416.000,50562972.000,53737972.000,53737972.000,53737972.000,54052788.000,54052788.000,54302788.000,54302788.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000,5430279.000
CommonStockSharesSubscribedButUnissued,185186.000,370372.000,370372.000,314816.000,314816.000,314816.000,314816.000,0.000,,,,,,,,,,,
CommonStockValue,,,,,,,,,,,,5430.000,5430.000,5430.000,5430.000,5430.000,5430.000,5430.000,5430.000
CommonStockValueOutstanding,25203.000,50507.000,50506.000,50562.000,53737.000,53737.000,53737.000,54051.000,54052.000,54303.000,54302.000,,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,,,,,,,0.080,,,,,,,,,,,
DeferredRevenue,,,,51250.000,25858.000,,,20000.000,5000.000,0.000,,2850.000,,,,,,,
DeferredRevenueCurrent,,,,,,,,,,,,,,,16450.000,,5275.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,17819.000,,,,41080.000,,,,117589.000,,,,72506.000,,,
