,2011-12-31,2012-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,762000.000,
AccretionExpense,,-4280000.000
AdjustmentForAmortization,35498000.000,55890000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,21572000.000,13188000.000
AmortizationOfFinancingCosts,8387000.000,14100000.000
BusinessCombinationAcquisitionRelatedCosts,59433000.000,63892000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,6460000.000
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,25700000.000
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,81400000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,106411000.000,-23849000.000
ComprehensiveIncomeNetOfTax,28202000.000,251296000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,100000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,251196000.000
DebtInstrumentDecreaseRepayments,,1131312000.000
DebtInstrumentIncreaseAdditionalBorrowings,,2049253000.000
DebtInstrumentIncreaseDecreaseOtherNet,,123000.000
Depreciation,70823000.000,110533000.000
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,,-6217000.000
DirectCostsOfLeasedAndRentedPropertyOrEquipment,28393000.000,49278000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,108457000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,7126000.000
DividendsCommonStock,201287000.000,301193000.000
EarningsPerShareBasicAndDiluted,0.150,0.440
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,,53664000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetIssues,,0.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,,205986000.000
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSettlements,,50967000.000
GainLossOnSaleOfPropertyPlantEquipment,,109121000.000
GeneralAndAdministrativeExpense,10195000.000,14915000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,87855000.000
