,2016-04-30,2016-07-31,2016-10-31,2017-01-31
AccountsAndOtherReceivablesNetCurrent,,1000.000,,6000.000
AccountsPayableTradeCurrent,31000.000,78000.000,128000.000,51000.000
AccountsReceivableNetCurrent,1912000.000,1787000.000,1859000.000,1749000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,2000.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,3545000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,347000.000,653000.000,430000.000,759000.000
AdditionalPaidInCapital,1736000.000,1736000.000,1736000.000,1736000.000
AllowanceForDoubtfulAccountsReceivable,74.000,768.000,394.000,261.000
Assets,36668000.000,37739000.000,36541000.000,37205000.000
AssetsCurrent,35591000.000,36681000.000,35466000.000,36146000.000
AvailableForSaleSecuritiesAmortizedCost,23935000.000,24234000.000,24356000.000,24152000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,9981000.000,6434000.000,8193000.000,7943000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,8174000.000,3818000.000,4844000.000,2746000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,1807000.000,2616000.000,3349000.000,5197000.000
AvailableForSaleSecuritiesCurrent,24530000.000,25356000.000,25094000.000,25456000.000
CashAndCashEquivalentsAtCarryingValue,5918000.000,6632000.000,5592000.000,5998000.000
CashFDICInsuredAmount,250000.000,,,
CashUninsuredAmount,4279000.000,,,
CommonStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100
CommonStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000
CommonStockSharesIssued,8502881.000,8502881.000,8502881.000,8502881.000
CommonStockSharesOutstanding,8502881.000,8502881.000,8502881.000,8502881.000
CommonStockValue,850000.000,850000.000,850000.000,850000.000
CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedAfterOneYear,68000.000,34000.000,17000.000,23000.000
DeferredTaxAssetsInvestments,249000.000,,,
DeferredTaxLiabilitiesCurrent,87000.000,302000.000,148000.000,389000.000
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,30000.000,,,
DeferredTaxLiabilitiesNoncurrent,191000.000,176000.000,177000.000,161000.000
DeferredTaxLiabilitiesOther,98000.000,,,
DividendsPayableCurrent,1255000.000,1256000.000,1417000.000,1417000.000
EmployeeRelatedLiabilitiesCurrent,320000.000,213000.000,304000.000,246000.000
IncomeTaxesReceivable,199000.000,,201000.000,242000.000
InventoryFinishedGoods,448000.000,471000.000,437000.000,430000.000
InventoryGross,3037000.000,2901000.000,2751000.000,2611000.000
InventoryNet,2964000.000,2808000.000,2663000.000,2533000.000
InventoryRawMaterials,1948000.000,1932000.000,1819000.000,1733000.000
InventoryValuationReserves,73000.000,93000.000,88000.000,78000.000
InventoryWorkInProcess,641000.000,498000.000,495000.000,448000.000
InvestmentsAndOtherNoncurrentAssets,253000.000,253000.000,273000.000,273000.000
LiabilitiesAndStockholdersEquity,36668000.000,37739000.000,36541000.000,37205000.000
LiabilitiesCurrent,1693000.000,1907000.000,1997000.000,2105000.000
LiabilitiesNoncurrent,191000.000,176000.000,177000.000,161000.000
OtherAssets,321000.000,287000.000,290000.000,296000.000
PreferredStockSharesAuthorized,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockValue,99000.000,99000.000,99000.000,99000.000
PrepaidExpenseCurrent,68000.000,97000.000,57000.000,162000.000
PropertyPlantAndEquipmentGross,4301000.000,,,
PropertyPlantAndEquipmentNet,756000.000,771000.000,785000.000,763000.000
RetainedEarningsAccumulatedDeficit,35337000.000,35904000.000,34838000.000,35631000.000
StockholdersEquity,34784000.000,35656000.000,34367000.000,34939000.000
TaxesPayableCurrent,,56000.000,,2000.000
TreasuryStockShares,3481021.000,3481221.000,3481221.000,3557156.000
TreasuryStockValue,3585000.000,3586000.000,3586000.000,4136000.000
