,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,143000.000,-3062000.000,-475000.000,-821000.000,-858000.000,-891000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,704000.000,2014000.000,3368000.000,4209000.000,4862000.000,6189000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,5994000.000,,1931000.000,
AllocatedShareBasedCompensationExpense,,,,,,6200000.000
AllowanceForDoubtfulAccountsReceivableChargeOffs,,6166000.000,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,282197.000,863780.000,254606.000,658337.000,946962.000
AvailableForSaleEquitySecuritiesGrossUnrealizedLoss,,,,,,3800000.000
AvailableForSaleSecuritiesGrossRealizedGainLossNet,,9017000.000,1274000.000,3191000.000,-85000.000,25000.000
AvailableForSaleSecuritiesGrossRealizedGains,,9017000.000,1274000.000,3191000.000,0.000,26000.000
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,257600000.000,,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,0.000,0.000,0.000,85000.000,1000.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,2731000.000,,,,,
BankOwnedLifeInsuranceIncome,1404000.000,1332000.000,2482000.000,3702000.000,7006000.000,4736000.000
BankingFeesAndCommissions,,,0.000,0.000,0.000,0.000
BusinessCombinationAcquisitionRelatedCosts,531000.000,90000.000,352000.000,,,1200000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,0.000,0.000,,,,
CashAcquiredFromAcquisition,19207000.000,0.000,0.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-165154000.000,112446000.000,47052000.000,137955000.000,-106430000.000,-19884000.000
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,209727000.000
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,-28973000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,-27419000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldAccretion,,11723000.000,6213000.000,3201000.000,2299000.000,3760000.000
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,-1461000.000,,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsToFromNonaccretableDifference,,,3404000.000,-1750000.000,2360000.000,-1015000.000
CommunicationsAndInformationTechnology,3169000.000,2805000.000,4330000.000,5856000.000,10596000.000,12888000.000
ComprehensiveIncomeNetOfTax,5685000.000,25127000.000,23512000.000,51210000.000,50721000.000,81794000.000
ConversionOfStockAmountConverted1,0.000,,,,,
CurrentIncomeTaxExpenseBenefit,,16003000.000,15394000.000,26361000.000,40004000.000,53991000.000
DebtConversionConvertedInstrumentAmount1,0.000,,,,,
DeferredIncomeTaxExpenseBenefit,-2728000.000,-3731000.000,2210000.000,-6187000.000,-10092000.000,-2579000.000
DefinedContributionPlanCostRecognized,,311000.000,600000.000,1000000.000,1100000.000,1600000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.500,0.060,0.060,0.060,0.060
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,0.500,0.500,0.500,0.500
