,2012-02-24
AllocatedShareBasedCompensationExpense,101000.000
AmortizationOfDebtDiscountPremium,156000.000
CapitalizedComputerSoftwarePeriodIncreaseDecrease,230000.000
CashPeriodIncreaseDecrease,2002000.000
ComprehensiveIncomeNetOfTax,4740000.000
CostOfGoodsSold,42763000.000
DeferredIncomeTaxExpenseBenefit,1638000.000
DepreciationDepletionAndAmortization,1760000.000
DividendsPreferredStockStock,-2208000.000
EarningsPerShareBasicUndistributed,0.130
EarningsPerShareDiluted,0.130
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,-133000.000
GeneralAndAdministrativeExpense,8513000.000
GrossProfit,23531000.000
IncomeLossAttributableToNoncontrollingInterest,-5000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,7488000.000
IncomeTaxExpenseBenefit,2620000.000
IncomeTaxesPaid,737000.000
IncreaseDecreaseInAccountsPayable,1332000.000
IncreaseDecreaseInAccountsReceivable,5969000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,120000.000
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,-1015000.000
IncreaseDecreaseInCustomerDeposits,-482000.000
IncreaseDecreaseInInventories,983000.000
IncreaseDecreaseInOtherAccruedLiabilities,707000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,265000.000
IncrementalCommonSharesAttributableToCallOptionsAndWarrants,288000.000
InterestExpense,734000.000
InterestPaid,427000.000
LineOfCreditFacilityIncreaseDecreaseForPeriodNet,-13675000.000
NetCashProvidedByUsedInFinancingActivities,10888000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,10888000.000
NetCashProvidedByUsedInInvestingActivities,-2144000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-2144000.000
NetCashProvidedByUsedInOperatingActivities,-6609000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-6609000.000
NetIncomeLoss,4873000.000
NetIncomeLossAvailableToCommonStockholdersBasic,2665000.000
OperatingExpenses,15394000.000
OperatingIncomeLoss,8137000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-133000.000
OtherNonoperatingIncomeExpense,-85000.000
PaymentsForRepurchaseOfRedeemableConvertiblePreferredStock,0.000
PaymentsOfDividendsPreferredStockAndPreferenceStock,2208000.000
PaymentsToAcquireMachineryAndEquipment,1914000.000
PreferredStockDividendsIncomeStatementImpact,2208000.000
ProceedsFromIssuanceOfCommonStock,68000.000
ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock,0.000
ProceedsFromRepaymentsOfRestrictedCashFinancingActivities,-393000.000
ProfitLoss,4868000.000
RepaymentsOfDebtAndCapitalLeaseObligations,254000.000
ResearchAndDevelopmentExpense,1400000.000
Revenues,66294000.000
SalesRevenueNet,66294000.000
SellingAndMarketingExpense,5481000.000
ShareBasedCompensation,101000.000
StockIssuedDuringPeriodValueShareBasedCompensation,68000.000
TranslationAdjustmentFunctionalToReportingCurrencyNetOfTaxPeriodIncreaseDecrease,-133000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,272000.000
WeightedAverageNumberOfDilutedSharesOutstanding,20497000.000
WeightedAverageNumberOfSharesOutstandingBasic,20209000.000
