,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29
AccountsAndOtherReceivablesNetCurrent,,,,165000.000,124000.000,141000.000,155000.000,162000.000,,,
AccountsPayableCurrent,8186000.000,5763000.000,2924000.000,10962000.000,8078000.000,8654000.000,3950000.000,10655000.000,10145000.000,8071000.000,7072000.000
AccountsReceivableNetCurrent,36121000.000,20280000.000,14903000.000,13011000.000,34177000.000,19340000.000,15531000.000,16593000.000,29766000.000,20640000.000,18110000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,,,116000.000,83000.000,68000.000,79000.000,89000.000,40000.000
AccruedIncomeTaxes,,,,,3403000.000,2815000.000,2009000.000,,2064000.000,3348000.000,1692000.000
AccruedLiabilitiesAndOtherLiabilities,,,,5701000.000,7467000.000,6348000.000,7099000.000,4899000.000,5803000.000,5580000.000,4378000.000
AccruedLiabilitiesCurrent,7142000.000,8524000.000,7947000.000,5701000.000,7467000.000,6348000.000,7099000.000,4899000.000,5803000.000,5580000.000,4378000.000
AccruedSalariesCurrentAndNoncurrent,,,,3308000.000,1404000.000,1973000.000,1939000.000,3129000.000,1396000.000,828000.000,1541000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,9169000.000,9515000.000,9803000.000,8052000.000,8298000.000,8544000.000,8862000.000,9138000.000,9422000.000,9706000.000,9831000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-10387000.000,-10370000.000,-10358000.000,-11679000.000,-11676000.000,-11645000.000,-11616000.000,-9410000.000,-9396000.000,-9374000.000,-7277000.000
AdditionalPaidInCapitalCommonStock,20492000.000,21410000.000,21971000.000,22281000.000,22240000.000,22769000.000,23020000.000,23282000.000,23266000.000,23641000.000,20270000.000
AllowanceForDoubtfulAccountsReceivableCurrent,7006000.000,10651000.000,7029000.000,1786000.000,4917000.000,7176000.000,5612000.000,2567000.000,4139000.000,6051000.000,3262000.000
Assets,127757000.000,128915000.000,124877000.000,128266000.000,131313000.000,131943000.000,128735000.000,130253000.000,132836000.000,135128000.000,128216000.000
AssetsCurrent,77095000.000,78563000.000,74964000.000,78900000.000,82478000.000,83657000.000,80589000.000,84164000.000,87196000.000,89920000.000,88185000.000
CashAndCashEquivalentsAtCarryingValue,622000.000,10511000.000,13184000.000,16112000.000,6613000.000,24116000.000,31446000.000,21806000.000,12695000.000,27936000.000,27578000.000
CashEquivalentsAtCarryingValue,,,,13620000.000,,,,18539000.000,,,
CashSurrenderValueOfLifeInsurance,,,,2786000.000,2829000.000,2849000.000,2956000.000,2964000.000,3130000.000,3328000.000,
CommonStockParOrStatedValuePerShare,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
CommonStockSharesAuthorized,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000,22500000.000
CommonStockSharesIssued,11055000.000,11136000.000,11182000.000,11182000.000,11265000.000,11291000.000,11291000.000,11291000.000,11388000.000,11400000.000,11176000.000
CommonStockSharesOutstanding,11055000.000,11053000.000,11182000.000,11053000.000,11265000.000,11291000.000,11291000.000,11182000.000,11388000.000,11400000.000,11176000.000
CommonStockValue,11055000.000,11136000.000,11182000.000,11182000.000,11265000.000,11291000.000,11291000.000,11291000.000,11388000.000,11400000.000,11176000.000
DebtInstrumentCarryingAmount,,,,24643000.000,,,,20357000.000,,,
DeferredTaxAssetsCapitalLossCarryforwards,,,,508000.000,,,,,,,
DeferredTaxAssetsGross,,,,9750000.000,,,,8152000.000,,,
DeferredTaxAssetsLiabilitiesNet,,,,6235000.000,,,,4455000.000,,,
DeferredTaxAssetsNet,,,,9242000.000,,,,8152000.000,,,
DeferredTaxAssetsNetCurrent,2115000.000,2115000.000,2113000.000,2190000.000,2190000.000,2190000.000,2188000.000,2559000.000,2559000.000,2559000.000,2559000.000
DeferredTaxAssetsNetNoncurrent,4281000.000,4118000.000,3923000.000,4043000.000,3939000.000,3817000.000,3605000.000,1896000.000,1784000.000,1668000.000,224000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,,,,6806000.000,,,,5421000.000,,,
DeferredTaxAssetsValuationAllowance,,,,508000.000,,,,,,,
DeferredTaxLiabilities,,,,3007000.000,,,,3697000.000,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,,,,270000.000,,,,650000.000,,,
DeferredTaxLiabilitiesPrepaidPensionCosts,,,,2559000.000,,,,2505000.000,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,108000.000,,,,479000.000,,,
DeferredTaxLiabilitiesTaxDeferredIncome,,,,338000.000,,,,,,,
DefinedBenefitPensionPlanLiabilitiesCurrent,,,,,,,,660000.000,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,0.041,,,,0.046,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsRemainderOfFiscalYear,,,,1522000.000,,,,1314000.000,,,
DefinedBenefitPlanFundedPercentage,,,,1.000,,,,1.000,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,23000.000,16000.000,13000.000,10000.000,7000.000,6000.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,,,906000.000,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,1498000.000,1924000.000,2358000.000,2798000.000,3233000.000,3668000.000,4111000.000,4563000.000,5016000.000,5469000.000,5947000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,1742000.000,,,,1798000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,1967000.000,,,,1549000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,1715000.000,,,,1766000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,1724000.000,,,,1780000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,1733000.000,,,,1789000.000,,,
Goodwill,15510000.000,15510000.000,15510000.000,15510000.000,15510000.000,15510000.000,15622000.000,15622000.000,15622000.000,15622000.000,15622000.000
IncomeTaxExaminationPenaltiesAndInterestAccrued,,,,0.000,,,,0.000,,,
IndefiniteLivedIntangibleAssetsExcludingGoodwill,,,,15510000.000,,,,,,,
