,2012-06-30,2013-06-30,2014-06-30
AccretionOfDiscount,136667.000,50490.000,0.000
AdjustmentForAmortization,49142.000,52548.000,50728.000
AmortizationOfDeferredCharges,,,32681.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-93317.000,40618.000,7396.000
CostOfGoodsSold,183745.000,95334.000,443861.000
DebtConversionConvertedInstrumentAmount1,317200.000,259418.000,576829.000
Depreciation,2302.000,2285.000,2382.000
DepreciationAndAmortization,51445.000,54833.000,53110.000
DerivativeGainLossOnDerivativeNet,103219.000,65915.000,-1457915.000
EarningsPerShareBasicAndDiluted,-0.080,-0.080,-0.500
ExtraordinaryItemNetOfTax,,-94132.000,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,,,1457915.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationIssues,,,1489024.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,,,-1011071.000
GainLossOnDispositionOfAssets,-302.000,0.000,
GainsLossesOnRestructuringOfDebt,,-94132.000,0.000
GrossProfit,509315.000,-52527.000,-443861.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,-2468472.000,
IncomeTaxExpenseBenefit,,0.000,0.000
IncomeTaxExpenseBenefitContinuingOperations,0.000,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,614939.000,971890.000,1358000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-602478.000,-871286.000,-1829000.000
IncomeTaxReconciliationOtherAdjustments,4333.000,21162.000,732000.000
IncomeTaxReconciliationOtherReconcilingItems,69274.000,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,-86068.000,-121765.000,-261000.000
IncreaseDecreaseInAccountsPayable,243721.000,267642.000,184488.000
IncreaseDecreaseInAccountsReceivable,3054.000,54249.000,25119.000
IncreaseDecreaseInAccruedLiabilities,16174.000,110486.000,210316.000
IncreaseDecreaseInAccruedSalaries,33123.000,279698.000,165075.000
IncreaseDecreaseInDerivativeLiabilities,-87090.000,0.000,
IncreaseDecreaseInInventories,75163.000,35275.000,202906.000
IncreaseDecreaseInPrepaidExpense,32343.000,-13317.000,34539.000
InterestExpense,475611.000,528767.000,1071252.000
InterestPaid,41706.000,69710.000,34263.000
InvestmentIncomeInterest,0.000,,
IssuanceOfStockAndWarrantsForServicesOrClaims,322500.000,0.000,124400.000
MarketingAndAdvertisingExpense,749141.000,661118.000,202447.000
NetCashProvidedByUsedInFinancingActivities,642700.000,1376083.000,819746.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,642700.000,1376083.000,819746.000
NetCashProvidedByUsedInInvestingActivities,-31306.000,-9162.000,-14779.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-31306.000,-9162.000,-14779.000
NetCashProvidedByUsedInOperatingActivities,-704711.000,-1326303.000,-797571.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-704711.000,-1326303.000,-797571.000
NetIncomeLoss,-1721369.000,-2562604.000,-5225923.000
OfficersCompensation,396846.000,322897.000,1228241.000
OperatingExpenses,1857990.000,1953093.000,2252895.000
OperatingIncomeLoss,-1348675.000,-2005620.000,-2696756.000
OtherNonoperatingIncomeExpense,-372694.000,-462852.000,-2529167.000
PaymentsOfStockIssuanceCosts,6109.000,3150.000,
PaymentsToAcquireIntangibleAssets,29786.000,9162.000,8028.000
PaymentsToAcquireOtherProductiveAssets,593.000,0.000,
PaymentsToAcquirePropertyPlantAndEquipment,927.000,0.000,3887.000
ProceedsFromConvertibleDebt,281000.000,1347233.000,
ProceedsFromIssuanceOfCommonStock,361700.000,61350.000,0.000
ProceedsFromIssuanceOfWarrants,322500.000,,
ProceedsFromNotesPayable,,,819746.000
ProfessionalFees,406515.000,615689.000,445092.000
RepaymentsOfNotesPayable,,32500.000,0.000
ResearchAndDevelopmentExpense,17979.000,75055.000,0.000
Revenues,693060.000,42807.000,0.000
SalariesAndWages,55313.000,28292.000,35600.000
SalesRevenueNet,693060.000,42807.000,0.000
SellingGeneralAndAdministrativeExpense,180751.000,195209.000,288405.000
ShareBasedCompensation,,,1080000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,0.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,3.313,3.313,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,3.149,3.149,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,0.004,0.004,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,,,-61489.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,0.030
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,0.030
StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,0.000,,
StockIssuedDuringPeriodValueIssuedForServices,150102.000,96000.000,124400.000
StockIssuedDuringPeriodValueNewIssues,361700.000,61350.000,
UnrealizedGainLossOnDerivatives,103219.000,65915.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,21583618.000,30957208.000,10497021.000
