,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsPayableCurrent,2034.000,2217000.000,2272000.000,2503000.000,2384000.000,2210000.000,4271000.000,2791000.000
AccountsReceivableNetCurrent,7476.000,6665000.000,6375000.000,4221000.000,4295000.000,4238000.000,4821000.000,3386000.000
AccruedEmployeeBenefitsCurrent,,,,,2959000.000,3059000.000,3207000.000,2897000.000
AccruedRoyaltiesCurrent,,,,,1621000.000,1453000.000,1286000.000,853000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,16245000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,407.000,156000.000,-64000.000,-9000.000,-285000.000,-549000.000,-570000.000,-615000.000
AdditionalPaidInCapital,,,,,,4700000.000,,
AdditionalPaidInCapitalCommonStock,409328.000,409981000.000,410551000.000,411117000.000,417333000.000,418276000.000,419903000.000,422716000.000
AggregateIndebtedness,,,,,900000.000,2400000.000,1300000.000,1700000.000
AllowanceForDoubtfulAccountsReceivableCurrent,207000.000,207000.000,207000.000,207000.000,186000.000,186000.000,186000.000,186000.000
Assets,53363.000,46961000.000,27618000.000,22729000.000,18673000.000,17597000.000,16634000.000,15419000.000
AssetsCurrent,28073.000,22714000.000,17793000.000,12990000.000,9093000.000,8639000.000,7781000.000,6703000.000
CashAndCashEquivalentsAtCarryingValue,10109.000,4450000.000,5453000.000,3491000.000,1519000.000,2156000.000,514000.000,750000.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,37500000.000,37500000.000,37500000.000,37500000.000,47500000.000,47500000.000,47500000.000,97500000.000
CommonStockSharesIssued,30433563.000,30545617.000,30633302.000,30731778.000,35530042.000,36107763.000,37570132.000,46499066.000
CommonStockSharesOutstanding,30412769.000,30524823.000,30612508.000,30710984.000,35509248.000,36086969.000,37549338.000,46478272.000
CommonStockValue,30.000,31000.000,31000.000,31000.000,36000.000,36000.000,38000.000,47000.000
ConvertibleNotesPayableCurrent,1256.000,0.000,0.000,,,,,
CostMethodInvestments,293.000,306000.000,306000.000,336000.000,356000.000,356000.000,356000.000,356000.000
DebtInstrumentInterestRateStatedPercentage,0.054,0.054,0.054,,,,,
DeferredRevenue,,,,,118000.000,425000.000,28000.000,23000.000
DeferredTaxAssetsGross,,,,,,234639000.000,,
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,,,7715000.000,,
DeferredTaxAssetsInventory,,,,,,381000.000,,
DeferredTaxAssetsNet,,,,,,1113000.000,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,195105000.000,,
DeferredTaxAssetsOperatingLossCarryforwardsForeign,,,,,,513700000.000,,
DeferredTaxAssetsOther,,,,,,3436000.000,,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,243000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,,20807000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,,4301000.000,,
DeferredTaxAssetsValuationAllowance,,,,,,233526000.000,,
DeferredTaxLiabilities,,,,,,1113000.000,,
DeferredTaxLiabilitiesOther,,,,,,1113000.000,,
DerivativeLiabilitiesNoncurrent,,,,,,,,927000.000
