,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccountsPayableCurrent,508301.000,356530.000,310899.000,627747.000,399143.000,242222.000,257646.000,245202.000,242814.000,238990.000,128560.000,125189.000,87421.000,88147.000
AccountsReceivableNetCurrent,210567.000,66636.000,331507.000,494437.000,268066.000,175262.000,171439.000,77188.000,42538.000,29837.000,19145.000,37446.000,48162.000,147774.000
AccruedLiabilitiesCurrent,,,,,,,,,,,283879.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,438746.000,584872.000,772270.000,923327.000,1079907.000,1254546.000,384950.000,435893.000,491672.000,543430.000,593311.000,622212.000,668329.000,717224.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,87327.000,108818.000,102317.000,101547.000,100097.000,91079.000,72191.000,59840.000,-17972.000,-36956.000,-110272.000,69336.000,51485.000,77916.000
AdditionalPaidInCapital,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000,620812.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,61384.000,,,,37776.000,,,
Assets,10552899.000,10421990.000,10343107.000,10489577.000,9971305.000,11465972.000,6372883.000,5551578.000,5569800.000,5487151.000,5587490.000,4893746.000,4855268.000,4784133.000
AssetsCurrent,2977630.000,2646706.000,2239330.000,2526335.000,2387637.000,3960489.000,2656044.000,1867520.000,1894471.000,1842932.000,1947496.000,1395927.000,1397005.000,1342775.000
Cash,,,,,,,1234.000,,,,,,,
CashAndCashEquivalentsAtCarryingValue,238725.000,38487.000,44474.000,106166.000,67861.000,1356854.000,160927.000,43162.000,66172.000,4794.000,12250.000,4248.000,2440.000,4192.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesIssued,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000
CommonStockSharesOutstanding,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000,22599974.000
CommonStockValue,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000,2260.000
ConstructionInProgressGross,775171.000,887037.000,191427.000,213272.000,219257.000,221731.000,292130.000,293038.000,296543.000,297387.000,300644.000,292774.000,293378.000,295815.000
DepositsAssetsNoncurrent,91978.000,108939.000,,,,,,,,,,,,
DueToRelatedPartiesCurrent,343544.000,348149.000,352801.000,471695.000,1018495.000,1284130.000,0.000,,,,1348701.000,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,,12878646.000,14656854.000,14077389.000,14105398.000,14316856.000,,14489456.000,13726635.000,,
DueToRelatedPartiesNoncurrent,11063284.000,11191176.000,11776972.000,11772887.000,11860151.000,13372724.000,14077389.000,14105398.000,14316856.000,14348234.000,14489456.000,13726635.000,13817485.000,13860722.000
EmployeeRelatedLiabilitiesCurrent,,,,,,,,,,,92043.000,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,27491.000,30039.000,32650.000,34815.000,36689.000,42318.000,41864.000,44220.000,46953.000,49359.000,52222.000,53055.000,55418.000,58126.000
FiniteLivedIntangibleAssetsNet,419063.000,422501.000,425937.000,423509.000,417632.000,420697.000,421420.000,420503.000,423327.000,422259.000,424561.000,411011.000,409844.000,411000.000
InterestPayableCurrent,,,,,,,826928.000,,,,,1443474.000,1568025.000,1686446.000
InventoryFinishedGoods,,,,,,,813508.000,,,,589405.000,,,
InventoryNet,1330278.000,1488447.000,735540.000,832034.000,866708.000,1314287.000,1198096.000,605182.000,630923.000,645973.000,764267.000,307930.000,301419.000,148503.000
InventoryRawMaterials,,,,,,,273737.000,,,,83916.000,,,
InventoryWorkInProcess,,,,,,,67117.000,,,,65414.000,,,
Land,,,,,,,421420.000,,,,,,,
Liabilities,12615353.000,13094703.000,13841389.000,14427619.000,14261649.000,16034152.000,15564801.000,15577189.000,15930600.000,16100268.000,16250596.000,15593216.000,15774715.000,15924678.000
LiabilitiesAndStockholdersEquity,10552899.000,10421990.000,10343107.000,10489577.000,9971305.000,11465972.000,6372883.000,5551578.000,5569800.000,5487151.000,5587490.000,4893746.000,4855268.000,4784133.000
LiabilitiesCurrent,1552069.000,1903527.000,2064417.000,2654732.000,2401498.000,2661428.000,1487412.000,1471791.000,1613744.000,1752034.000,1761140.000,1866581.000,1957230.000,2063956.000
MachineryAndEquipmentGross,,,,,,,556249.000,,,,,,,
OtherAccruedLiabilitiesCurrent,,,,,,,,,,,191836.000,,,
OtherEmployeeRelatedLiabilitiesCurrent,,,,,,,164186.000,,,,,,,
OtherInventorySupplies,,,,,,,43734.000,,,,25532.000,,,
OtherLiabilitiesCurrent,,,,,,,238652.000,,,,,297918.000,301784.000,289363.000
OtherPrepaidExpenseCurrent,,,,,,,,,,,56449.000,53133.000,53419.000,56666.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
